Comment[ArrayExpressAccession]	E-GEOD-24369
Public Release Date	2011-05-02
Investigation Title	Gene expression profiling of low-grade fibromyxoid sarcoma (LGFMS)						
Comment[Submitted Name]	Gene expression profiling of low-grade fibromyxoid sarcoma (LGFMS)
Experiment Description	Analysis of gene expression in 17 low-grade fibromyxoid sarcoma (LGFMS) samples compared to that of histologically similar tumors. LGFMS is characterized by the specific translocations t(7;16)(q33;p11) or t(11;16)(p11;p11) and corresponding fusion genes FUS-CREB3L2 or FUS-CREB3L1. The results identifies a LGFMS-specific gene expression profile and provide insight into FUS-CREB3L2 regulated gene expression. RNA was extracted from 17 LGFMS tumor biopsies and hybridized to Affymetrix arrays. RNA from 6 myxofibrosarcoma (MFS), 6 desmoid fibromatosis (DFM), 5 solitary fibrous tumor (SFT) and 6 extraskeletal myxoid chondrosarcoma (EMCS) tumor biopsies was used as comparison. Two pools of skeletal muscle RNA was also included in the comparison.						
Date of Experiment							
Term Source Name	EFO
Term Source Version							
Term Source File	http://bar.ebi.ac.uk:8080/trac/browser/branches/curator/ExperimentalFactorOntology/ExFactorInOWL/currentrelease/eforelease/efo.owl						
Person Last Name	Möller	Möller	Hornick	Magnusson	Veerla	Domanski	Mertens
Person First Name	Emely	Emely	Jason	Linda	Srinivas	Henryk	Fredrik
Person Mid Initials			L			A	
Person Email	emely.moller@med.lu.se						
Person Affiliation	Lund University						
Person Phone							
Person Fax							
Person Address	Clinical Genetics, Lund University, Lund University Hospital, Lund, Sweden						
Person Roles	submitter						
Person Roles Term Source REF							
Person Roles Term Accession Number							
Normalization Type							
Normalization Term Accession Number							
Normalization Term Source REF							
Replicate Type							
Replicate Term Accession Number							
Replicate Term Source REF							
Experimental Design							
Experimental Design Term Accession Number							
Experimental Design Term Source REF							
Quality Control Type							
Quality Control Term Accession Number							
Quality Control Term Source REF							
Protocol Name	P-GSE24369-1	P-GSE24369-5	P-GSE24369-4	P-GSE24369-2	P-GSE24369-3	P-GSE24369-6	
Protocol Description	ID_REF = <br>VALUE = RMA log2 signal	Scanning was carried out with the GeneChip Scanner 3000 (Affymetrix).	Biotinylated cDNA was hybridized to GeneChip Gene 1_0 st arrays. Arrays were washed and stained on an Affymetrix Fluidics Station 450.	RNA was extracted using the TRIzol reagent (Invitrogen) and purified with Qiagen´s RNeasy kit according to the manufacturers´ instructions.	cDNA was labelled with TdT using the WT Terminal Labeling kit (Affymetrix).	Image analysis was perfomed using the GeneChip Operating Software (GCOS, Affymetrix). Background correction, normalization and probe summarization was done with the robust multichip average (RMA) algorithm implemented in the Expression Console software (Affymetrix).	
Protocol Software							
Protocol Hardware							
Protocol Contact							
Protocol Type	bioassay_data_transformation	image_aquisition	hybridization	nucleic_acid_extraction	labeling	feature_extraction	
Protocol Term Source REF							
Protocol Term Accession Number							
Experimental Factor Name	SAMPLE TYPE	TISSUE					
Experimental Factor Type	sample type	tissue					
Experimental Factor Term Source REF							
Experimental Factor Term Accession Number							
Publication Title							
Publication Author List							
PubMed ID							
Publication DOI							
Publication Status							
Publication Status Term Source REF							
Publication Status Term Accession Number							
Comment[SecondaryAccession]	GSE24369						
Comment[GEOLastUpdateDate]	2011-05-02
Comment[AEExperimentType]	transcription profiling by array						
Comment[GEOReleaseDate]	2011-05-01
Comment[ArrayExpressSubmissionDate]	2010-09-24
SDRF File	E-GEOD-24369.sdrf.txt
