Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[sample type]	Characteristics[tissue]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SAMPLE TYPE]	FactorValue [TISSUE]
GSM600969 1	Global gene expression data	soft tissue	Homo sapiens	pooled RNA	Skeletal muscle	P-GSE24369-2	  	GSM600969 extract 1	total RNA	P-GSE24369-3	  	GSM600969 LE 1	biotin	P-GSE24369-4	  	GSM600969	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600969_SKM_pool_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600969_sample_table.txt norm	GSM600969_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	pooled RNA	Skeletal muscle
GSM600968 1	Global gene expression data	soft tissue	Homo sapiens	pooled RNA	Skeletal muscle	P-GSE24369-2	  	GSM600968 extract 1	total RNA	P-GSE24369-3	  	GSM600968 LE 1	biotin	P-GSE24369-4	  	GSM600968	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600968_SKM_pool_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600968_sample_table.txt norm	GSM600968_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	pooled RNA	Skeletal muscle
GSM600967 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Solitary fibrous tumor	P-GSE24369-2	  	GSM600967 extract 1	total RNA	P-GSE24369-3	  	GSM600967 LE 1	biotin	P-GSE24369-4	  	GSM600967	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600967_SFT_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600967_sample_table.txt norm	GSM600967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Solitary fibrous tumor
GSM600966 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Solitary fibrous tumor	P-GSE24369-2	  	GSM600966 extract 1	total RNA	P-GSE24369-3	  	GSM600966 LE 1	biotin	P-GSE24369-4	  	GSM600966	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600966_SFT_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600966_sample_table.txt norm	GSM600966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Solitary fibrous tumor
GSM600965 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Solitary fibrous tumor	P-GSE24369-2	  	GSM600965 extract 1	total RNA	P-GSE24369-3	  	GSM600965 LE 1	biotin	P-GSE24369-4	  	GSM600965	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600965_SFT_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600965_sample_table.txt norm	GSM600965_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Solitary fibrous tumor
GSM600964 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Solitary fibrous tumor	P-GSE24369-2	  	GSM600964 extract 1	total RNA	P-GSE24369-3	  	GSM600964 LE 1	biotin	P-GSE24369-4	  	GSM600964	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600964_SFT_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600964_sample_table.txt norm	GSM600964_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Solitary fibrous tumor
GSM600963 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Solitary fibrous tumor	P-GSE24369-2	  	GSM600963 extract 1	total RNA	P-GSE24369-3	  	GSM600963 LE 1	biotin	P-GSE24369-4	  	GSM600963	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600963_SFT_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600963_sample_table.txt norm	GSM600963_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Solitary fibrous tumor
GSM600962 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Myxofibrosarcoma	P-GSE24369-2	  	GSM600962 extract 1	total RNA	P-GSE24369-3	  	GSM600962 LE 1	biotin	P-GSE24369-4	  	GSM600962	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600962_MFS_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600962_sample_table.txt norm	GSM600962_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Myxofibrosarcoma
GSM600961 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Myxofibrosarcoma	P-GSE24369-2	  	GSM600961 extract 1	total RNA	P-GSE24369-3	  	GSM600961 LE 1	biotin	P-GSE24369-4	  	GSM600961	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600961_MFS_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600961_sample_table.txt norm	GSM600961_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Myxofibrosarcoma
GSM600960 1	Global gene expression data	soft tissue	Homo sapiens	tumor biopsy	Myxofibrosarcoma	P-GSE24369-2	  	GSM600960 extract 1	total RNA	P-GSE24369-3	  	GSM600960 LE 1	biotin	P-GSE24369-4	  	GSM600960	A-AFFY-141	  	P-GSE24369-5	  	P-GSE24369-6	  	GSM600960_MFS_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.raw.1.zip	P-GSE24369-1	  	GSM600960_sample_table.txt norm	GSM600960_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24369/E-GEOD-24369.processed.1.zip	tumor biopsy	Myxofibrosarcoma
