Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Extract Name	Material Type	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM98513 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41895.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98513 extract 1	total RNA	GSM98513 LE 1	Cy3	GSM98513	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98513_sample_table.txt norm	GSM98513_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98513 2	STT2528(2)-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41895.gif	STT2528(2)-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98513 extract 2	total RNA	GSM98513 LE 2	Cy5	GSM98513	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98513_sample_table.txt norm	GSM98513_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98512 2	STT2003-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41894.gif	STT2003-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98512 extract 2	total RNA	GSM98512 LE 2	Cy5	GSM98512	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98512_sample_table.txt norm	GSM98512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98512 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41894.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98512 extract 1	total RNA	GSM98512 LE 1	Cy3	GSM98512	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98512_sample_table.txt norm	GSM98512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98511 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41893.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98511 extract 1	total RNA	GSM98511 LE 1	Cy3	GSM98511	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98511_sample_table.txt norm	GSM98511_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98511 2	STT1169-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41893.gif	STT1169-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98511 extract 2	total RNA	GSM98511 LE 2	Cy5	GSM98511	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98511_sample_table.txt norm	GSM98511_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98510 2	STT3780-Myxoid chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/42042.gif	STT3780-Myxoid chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98510 extract 2	total RNA	GSM98510 LE 2	Cy5	GSM98510	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98510_sample_table.txt norm	GSM98510_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98510 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/42042.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98510 extract 1	total RNA	GSM98510 LE 1	Cy3	GSM98510	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98510_sample_table.txt norm	GSM98510_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98509 2	STT3714-Myxoid Chondrosarcoma	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41892.gif	STT3714-Myxoid Chondrosarcoma	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98509 extract 2	total RNA	GSM98509 LE 2	Cy5	GSM98509	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98509_sample_table.txt norm	GSM98509_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
GSM98509 1	CRH-mRNA	Simple annotation: Primary tumor, tumor tissue	Image: http://smd.stanford.edu/MicroArray/gifs/2003-06/41892.gif	CRH-mRNA	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	GSM98509 extract 1	total RNA	GSM98509 LE 1	Cy3	GSM98509	A-GEOD-3290	P-GSE4303-1	P-GSE4303-2	GSM98509_sample_table.txt norm	GSM98509_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4303/E-GEOD-4303.processed.1.zip
