gene	peak	stratum	coverage_complete	n_emc_available	n_comparator_available	n_comparator_total	emc_median	comparator_median	delta	direction	minimum_emc_minus_maximum_comparator	EMC_STT5525_delta	EMC_STT5526_delta	EMC_STT5527_delta	EMC_STT5592_delta
CD276	19547	sarcoma:ESS	True	4	4	4	0.285691831	0.213613344	0.072078487	positive	-0.190043956	0.082978959	0.069736909	0.074420065	-0.016071546
CD276	19547	sarcoma:EWS	True	4	4	4	0.285691831	0.1784237745	0.1072680565	positive	0.016449991	0.1181685285	0.1049264785	0.1096096345	0.0191180235
CD276	19547	sarcoma:GIST	True	4	7	7	0.285691831	0.13652005	0.149171781	positive	-0.136023272	0.160072253	0.146830203	0.151513359	0.061021748
CD276	19547	sarcoma:LMS	True	4	3	3	0.285691831	0.147636853	0.138054978	positive	-0.152312360	0.148955450	0.135713400	0.140396556	0.049904945
CD276	19547	sarcoma:MLPS	True	4	6	6	0.285691831	0.242287270	0.043404561	positive	-0.232473964	0.054305033	0.041062983	0.045746139	-0.044745472
CD276	19547	sarcoma:DDLPS	True	4	3	3	0.285691831	0.155951467	0.129740364	positive	-0.368312523	0.140640836	0.127398786	0.132081942	0.041590331
CD276	19547	sarcoma:SS	True	4	3	3	0.285691831	0.313094558	-0.027402727	negative	-0.126339972	-0.016502255	-0.029744305	-0.025061149	-0.115552760
CD276	19547	sarcoma:pooled	True	4	30	30	0.285691831	0.1834347725	0.1022570585	positive	-0.368312523	0.1131575305	0.0999154805	0.1045986365	0.0141070255
CD276	19547	adult:breast	True	4	5	5	0.285691831	0.147574597	0.138117234	positive	-0.101183653	0.149017706	0.135775656	0.140458812	0.049967201
CD276	19547	adult:colon	True	4	3	3	0.285691831	0.091302685	0.194389146	positive	0.007985543	0.205289618	0.192047568	0.196730724	0.106239113
CD276	19547	adult:kidney	True	4	3	3	0.285691831	0.220983665	0.064708166	positive	-0.100187353	0.075608638	0.062366588	0.067049744	-0.023441867
CD276	19547	adult:lung	True	4	5	5	0.285691831	0	0.285691831	positive	0.102085552	0.296592303	0.283350253	0.288033409	0.197541798
CD276	19547	adult:uterus	True	4	1	1	0.285691831	0	0.285691831	positive	0.197541798	0.296592303	0.283350253	0.288033409	0.197541798
CD276	19547	adult:pooled	True	4	17	17	0.285691831	0.091302685	0.194389146	positive	-0.101183653	0.205289618	0.192047568	0.196730724	0.106239113
CD276	19547	fetal:bowel	True	4	3	3	0.285691831	0.480257542	-0.194565711	negative	-0.312835914	-0.183665239	-0.196907289	-0.192224133	-0.282715744
CD276	19547	fetal:kidney	True	4	3	3	0.285691831	0.348611002	-0.062919171	negative	-0.158025355	-0.052018699	-0.065260749	-0.060577593	-0.151069204
CD276	19547	fetal:lung	True	4	4	4	0.285691831	0.204912652	0.080779179	positive	-0.390913531	0.091679651	0.078437601	0.083120757	-0.007370854
CD276	19547	fetal:pooled	True	4	10	10	0.285691831	0.308600073	-0.022908242	negative	-0.390913531	-0.012007770	-0.025249820	-0.020566664	-0.111058275
CD276	19547	normal:adult_fetal_pooled	True	4	27	27	0.285691831	0.155845639	0.129846192	positive	-0.390913531	0.140746664	0.127504614	0.132187770	0.041696159
CD276	19548	sarcoma:ESS	True	4	4	4	0.2006060875	0.16224206275	0.03836402475	positive	-0.094798157	0.25720279525	0.00135028225	0.04142831425	0.03529973525
CD276	19548	sarcoma:EWS	True	4	4	4	0.2006060875	0.235492728	-0.0348866405	negative	-0.092510145	0.183952130	-0.071900383	-0.031822351	-0.037950930
CD276	19548	sarcoma:GIST	True	4	7	7	0.2006060875	0.186939304	0.0136667835	positive	-0.182050166	0.232505554	-0.023346959	0.016731073	0.010602494
CD276	19548	sarcoma:LMS	True	4	3	3	0.2006060875	0.33012604	-0.1295199525	negative	-0.370818708	0.089318818	-0.166533695	-0.126455663	-0.132584242
CD276	19548	sarcoma:MLPS	True	4	6	6	0.2006060875	0.2031240975	-0.0025180100	negative	-0.172338129	0.2163207605	-0.0395317525	0.0005462795	-0.0055822995
CD276	19548	sarcoma:DDLPS	True	4	3	3	0.2006060875	0.220548679	-0.0199425915	negative	-0.147965974	0.198896179	-0.056956334	-0.016878302	-0.023006881
CD276	19548	sarcoma:SS	True	4	3	3	0.2006060875	0.180765228	0.0198408595	positive	-0.264862964	0.238679630	-0.017172883	0.022905149	0.016776570
CD276	19548	sarcoma:pooled	True	4	30	30	0.2006060875	0.194679925	0.0059261625	positive	-0.370818708	0.224764933	-0.031087580	0.008990452	0.002861873
