nct	om_title	group_title	evaluable_n	era	family	n_arms_registered	n_results_groups_in_om	arm_set_type_state	registry_arm_types_in_record_verbatim	arm_link_state	arm_link_relation	arm_link_source	arm_link_source_locator	n_candidate_arms	candidate_arm_indices	candidate_arm_labels	candidate_arm_types_verbatim	bound_arm_index	bound_arm_label	bound_arm_registered_type_verbatim	downgraded_candidate_arm_index	downgraded_candidate_arm_label	downgraded_candidate_registered_type_verbatim	contrary_description_locator	contrary_description_evidence_excerpt	comparator_role	comparator_role_basis	comparator_role_identity_assumption	group_text_comparator_wording_unverified	source_join_verification	registry_type_statement	registry_type_statement_assumption	contested_flags	leaf_claim_state	leaf_claim_arm_label	leaf_claim_locator	leaf_claim_verification	leaf_claim_verification_before_downgrade	leaf_narrative_transformed_excerpt_not_parsed	leaf_excerpt_transform	leaf_excerpt_original_chars	leaf_excerpt_at_400_char_cap	sole_arm_multi_results_group_flag	v1_arm_link_state	v1_arm_link_evidence_code	v1_confirmed_registry_arm_label	v1_control_status	job3_control_status	disposition_vs_v1	group_description_transformed_excerpt	group_description_transform	group_description_original_chars
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS+ Group	57	1999_2009	bor	3	3	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	SOURCE_FIELD_MATCH	TWO_AGREEING_FIELD_MATCHES:LABEL_BYTE_EXACT+DESC_BYTE_EXACT	SOURCE_RECORD	protocolSection.armsInterventionsModule.armGroups[0].label and protocolSection.armsInterventionsModule.armGroups[0].description	1	0	GSK2132231A GS+ Group	EXPERIMENTAL	0	GSK2132231A GS+ Group	EXPERIMENTAL						NOT_ESTABLISHED_IN_THIS_CACHE	bound arm 0 registered type EXPERIMENTAL (verbatim). A registered type of EXPERIMENTAL/OTHER is not evidence that this group had no comparator role; no comparator evidence exists in this cache either way			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED		NO_LEAF									NO	CONFIRMED	LABEL_BYTE_EXACT	GSK2132231A GS+ Group	NOT_CONTROL_CONFIRMED	NOT_CONTROL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED	Patients with the pre-specified gene signature (GS), who received intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	270
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS- Group	45	1999_2009	bor	3	3	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	SOURCE_FIELD_MATCH	TWO_AGREEING_FIELD_MATCHES:LABEL_BYTE_EXACT+DESC_BYTE_EXACT	SOURCE_RECORD	protocolSection.armsInterventionsModule.armGroups[1].label and protocolSection.armsInterventionsModule.armGroups[1].description	1	1	GSK2132231A GS- Group	EXPERIMENTAL	1	GSK2132231A GS- Group	EXPERIMENTAL						NOT_ESTABLISHED_IN_THIS_CACHE	bound arm 1 registered type EXPERIMENTAL (verbatim). A registered type of EXPERIMENTAL/OTHER is not evidence that this group had no comparator role; no comparator evidence exists in this cache either way			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED		NO_LEAF									NO	CONFIRMED	LABEL_BYTE_EXACT	GSK2132231A GS- Group	NOT_CONTROL_CONFIRMED	NOT_CONTROL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED	Patients without the pre-specified gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	279
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS-unknown Group	2	1999_2009	bor	3	3	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	SOURCE_FIELD_MATCH	TWO_AGREEING_FIELD_MATCHES:LABEL_BYTE_EXACT+DESC_BYTE_EXACT	SOURCE_RECORD	protocolSection.armsInterventionsModule.armGroups[2].label and protocolSection.armsInterventionsModule.armGroups[2].description	1	2	GSK2132231A GS-unknown Group	EXPERIMENTAL	2	GSK2132231A GS-unknown Group	EXPERIMENTAL						NOT_ESTABLISHED_IN_THIS_CACHE	bound arm 2 registered type EXPERIMENTAL (verbatim). A registered type of EXPERIMENTAL/OTHER is not evidence that this group had no comparator role; no comparator evidence exists in this cache either way			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED		NO_LEAF									NO	CONFIRMED	LABEL_BYTE_EXACT	GSK2132231A GS-unknown Group	NOT_CONTROL_CONFIRMED	NOT_CONTROL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED	Patients with unknown gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE\_A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	267
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	Alemtuzumab and Rituximab	30	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	LABEL_MATCH	LABEL_FIELD_MATCH_ONLY:LABEL_BYTE_EXACT	SOURCE_RECORD	protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Alemtuzumab and Rituximab	EXPERIMENTAL	0	Alemtuzumab and Rituximab	EXPERIMENTAL						NOT_ESTABLISHED_IN_THIS_CACHE	bound arm 0 registered type EXPERIMENTAL (verbatim). A registered type of EXPERIMENTAL/OTHER is not evidence that this group had no comparator role; no comparator evidence exists in this cache either way			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED		NO_LEAF									NO	CONFIRMED	LABEL_BYTE_EXACT	Alemtuzumab and Rituximab	NOT_CONTROL_CONFIRMED	NOT_CONTROL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.  Alemtuzumab: Alemtuzumab administered subcutaneously 30mg per day, 3 days per week for 18 weeks  Rituximab: Rituximab administered intravenously at 375mg/m2 every 2 weeks (starting week 3) for 18 we	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	403
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	Alemtuzumab and Rituximab	30	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	LABEL_MATCH	LABEL_FIELD_MATCH_ONLY:LABEL_BYTE_EXACT	SOURCE_RECORD	protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Alemtuzumab and Rituximab	EXPERIMENTAL	0	Alemtuzumab and Rituximab	EXPERIMENTAL						NOT_ESTABLISHED_IN_THIS_CACHE	bound arm 0 registered type EXPERIMENTAL (verbatim). A registered type of EXPERIMENTAL/OTHER is not evidence that this group had no comparator role; no comparator evidence exists in this cache either way			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED		NO_LEAF									NO	CONFIRMED	LABEL_BYTE_EXACT	Alemtuzumab and Rituximab	NOT_CONTROL_CONFIRMED	NOT_CONTROL	CHANGED_CLASS:NOT_CONTROL_ASSERTED->NOT_ESTABLISHED	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.  Alemtuzumab: Alemtuzumab administered subcutaneously 30mg per day, 3 days per week for 18 weeks  Rituximab: Rituximab administered intravenously at 375mg/m2 every 2 weeks (starting week 3) for 18 we	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	403
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 1 - Dose Level 1	4	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 18; candidate protocolSection.armsInterventionsModule.armGroups[1].label	1	1	Dose Level 1	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Dose Level 1	LEAF-OUT/LEAF-QD-group0.tsv:line 18	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	149	NO	NO	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Dose Level 1	NOT_CONTROL_CONFIRMED	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	127
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 2 - Dose Level 0	6	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 19; candidate protocolSection.armsInterventionsModule.armGroups[0].label	1	0	Dose Level 0	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Dose Level 0	LEAF-OUT/LEAF-QD-group0.tsv:line 19	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[0].label is the verbatim trailing substring of group_title AND armGroups[0].description temozolomide dose equals the group description dose	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	149	NO	NO	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Dose Level 0	NOT_CONTROL_CONFIRMED	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 75 mg/m\^2 PO days 1-5 28 day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	126
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 3 - Dose Level 1	3	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 20; candidate protocolSection.armsInterventionsModule.armGroups[1].label	1	1	Dose Level 1	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Dose Level 1	LEAF-OUT/LEAF-QD-group0.tsv:line 20	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	149	NO	NO	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Dose Level 1	NOT_CONTROL_CONFIRMED	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	127
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 4 - Dose Level 2	5	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 21; candidate protocolSection.armsInterventionsModule.armGroups[2].label	1	2	Dose Level 2	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Dose Level 2	LEAF-OUT/LEAF-QD-group0.tsv:line 21	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[2].label is the verbatim trailing substring of group_title AND armGroups[2].description temozolomide dose equals the group description dose	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	149	NO	NO	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Dose Level 2	NOT_CONTROL_CONFIRMED	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 175 mg/m\^2 PO days 1-5 28 day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	127
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 5 - Dose Level 1	3	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	PROPOSED	LEAF_CLAIM_NOT_VERIFIABLE_FROM_EXACT_SOURCE_FIELDS	DELIVERED_LEAF:LEAF-QD-group0.tsv	LEAF-OUT/LEAF-QD-group0.tsv:line 22; candidate protocolSection.armsInterventionsModule.armGroups[1].label	1	1	Dose Level 1	EXPERIMENTAL									UNKNOWN_IN_THIS_CACHE	no source-field-matched arm link and no comparator wording in the group record			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED		LEAF_LABEL_RESOLVES_UNIQUELY	Dose Level 1	LEAF-OUT/LEAF-QD-group0.tsv:line 22	RETAINED_UNVERIFIED_WITH_LOCATOR		armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_leaf_claim_locator	149	NO	NO	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	Dose Level 1	NOT_CONTROL_CONFIRMED	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:NOT_CONTROL_ASSERTED->UNKNOWN	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle	NEWLINE_TO_SPACE;CUT_AT_400_CHARS;TSV_WRITE_NORMALISES_TAB_AND_NEWLINE;ORIGINAL_RETRIEVABLE_ONLY_VIA_the cached source record	127
