nct	om_title	group_title	v2_arm_link_state	v3_arm_link_state	v2_comparator_role	v3_comparator_role	v2_registry_type_statement	v3_registry_type_statement	v2_registry_type_statement_assumption	v3_registry_type_statement_assumption	v3_comparator_role_identity_assumption	v3_group_text_comparator_wording_unverified	v3_source_join_verification	v2_bound_arm_index	v3_bound_arm_index	v3_downgraded_candidate_arm_index	vocabulary_only_changed_columns	substantively_changed_columns	row_disposition
NCT00066222	Tumor Response	Radiation Therapy + Chemotherapy	LABEL_MATCH	LABEL_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_relation;registry_type_statement_assumption		VOCABULARY_ONLY
NCT00183820	Tumor Response	Paclitaxel, Gemcitabine, and Oxaliplatin	LABEL_MATCH	LABEL_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	ASSUMES_LABEL_CORRESPONDENCE_IS_ARM_IDENTITY	ASSUMES_LABEL_FIELD_CORRESPONDENCE_IS_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_relation;registry_type_statement_assumption		VOCABULARY_ONLY
NCT00298896	Best Overall Response	SNS-595	SOURCE_CONFIRMED	SOURCE_FIELD_MATCH	NOT_ESTABLISHED_IN_THIS_CACHE	NOT_ESTABLISHED_IN_THIS_CACHE	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL	BOUND_ARM_REGISTERED_TYPE_IS_EXPERIMENTAL		ASSUMES_TWO_AGREEING_SOURCE_FIELD_MATCHES_ARE_ARM_IDENTITY_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE	0	0		arm_link_state;arm_link_relation	registry_type_statement_assumption	SUBSTANTIVE
NCT00301067	Tumor Response	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	UNRESOLVED	UNRESOLVED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_NON_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE						IDENTICAL
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm A	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	NO_ARMS_REGISTERED_IN_THIS_CACHE	UNKNOWN_NO_ARMS_REGISTERED_IN_THIS_CACHE					NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				registry_type_statement		VOCABULARY_ONLY
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm B	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	NO_ARMS_REGISTERED_IN_THIS_CACHE	UNKNOWN_NO_ARMS_REGISTERED_IN_THIS_CACHE					NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				registry_type_statement		VOCABULARY_ONLY
NCT00600340	Best Overall Response (ITT Population)	Bevacizumab Plus Capecitabine	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00600340	Best Overall Response (ITT Population)	Bevacizumab Plus Paclitaxel	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00600340	Best Overall Response (PP Population)	Bevacizumab Plus Capecitabine	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
NCT00600340	Best Overall Response (PP Population)	Bevacizumab Plus Paclitaxel	PROPOSED	PROPOSED	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ALL_REGISTERED_ARMS_COMPARATOR_TYPED_CONDITIONAL	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED			NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE				disposition_vs_v1		VOCABULARY_ONLY
