row_key	input_key_nct_id	input_key_om_index	input_key_group_id	payload_shard	cache_revision	om_title	om_type	param_type	unit_of_measure	time_frame	population_description	group_title	n_classes_in_om	n_contributing_classes	contributing_class_indices	class_titles_contributing	reported_denominator_participants	denominator_provenance	denominator_units_available	n_source_categories	n_source_categories_integer	n_distinct_source_category_titles	n_categories_kept_by_producer	full_category_vector	categories_kept_by_producer_with_values	categories_dropped_by_producer_with_values	dropped_response_bearing_categories_with_values	dropped_non_evaluable_categories_with_values	dropped_unclassified_categories_with_values	all_categories_contributing_classes_sum	job1_evaluable_n_sum_of_four_producer_cells	job1_all_categories_in_contributing_classes_sum	evaluable_n_minus_reported_denominator	all_categories_sum_minus_reported_denominator	job1_column26_original_label	job1_column26_value_carried_unchanged	producer_label_collision_within_class	producer_label_collision_across_classes	producer_label_collision_value_conflicting	producer_colliding_labels	job1_classification_carried	category_vector_source	leaf_qa_coverage	denominator_state	category_preservation_state	proportion_suitability	unresolved_reason_codes	advisory_flag_codes	rate_derived	source_pointer
NCT00066222|OM5|OG000	NCT00066222	5	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Tumor Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	From the start of treatment to 2 months following the completion of chemotherapy	Eligible patients who started study treatment and were observed for at least 2 months post-treatment	Radiation Therapy + Chemotherapy	1	1	0	<untitled>	68	outcomeMeasures[5].denoms[units=Participants].counts[groupId=OG000].value	Participants	4	4	4	4	[class 0] Complete Response=29|[class 0] Partial Response=28|[class 0] Stable Disease=7|[class 0] Progressive Disease=4	[class 0] Complete Response=29|[class 0] Partial Response=28|[class 0] Stable Disease=7|[class 0] Progressive Disease=4					68	68	68	0	0	sum_minus_reported_denominator	0	0	0	0		valid	CACHE_DIRECT_216bd1b5	NONE	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00066222] :: outcomeMeasures[5] :: groups[OG000]
NCT00183820|OM0|OG000	NCT00183820	0	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Tumor Response	PRIMARY	COUNT_OF_PARTICIPANTS	Participants	From start of study drug until the date of first documented progression or date of death from any cause, whichever came first, assessed every 6 weeks, through study completion, up to 9 years	1 patient was inevaluable.	Paclitaxel, Gemcitabine, and Oxaliplatin	1	1	0	<untitled>	29	outcomeMeasures[0].denoms[units=Participants].counts[groupId=OG000].value	Participants	4	4	4	4	[class 0] Complete Response (CR)=2|[class 0] Partial Response (PR)=7|[class 0] Stable Disease (SD)=15|[class 0] Progressive Disease (PD)=5	[class 0] Complete Response (CR)=2|[class 0] Partial Response (PR)=7|[class 0] Stable Disease (SD)=15|[class 0] Progressive Disease (PD)=5					29	29	29	0	0	sum_minus_reported_denominator	0	0	0	0		valid	CACHE_DIRECT_216bd1b5	NONE	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00183820] :: outcomeMeasures[0] :: groups[OG000]
NCT00298896|OM1|OG000	NCT00298896	1	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Best Overall Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	upto 6 months	Efficacy Analysis Set	SNS-595	1	1	0	<untitled>	47	outcomeMeasures[1].denoms[units=Participants].counts[groupId=OG000].value	Participants	4	4	4	4	[class 0] Complete Response=1|[class 0] Partial Response=2|[class 0] Progressive Disease=31|[class 0] Stable Disease=13	[class 0] Complete Response=1|[class 0] Partial Response=2|[class 0] Progressive Disease=31|[class 0] Stable Disease=13					47	47	47	0	0	sum_minus_reported_denominator	0	0	0	0		valid	CACHE_DIRECT_216bd1b5	NONE	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00298896] :: outcomeMeasures[1] :: groups[OG000]
NCT00301067|OM2|OG000	NCT00301067	2	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Tumor Response	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	At baseline and every 8 weeks during treatment for a maximum of 12 cycles where one cycle equals 28 days.	Cohort results for this outcome measure are combined as the objective was to determine the tumor response of patients with this drug combination (dose was irrelevant)	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	1	1	0	<untitled>	20	outcomeMeasures[2].denoms[units=Participants].counts[groupId=OG000].value	Participants	4	4	4	4	[class 0] Complete Response=0|[class 0] Partial Response=2|[class 0] Stable Disease=1|[class 0] Progressive Disease=17	[class 0] Complete Response=0|[class 0] Partial Response=2|[class 0] Stable Disease=1|[class 0] Progressive Disease=17					20	20	20	0	0	sum_minus_reported_denominator	0	0	0	0		valid	CACHE_DIRECT_216bd1b5	NONE	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00301067] :: outcomeMeasures[2] :: groups[OG000]
NCT00389805|OM6|OG000	NCT00389805	6	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to 36 months	All patients for whom response evaluation measurements were recorded at baseline and after 2 cycles.	Arm A	1	1	0	<untitled>	15	outcomeMeasures[6].denoms[units=Participants].counts[groupId=OG000].value	Participants	4	4	4	4	[class 0] Complete Response (CR)=0|[class 0] Partial Response (PR)=1|[class 0] Stable Disease (SD)=7|[class 0] Progressive Disease (PD)=7	[class 0] Complete Response (CR)=0|[class 0] Partial Response (PR)=1|[class 0] Stable Disease (SD)=7|[class 0] Progressive Disease (PD)=7					15	15	15	0	0	sum_minus_reported_denominator	0	0	0	0		valid	CACHE_DIRECT_216bd1b5	NONE	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG000]
NCT00389805|OM6|OG001	NCT00389805	6	OG001	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to 36 months	All patients for whom response evaluation measurements were recorded at baseline and after 2 cycles.	Arm B	1	1	0	<untitled>	12	outcomeMeasures[6].denoms[units=Participants].counts[groupId=OG001].value	Participants	4	4	4	4	[class 0] Complete Response (CR)=0|[class 0] Partial Response (PR)=1|[class 0] Stable Disease (SD)=6|[class 0] Progressive Disease (PD)=5	[class 0] Complete Response (CR)=0|[class 0] Partial Response (PR)=1|[class 0] Stable Disease (SD)=6|[class 0] Progressive Disease (PD)=5					12	12	12	0	0	sum_minus_reported_denominator	0	0	0	0		valid	CACHE_DIRECT_216bd1b5	NONE	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NONE	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG001]
NCT00600340|OM3|OG000	NCT00600340	3	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Intent-to-Treat population	Bevacizumab Plus Paclitaxel	1	1	0	<untitled>	285	outcomeMeasures[3].denoms[units=Participants].counts[groupId=OG000].value	Participants	5	5	5	4	[class 0] Complete response=10|[class 0] Partial response=115|[class 0] Stable disease=127|[class 0] Progressive disease=18|[class 0] Not evaluable=15	[class 0] Complete response=10|[class 0] Partial response=115|[class 0] Stable disease=127|[class 0] Progressive disease=18	[class 0] Not evaluable=15		[class 0] Not evaluable=15		285	270	285	-15	0	sum_minus_reported_denominator	-15	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG000]
NCT00600340|OM3|OG001	NCT00600340	3	OG001	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Intent-to-Treat population	Bevacizumab Plus Capecitabine	1	1	0	<untitled>	279	outcomeMeasures[3].denoms[units=Participants].counts[groupId=OG001].value	Participants	5	5	5	4	[class 0] Complete response=2|[class 0] Partial response=74|[class 0] Stable disease=138|[class 0] Progressive disease=47|[class 0] Not evaluable=18	[class 0] Complete response=2|[class 0] Partial response=74|[class 0] Stable disease=138|[class 0] Progressive disease=47	[class 0] Not evaluable=18		[class 0] Not evaluable=18		279	261	279	-18	0	sum_minus_reported_denominator	-18	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG001]
NCT00600340|OM4|OG000	NCT00600340	4	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Best Overall Response (PP Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Per protocol population	Bevacizumab Plus Paclitaxel	1	1	0	<untitled>	266	outcomeMeasures[4].denoms[units=Participants].counts[groupId=OG000].value	Participants	5	5	5	4	[class 0] Complete response=10|[class 0] Partial response=111|[class 0] Stable disease=117|[class 0] Progressive disease=17|[class 0] Not evaluable=11	[class 0] Complete response=10|[class 0] Partial response=111|[class 0] Stable disease=117|[class 0] Progressive disease=17	[class 0] Not evaluable=11		[class 0] Not evaluable=11		266	255	266	-11	0	sum_minus_reported_denominator	-11	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[4] :: groups[OG000]
NCT00600340|OM4|OG001	NCT00600340	4	OG001	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Best Overall Response (PP Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	Per protocol population	Bevacizumab Plus Capecitabine	1	1	0	<untitled>	265	outcomeMeasures[4].denoms[units=Participants].counts[groupId=OG001].value	Participants	5	5	5	4	[class 0] Complete response=2|[class 0] Partial response=72|[class 0] Stable disease=130|[class 0] Progressive disease=45|[class 0] Not evaluable=16	[class 0] Complete response=2|[class 0] Partial response=72|[class 0] Stable disease=130|[class 0] Progressive disease=45	[class 0] Not evaluable=16		[class 0] Not evaluable=16		265	249	265	-16	0	sum_minus_reported_denominator	-16	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[4] :: groups[OG001]
NCT00600340|OM5|OG000	NCT00600340	5	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Unconfirmed Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	ITT population	Bevacizumab Plus Paclitaxel	1	1	0	<untitled>	285	outcomeMeasures[5].denoms[units=Participants].counts[groupId=OG000].value	Participants	5	5	5	4	[class 0] Complete response=16|[class 0] Partial response=147|[class 0] Stable disease=89|[class 0] Progressive disease=18|[class 0] Not evaluable=15	[class 0] Complete response=16|[class 0] Partial response=147|[class 0] Stable disease=89|[class 0] Progressive disease=18	[class 0] Not evaluable=15		[class 0] Not evaluable=15		285	270	285	-15	0	sum_minus_reported_denominator	-15	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[5] :: groups[OG000]
NCT00600340|OM5|OG001	NCT00600340	5	OG001	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Unconfirmed Best Overall Response (ITT Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	ITT population	Bevacizumab Plus Capecitabine	1	1	0	<untitled>	279	outcomeMeasures[5].denoms[units=Participants].counts[groupId=OG001].value	Participants	5	5	5	4	[class 0] Complete response=4|[class 0] Partial response=101|[class 0] Stable disease=109|[class 0] Progressive disease=47|[class 0] Not evaluable=18	[class 0] Complete response=4|[class 0] Partial response=101|[class 0] Stable disease=109|[class 0] Progressive disease=47	[class 0] Not evaluable=18		[class 0] Not evaluable=18		279	261	279	-18	0	sum_minus_reported_denominator	-18	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[5] :: groups[OG001]
NCT00600340|OM6|OG000	NCT00600340	6	OG000	ctg_results_bor_1999_2009	216bd1b5fb25a56b90ef3cc2373e1fe68322708f	Unconfirmed Best Overall Response (PP Population)	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Up to disease progression or up to 28 days after last intake of study medication, assessed up to approximately 5 years.	PP population	Bevacizumab Plus Paclitaxel	1	1	0	<untitled>	266	outcomeMeasures[6].denoms[units=Participants].counts[groupId=OG000].value	Participants	5	5	5	4	[class 0] Complete response=16|[class 0] Partial response=141|[class 0] Stable disease=81|[class 0] Progressive disease=17|[class 0] Not evaluable=11	[class 0] Complete response=16|[class 0] Partial response=141|[class 0] Stable disease=81|[class 0] Progressive disease=17	[class 0] Not evaluable=11		[class 0] Not evaluable=11		266	255	266	-11	0	sum_minus_reported_denominator	-11	0	0	0		unsupported	CACHE_DIRECT_216bd1b5	LEAF-QA-group0.tsv	READ_FROM_SOURCE	FULL_VECTOR	NOT_REFUTED_BY_THIS_COMPONENT	NONE	NON_EVALUABLE_CATEGORY_DROPPED_BY_PRODUCER	NOT_DERIVED	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[6] :: groups[OG000]
