nct	canonical_payload	registered_enrollment	enrollment_type	n_registered_arms	n_distinct_response_cohorts	n_response_observations	max_single_cohort_denominator	max_single_cohort_pointer	largest_within_measure_om_index	groups_in_that_measure	within_measure_denominator_sum	pooled_label_in_that_measure	conflict_findings	summation_policy	disjointness_status
NCT00940225	ctg_placebo_onc_1999_2009.txt	730	ACTUAL	7	16	16	171	ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG000]	0	10	586	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00418886	ctg_placebo_onc_1999_2009.txt	698	ACTUAL	2	2	4	278	ctg_placebo_onc_1999_2009.txt::NCT00418886::outcomeMeasures[3]::groups[OG001]	3	2	534	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00738699	ctg_placebo_onc_1999_2009.txt	415	ACTUAL	2	2	4	275	ctg_placebo_onc_1999_2009.txt::NCT00738699::outcomeMeasures[2]::groups[OG000]	2	2	415	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00565370	ctg_placebo_onc_1999_2009.txt	22	ACTUAL	2	1	1	16	ctg_placebo_onc_1999_2009.txt::NCT00565370::outcomeMeasures[2]::groups[OG000]	2	1	16	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00659438	ctg_placebo_onc_1999_2009.txt	95	ACTUAL	2	2	2	48	ctg_placebo_onc_1999_2009.txt::NCT00659438::outcomeMeasures[3]::groups[OG001]	3	2	95	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00321893	ctg_placebo_onc_1999_2009.txt	225	ACTUAL	2	2	4	100	ctg_placebo_onc_1999_2009.txt::NCT00321893::outcomeMeasures[2]::groups[OG001]	2	2	198	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00437294	ctg_placebo_onc_1999_2009.txt	86	ACTUAL	2	2	2	43	ctg_placebo_onc_1999_2009.txt::NCT00437294::outcomeMeasures[5]::groups[OG001]	5	2	85	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00613626	ctg_placebo_onc_1999_2009.txt	74	ACTUAL	3	2	4	28	ctg_placebo_onc_1999_2009.txt::NCT00613626::outcomeMeasures[2]::groups[OG001]	2	2	54	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00304239	ctg_placebo_onc_1999_2009.txt	131	ACTUAL	2	2	4	58	ctg_placebo_onc_1999_2009.txt::NCT00304239::outcomeMeasures[0]::groups[OG001]	0	2	115	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00493636	ctg_placebo_onc_1999_2009.txt	160	ACTUAL	2	2	4	81	ctg_placebo_onc_1999_2009.txt::NCT00493636::outcomeMeasures[3]::groups[OG000]	3	2	160	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
NCT00752986	ctg_placebo_onc_1999_2009.txt	39	ACTUAL	3	3	3	0			0	0	False	NO_CONFLICT_DETECTED	NOT_A_PATIENT_COUNT__NO_CROSS_MEASURE_SUM_EMITTED	DISJOINTNESS_UNVERIFIABLE__NO_participantFlowModule_IN_CACHE
