nct	relation_type	parent_cohort_key	parent_denominator	component_cohort_keys	component_denominators	component_sum	registered_enrollment	enrollment_type	arithmetic_note	source_pointer
NCT00137449	POOLED_PARENT_WITH_COMPONENTS	NCT00137449||total (equals am plus pm dose) sunitinib malate	60	NCT00137449||am dose sunitinib malate|NCT00137449||pm dose sunitinib malate	30|30	60	60	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00137449
NCT00146172	POOLED_PARENT_WITH_COMPONENTS	NCT00146172||all subjects	60	NCT00146172||breast cancer cohort|NCT00146172||lung cancer cohort|NCT00146172||breast cancer|NCT00146172||lung cancer|NCT00146172||all solid tumors	25|14|25|14|60	138	73	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00146172
NCT00290771	POOLED_PARENT_WITH_COMPONENTS	NCT00290771||all patients - imatinib 600 or 1000 mg + hydroxyurea 1000 mg	231	NCT00290771||imatinib 600 mg + hydroxyurea 1000 mg|NCT00290771||imatinib 1000 mg + hydroxyurea 1000 mg	131|100	231	231	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00290771
NCT00462761	POOLED_PARENT_WITH_COMPONENTS	NCT00462761||all participants	76/59	NCT00462761||quizartinib 12 mg id|NCT00462761||quizartinib 18 mg id|NCT00462761||quizartinib 27 mg id|NCT00462761||quizartinib 40 mg id|NCT00462761||quizartinib 60 mg id|NCT00462761||quizartinib 90 mg id|NCT00462761||quizartinib 135 mg id|NCT00462761||quizartinib 200 mg id|NCT00462761||quizartinib 300 mg id|NCT00462761||quizartinib 450 mg id|NCT00462761||quizartinib 200 mg cd|NCT00462761||quizartinib 300 mg cd	3|8/5|6/4|5/4|5|3/2|5/4|6/5|4|6/4|17/12|8/7	76	76	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00462761
NCT00598975	POOLED_PARENT_WITH_COMPONENTS	NCT00598975||total	18	NCT00598975||nktr-102 100 mg/m2 + cetuximab|NCT00598975||nktr-102 125 mg/m2 + cetuximab	12|6	18	18	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00598975
NCT00668148	POOLED_PARENT_WITH_COMPONENTS	NCT00668148||total	111	NCT00668148||ewing's sarcoma/pnet|NCT00668148||rhabdomyosarcoma|NCT00668148||leiomyosarcoma|NCT00668148||adipocytic sarcoma|NCT00668148||synovial sarcoma	18|17|22|37|17	111	113	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00668148
NCT00804856	POOLED_PARENT_WITH_COMPONENTS	NCT00804856||total phase i combined. schedule a	32	NCT00804856||phase ii schedule c. ldac|NCT00804856||phase ii schedule a. volasertib 350 mg+ldac|NCT00804856||phase i schedule a. volasertib 150 mg+ldac|NCT00804856||phase i schedule a. volasertib 200 mg+ldac|NCT00804856||phase i schedule a. volasertib 250 mg+ldac|NCT00804856||phase i schedule a. volasertib 300 mg+ldac|NCT00804856||phase i schedule a. volasertib 350 mg+ldac|NCT00804856||phase i schedule a. volasertib 400 mg+ldac|NCT00804856||phase i schedule b. volasertib 150 mg|NCT00804856||phase i schedule b. volasertib 200 mg|NCT00804856||phase i schedule b. volasertib 350 mg|NCT00804856||phase i schedule b. volasertib 400 mg|NCT00804856||phase i schedule b. volasertib 450 mg|NCT00804856||phase i schedule b. volasertib 500 mg|NCT00804856||phase i schedule b. volasertib 550 mg	45|42|4|3|5|9|8|3|11|2|5|6|23|5|4	175	180	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00804856
NCT00804856	POOLED_PARENT_WITH_COMPONENTS	NCT00804856||total phase i combined. schedule b	56	NCT00804856||phase ii schedule c. ldac|NCT00804856||phase ii schedule a. volasertib 350 mg+ldac|NCT00804856||phase i schedule a. volasertib 150 mg+ldac|NCT00804856||phase i schedule a. volasertib 200 mg+ldac|NCT00804856||phase i schedule a. volasertib 250 mg+ldac|NCT00804856||phase i schedule a. volasertib 300 mg+ldac|NCT00804856||phase i schedule a. volasertib 350 mg+ldac|NCT00804856||phase i schedule a. volasertib 400 mg+ldac|NCT00804856||phase i schedule b. volasertib 150 mg|NCT00804856||phase i schedule b. volasertib 200 mg|NCT00804856||phase i schedule b. volasertib 350 mg|NCT00804856||phase i schedule b. volasertib 400 mg|NCT00804856||phase i schedule b. volasertib 450 mg|NCT00804856||phase i schedule b. volasertib 500 mg|NCT00804856||phase i schedule b. volasertib 550 mg	45|42|4|3|5|9|8|3|11|2|5|6|23|5|4	175	180	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00804856
NCT00804856	POOLED_PARENT_WITH_COMPONENTS	NCT00804856||total phase ii combined. schedule a and c	87	NCT00804856||phase ii schedule c. ldac|NCT00804856||phase ii schedule a. volasertib 350 mg+ldac|NCT00804856||phase i schedule a. volasertib 150 mg+ldac|NCT00804856||phase i schedule a. volasertib 200 mg+ldac|NCT00804856||phase i schedule a. volasertib 250 mg+ldac|NCT00804856||phase i schedule a. volasertib 300 mg+ldac|NCT00804856||phase i schedule a. volasertib 350 mg+ldac|NCT00804856||phase i schedule a. volasertib 400 mg+ldac|NCT00804856||phase i schedule b. volasertib 150 mg|NCT00804856||phase i schedule b. volasertib 200 mg|NCT00804856||phase i schedule b. volasertib 350 mg|NCT00804856||phase i schedule b. volasertib 400 mg|NCT00804856||phase i schedule b. volasertib 450 mg|NCT00804856||phase i schedule b. volasertib 500 mg|NCT00804856||phase i schedule b. volasertib 550 mg	45|42|4|3|5|9|8|3|11|2|5|6|23|5|4	175	180	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT00804856
NCT01024231	POOLED_PARENT_WITH_COMPONENTS	NCT01024231||total	127	NCT01024231||cohort 1|NCT01024231||cohort 2|NCT01024231||cohort 2a|NCT01024231||cohort 3|NCT01024231||any bms and ipi combo|NCT01024231||cohort 6|NCT01024231||cohorot 7|NCT01024231||only bms|NCT01024231||cohort 8|NCT01024231||any bms/ipi	14|17|16|6|53|17|16|33|41|94	307	127	ACTUAL	component_sum is shown ONLY to expose double counting against the parent; parent and components are the SAME people and are never added together.	ctg_results_bor_1999_2009.txt::NCT01024231
