nct	leaf_group	mechanism	reducible_to_non_overlapping_set	registered_enrollment	enrollment_type	selected_cohorts_job2	sum_selected_denominators_job2	excess_job2	source_file
NCT00069095	0	M2_CROSS_AXIS_PARTITION	YES	2035	ACTUAL	4	3304	1269	LEAF-QB-group0.tsv
NCT00806156	0	M8_ANALYSIS_POPULATION_NESTING	YES	178	ACTUAL	6	609	431	LEAF-QB-group0.tsv
NCT01024231	0	M1_POOLED_PLUS_COMPONENTS	YES	127	ACTUAL	11	434	307	LEAF-QB-group0.tsv
NCT01078662	0	M1_POOLED_PLUS_COMPONENTS	YES	298	ACTUAL	6	596	298	LEAF-QB-group0.tsv
NCT00502307	0	M4_ASSESSOR_DUPLICATE	YES	272	ACTUAL	2	544	272	LEAF-QB-group0.tsv
NCT00290771	0	M1_POOLED_PLUS_COMPONENTS	YES	231	ACTUAL	3	462	231	LEAF-QB-group0.tsv
NCT01085136	0	M9_SEQUENTIAL_PARTS_RELATION_UNSTATED	UNRESOLVED	1154	ACTUAL	3	1360	206	LEAF-QB-group0.tsv
NCT00804856	0	M1_POOLED_PLUS_COMPONENTS	YES	180	ACTUAL	18	350	170	LEAF-QB-group0.tsv
NCT00191152	0	M5_SEQUENTIAL_REENTRY	YES	475	ACTUAL	4	633	158	LEAF-QB-group0.tsv
NCT01089413	0	M1_POOLED_PLUS_COMPONENTS	YES	201	ACTUAL	4	356	155	LEAF-QB-group0.tsv
NCT01084863	0	M4_ASSESSOR_DUPLICATE	YES	143	ACTUAL	4	286	143	LEAF-QB-group0.tsv
NCT00146172	0	M3_TITLE_VARIANT_DUPLICATE + M1_POOLED_PLUS_COMPONENTS	YES	73	ACTUAL	6	198	125	LEAF-QB-group0.tsv
NCT00790400	0	M5_SEQUENTIAL_REENTRY	YES	118	ACTUAL	3	230	112	LEAF-QB-group0.tsv
NCT00668148	0	M1_POOLED_PLUS_COMPONENTS	YES	113	ACTUAL	6	222	109	LEAF-QB-group0.tsv
NCT01251536	0	M1_POOLED_PLUS_COMPONENTS	YES	108	ACTUAL	4	216	108	LEAF-QB-group0.tsv
NCT00152477	0	M1_POOLED_PLUS_COMPONENTS	YES	165	ACTUAL	4	262	97	LEAF-QB-group0.tsv
NCT01063907	0	M1_POOLED_PLUS_COMPONENTS	YES	95	ACTUAL	6	190	95	LEAF-QB-group0.tsv
NCT00451555	0	M1_POOLED_PLUS_COMPONENTS	YES	156	ACTUAL	4	246	90	LEAF-QB-group0.tsv
NCT01217957	0	M3_TITLE_VARIANT_DUPLICATE + M8_ANALYSIS_POPULATION_NESTING	YES	65	ACTUAL	3	153	88	LEAF-QB-group0.tsv
NCT00171834	0	M1_POOLED_PLUS_COMPONENTS + M3_TITLE_VARIANT_DUPLICATE	YES	89	ACTUAL	8	170	81	LEAF-QB-group0.tsv
NCT00462761	0	M1_POOLED_PLUS_COMPONENTS	YES	76	ACTUAL	13	152	76	LEAF-QB-group0.tsv
NCT00137449	0	M1_POOLED_PLUS_COMPONENTS	YES	60	ACTUAL	3	120	60	LEAF-QB-group0.tsv
