obs_id	nct	canonical_payload	om_index	results_group_id	class_index	class_title	category_index	category_title	measurement_value_raw	measurement_spread	measurement_lower	measurement_upper	measurement_comment	om_param_type	om_unit_of_measure	class_denom_units	class_denom_value_for_group	source_pointer
NCT00940225#om0#OG000	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG000	0		0		4.7		2.0	8.7		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG000]::classes[0]::categories[0]
NCT00940225#om0#OG001	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG001	0		0		5.2		1.8	12.4		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG001]::classes[0]::categories[0]
NCT00940225#om0#OG002	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG002	0		0		10		4.4	20.3		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG002]::classes[0]::categories[0]
NCT00940225#om0#OG003	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG003	0		0		0		0	15.4		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG003]::classes[0]::categories[0]
NCT00940225#om0#OG004	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG004	0		0		4.8		0.2	21.8		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG004]::classes[0]::categories[0]
NCT00940225#om0#OG005	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG005	0		0		4.9		0.9	16.1		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG005]::classes[0]::categories[0]
NCT00940225#om0#OG006	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG006	0		0		4.8		0.2	21.8		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG006]::classes[0]::categories[0]
NCT00940225#om0#OG007	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG007	0		0		21.7		13.1	32.4		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG007]::classes[0]::categories[0]
NCT00940225#om0#OG008	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG008	0		0		13.6		6.0	25.7		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG008]::classes[0]::categories[0]
NCT00940225#om0#OG009	NCT00940225	ctg_placebo_onc_1999_2009.txt	0	OG009	0		0		10.0		3.3	21.8		NUMBER	percentage of participants			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[0]::groups[OG009]::classes[0]::categories[0]
NCT00940225#om3#OG000	NCT00940225	ctg_placebo_onc_1999_2009.txt	3	OG000	0		0		5.59		4.27	8.34		MEDIAN	Months			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[3]::groups[OG000]::classes[0]::categories[0]
NCT00940225#om3#OG001	NCT00940225	ctg_placebo_onc_1999_2009.txt	3	OG001	0		0		5.55		2.99	13.86		MEDIAN	Months			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[3]::groups[OG001]::classes[0]::categories[0]
NCT00940225#om3#OG002	NCT00940225	ctg_placebo_onc_1999_2009.txt	3	OG002	0		0		6.90		5.29	10.74		MEDIAN	Months			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[3]::groups[OG002]::classes[0]::categories[0]
NCT00940225#om3#OG003	NCT00940225	ctg_placebo_onc_1999_2009.txt	3	OG003	0		0		4.21		2.99	NA	Unable to estimate due to low numbers.	MEDIAN	Months			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[3]::groups[OG003]::classes[0]::categories[0]
NCT00940225#om3#OG004	NCT00940225	ctg_placebo_onc_1999_2009.txt	3	OG004	0		0		11.24		7.20	NA	Unable to estimate due to low numbers.	MEDIAN	Months			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[3]::groups[OG004]::classes[0]::categories[0]
NCT00940225#om3#OG005	NCT00940225	ctg_placebo_onc_1999_2009.txt	3	OG005	0		0		3.29		2.79	4.21		MEDIAN	Months			ctg_placebo_onc_1999_2009.txt::NCT00940225::outcomeMeasures[3]::groups[OG005]::classes[0]::categories[0]
