cohort_key	nct	results_group_title_norm	n_observations	observation_ids	om_indices	distinct_om_types	distinct_titles	distinct_time_frames	distinct_constructs	distinct_criteria	distinct_criteria_versions	distinct_population_descriptions	distinct_param_types	distinct_units	distinct_denominator_values	distinct_denominator_states	n_usable_for_proportion	duplicate_encoding_candidate	unresolved_states	selection_status	resolution_note
NCT00001941||phase ii- 8 mg/kg cohort	NCT00001941	phase ii- 8 mg/kg cohort	1	NCT00001941#om2#OG000	2	PRIMARY	1	1	1	1	1	1	1	1	19	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00004859||arm a (paclitaxel + carboplatin + radiation )	NCT00004859	arm a (paclitaxel + carboplatin + radiation )	1	NCT00004859#om1#OG000	1	SECONDARY	1	1	1	1	1	1	1	1	275	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00004859||arm b (paclitaxel + carboplatin + radiation + thalidomide)	NCT00004859	arm b (paclitaxel + carboplatin + radiation + thalidomide)	1	NCT00004859#om1#OG001	1	SECONDARY	1	1	1	1	1	1	1	1	271	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00004888||arm i: doxorubicin and taxotere	NCT00004888	arm i: doxorubicin and taxotere	1	NCT00004888#om1#OG000	1	SECONDARY	1	1	1	1	1	1	1	1	38	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00004888||arm ii: doxorubicin, taxotere, and herceptin	NCT00004888	arm ii: doxorubicin, taxotere, and herceptin	1	NCT00004888#om1#OG001	1	SECONDARY	1	1	1	1	1	1	1	1	46	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00006389||treatment	NCT00006389	treatment	1	NCT00006389#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	12	PRESENT	0	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00010257||thymic carcinoma	NCT00010257	thymic carcinoma	1	NCT00010257#om0#OG001	0	PRIMARY	1	1	1	1	1	1	1	1	20	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00010257||thymoma	NCT00010257	thymoma	1	NCT00010257#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	23	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00019682||arm i (aldesleukin)	NCT00019682	arm i (aldesleukin)	1	NCT00019682#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	93	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT00019682||arm ii (gp100 antigen in montanide ida-51 and aldesleukin)	NCT00019682	arm ii (gp100 antigen in montanide ida-51 and aldesleukin)	1	NCT00019682#om0#OG001	0	PRIMARY	1	1	1	1	1	1	1	1	85	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
