nct	canonical_payload	results_group_id	n_distinct_titles	titles
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG000	4	crpc|lead-in stage - crpc|nre cohort - crpc 100 mg|randomized phase - crpc, cabozantinib arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG001	4	lead-in stage - melanoma|melanoma|nre cohort - crpc 39.4 mg|randomized phase - crpc, placebo arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG002	5	lead-in stage - nsclc|nre cohort - ovarian 100 mg|nscl|nsclc|randomized phase - melanoma, cabozantinib arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG003	4	hepatocellular carcinoma|lead-in stage - pancreatic cancer|pancreatic cancer|randomized phase - melanoma, placebo arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG004	4	gastric/gej|lead-in stage - gastric/gej|ovarian cancer|randomized phase - nsclc, cabozantinib arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG005	4	hepatocellular carcinoma|lead-in stage - hepatocellular carcinoma|metastatic breast cancer|randomized phase - nsclc, placebo arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG006	3	lead-in stage - sclc|randomized phase - pancreatic cancer, cabozantinib arm|sclc
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG007	3	lead-in stage - ovarian cancer|ovarian cancer|randomized phase - pancreatic cancer, placebo arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG008	3	lead-in stage - metastatic breast cancer|metastatic breast cancer|randomized phase - gastric/gej, cabozantinib arm
NCT00940225	ctg_placebo_onc_1999_2009.txt	OG009	2	lead-in stage - nre ovarian cancer|randomized phase - gastric/gej , placebo arm
NCT00090285	ctg_placebo_onc_1999_2009.txt	OG000	4	ltfu (ext2): early vaccination group|msm qhpv vaccine in base study|qhpv vaccine in base study|qhpv vaccine: base study and followup
NCT00090285	ctg_placebo_onc_1999_2009.txt	OG001	3	ltfu (ext2): catch-up vaccination group|placebo in base study|placebo: base study and followup
NCT00608634	ctg_placebo_onc_1999_2009.txt	OG001	2	low dose 0.30% poh|low dose poh 0.30%
NCT00608634	ctg_placebo_onc_1999_2009.txt	OG002	2	high dose 0.76% poh|high dose poh 0.76%
NCT00510692	ctg_placebo_onc_1999_2009.txt	OG000	2	2g/day eicosapentaenoic acid (epa)|2g/day eicosapentanoic acid (epa)
NCT00613626	ctg_placebo_onc_1999_2009.txt	OG001	2	arm b: zd6474|arm b: zd6474 + safety lead-in
NCT00447226	ctg_placebo_onc_1999_2009.txt	OG000	6	all participants with ovarian cancer|all screened participants|double-blind lapatinib 1500 mg|open-label lapatinib 1500 mg|open-label lapatinib 1500 milligrams (mg)|screened participants with gastric cancer
NCT00447226	ctg_placebo_onc_1999_2009.txt	OG001	2	double-blind lapatinib 1500 mg|placebo
NCT00666562	ctg_placebo_onc_1999_2009.txt	OG000	3	5/6 genotype|arm i (placebo)|glycine/glycine
NCT00666562	ctg_placebo_onc_1999_2009.txt	OG001	3	6/6 genotype|alanine/glycine|arm ii (800mg polyphenon e, placebo)
NCT00666562	ctg_placebo_onc_1999_2009.txt	OG002	3	6/7 genotype|alanine/alanine|arm iii (1200mg polyphenon e)
NCT00329602	ctg_placebo_onc_1999_2009.txt	OG000	3	double-blind placebo|open-label ropinirole ir|overall study
NCT00329602	ctg_placebo_onc_1999_2009.txt	OG001	2	double-blind placebo|double-blind ropinirole ir
NCT00423722	ctg_placebo_onc_1999_2009.txt	OG000	3	hydration|hydration (baseline and day 4)|hydration (baseline and day 7)
NCT00423722	ctg_placebo_onc_1999_2009.txt	OG001	3	placebo|placebo (baseline and day 4)|placebo (baseline and day 7)
