cohort_key	nct	results_group_title_norm	n_observations	observation_ids	om_indices	encoding_identity_status	distinguishing_field_classes	distinction_basis	semantic_duplication_status	semantic_correspondence_evidence	v1_duplicate_encoding_candidate	v1_unresolved_states	v2_unresolved_states	selection_status	resolution_note
NCT00001941||phase ii- 8 mg/kg cohort	NCT00001941	phase ii- 8 mg/kg cohort	1	NCT00001941#om2#OG000	2	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00004859||arm a (paclitaxel + carboplatin + radiation )	NCT00004859	arm a (paclitaxel + carboplatin + radiation )	1	NCT00004859#om1#OG000	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00004859||arm b (paclitaxel + carboplatin + radiation + thalidomide)	NCT00004859	arm b (paclitaxel + carboplatin + radiation + thalidomide)	1	NCT00004859#om1#OG001	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00004888||arm i: doxorubicin and taxotere	NCT00004888	arm i: doxorubicin and taxotere	1	NCT00004888#om1#OG000	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00004888||arm ii: doxorubicin, taxotere, and herceptin	NCT00004888	arm ii: doxorubicin, taxotere, and herceptin	1	NCT00004888#om1#OG001	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00006389||treatment	NCT00006389	treatment	1	NCT00006389#om0#OG000	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NO_OBSERVATION_USABLE_FOR_A_PROPORTION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00010257||thymic carcinoma	NCT00010257	thymic carcinoma	1	NCT00010257#om0#OG001	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00010257||thymoma	NCT00010257	thymoma	1	NCT00010257#om0#OG000	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00019682||arm i (aldesleukin)	NCT00019682	arm i (aldesleukin)	1	NCT00019682#om0#OG000	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00019682||arm ii (gp100 antigen in montanide ida-51 and aldesleukin)	NCT00019682	arm ii (gp100 antigen in montanide ida-51 and aldesleukin)	1	NCT00019682#om0#OG001	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00054353||related donor	NCT00054353	related donor	1	NCT00054353#om7#OG000	7	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00054353||unrelated donor	NCT00054353	unrelated donor	1	NCT00054353#om7#OG001	7	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00058552||pertuzumab 1050 mg	NCT00058552	pertuzumab 1050 mg	1	NCT00058552#om0#OG001	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00058552||pertuzumab 420 mg	NCT00058552	pertuzumab 420 mg	1	NCT00058552#om0#OG000	0	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062751||let 2.5 mg alone / cross-over to 75 mg intermittent cci-779	NCT00062751	let 2.5 mg alone / cross-over to 75 mg intermittent cci-779	2	NCT00062751#om0#OG002|NCT00062751#om1#OG002	0|1	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	MEASURE_TITLE|TIME_FRAME_TEXT|ENDPOINT_CONSTRUCT_TOKENS|POPULATION_DESCRIPTION_TEXT|OUTCOME_MEASURE_TYPE	INCLUDES_STRUCTURED_FIELD	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	The preserved fields differ, which establishes only that the encodings are not identical. Whether these are the same measurement on the same patients, or different ones, is NOT established by the source and is not decided here.	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION|SEMANTIC_DUPLICATION_UNRESOLVED	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062751||let 2.5 mg plus 10 mg daily cci-779	NCT00062751	let 2.5 mg plus 10 mg daily cci-779	2	NCT00062751#om0#OG000|NCT00062751#om1#OG000	0|1	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	MEASURE_TITLE|TIME_FRAME_TEXT|ENDPOINT_CONSTRUCT_TOKENS|POPULATION_DESCRIPTION_TEXT|OUTCOME_MEASURE_TYPE	INCLUDES_STRUCTURED_FIELD	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	The preserved fields differ, which establishes only that the encodings are not identical. Whether these are the same measurement on the same patients, or different ones, is NOT established by the source and is not decided here.	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION|SEMANTIC_DUPLICATION_UNRESOLVED	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062751||let 2.5 mg plus 25mg daily cci-779	NCT00062751	let 2.5 mg plus 25mg daily cci-779	2	NCT00062751#om0#OG003|NCT00062751#om1#OG003	0|1	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	MEASURE_TITLE|TIME_FRAME_TEXT|ENDPOINT_CONSTRUCT_TOKENS|POPULATION_DESCRIPTION_TEXT|OUTCOME_MEASURE_TYPE	INCLUDES_STRUCTURED_FIELD	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	The preserved fields differ, which establishes only that the encodings are not identical. Whether these are the same measurement on the same patients, or different ones, is NOT established by the source and is not decided here.	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION|SEMANTIC_DUPLICATION_UNRESOLVED	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062751||let 2.5 mg plus 30 mg intermittent cci-779	NCT00062751	let 2.5 mg plus 30 mg intermittent cci-779	2	NCT00062751#om0#OG001|NCT00062751#om1#OG001	0|1	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	MEASURE_TITLE|TIME_FRAME_TEXT|ENDPOINT_CONSTRUCT_TOKENS|POPULATION_DESCRIPTION_TEXT|OUTCOME_MEASURE_TYPE	INCLUDES_STRUCTURED_FIELD	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	The preserved fields differ, which establishes only that the encodings are not identical. Whether these are the same measurement on the same patients, or different ones, is NOT established by the source and is not decided here.	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION|SEMANTIC_DUPLICATION_UNRESOLVED	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062751||let 2.5 mg plus 75 mg intermittent cci-779	NCT00062751	let 2.5 mg plus 75 mg intermittent cci-779	2	NCT00062751#om0#OG004|NCT00062751#om1#OG004	0|1	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	MEASURE_TITLE|TIME_FRAME_TEXT|ENDPOINT_CONSTRUCT_TOKENS|POPULATION_DESCRIPTION_TEXT|OUTCOME_MEASURE_TYPE	INCLUDES_STRUCTURED_FIELD	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	The preserved fields differ, which establishes only that the encodings are not identical. Whether these are the same measurement on the same patients, or different ones, is NOT established by the source and is not decided here.	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|NO_OBSERVATION_USABLE_FOR_A_PROPORTION|SEMANTIC_DUPLICATION_UNRESOLVED	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group a dl1	NCT00062868	lmp1/2 ctls (alci) - group a dl1	1	NCT00062868#om1#OG009	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
NCT00062868||lmp1/2 ctls (alci) - group a dl2	NCT00062868	lmp1/2 ctls (alci) - group a dl2	1	NCT00062868#om1#OG010	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NONE	NONE	NOT_APPLICABLE__SINGLE_OBSERVATION	No competing observation in this cohort key.	False	SINGLE_OBSERVATION	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	No preferred endpoint, criteria version, time point, population or selection rule is introduced by this repair. Nothing is normalised and nothing is merged.
