nct	om_title	group_title	evaluable_n	era	family	n_arms_registered	n_results_groups_in_om	arm_set_type_state	registry_arm_types_in_record	arm_link_state	arm_link_evidence_code	arm_link_source	confirmed_registry_arm_label	confirmed_registry_arm_type	candidate_registry_arm_labels	candidate_registry_arm_types	candidate_evidence	control_status	control_basis	contested_flag	sole_arm_multi_results_group_flag	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	disposition_vs_job3	group_description
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS+ Group	57	1999_2009	bor	3	3	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LABEL_BYTE_EXACT	LABEL_IN_THIS_PRODUCER	GSK2132231A GS+ Group	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'GSK2132231A GS+ Group' type=EXPERIMENTAL		NO	EXACT	GSK2132231A GS+ Group	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	Patients with the pre-specified gene signature (GS), who received intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS- Group	45	1999_2009	bor	3	3	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LABEL_BYTE_EXACT	LABEL_IN_THIS_PRODUCER	GSK2132231A GS- Group	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'GSK2132231A GS- Group' type=EXPERIMENTAL		NO	EXACT	GSK2132231A GS- Group	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	Patients without the pre-specified gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE-A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.
NCT00942162	Best Overall Response (BOR) by GS	GSK2132231A GS-unknown Group	2	1999_2009	bor	3	3	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LABEL_BYTE_EXACT	LABEL_IN_THIS_PRODUCER	GSK2132231A GS-unknown Group	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'GSK2132231A GS-unknown Group' type=EXPERIMENTAL		NO	EXACT	GSK2132231A GS-unknown Group	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	Patients with unknown gene signature (GS), planned to receive intramuscularly up to 24 doses of MAGE\_A3 ASCI (the study product), in 4 cycles. Gene-signature sub-grouping was based on patients having a potentially predictive gene signature, as assessed at screening.
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	Alemtuzumab and Rituximab	30	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	CONFIRMED	LABEL_BYTE_EXACT	LABEL_IN_THIS_PRODUCER	Alemtuzumab and Rituximab	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'Alemtuzumab and Rituximab' type=EXPERIMENTAL		NO	EXACT	Alemtuzumab and Rituximab	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.  Alemtuzumab: Alemtuzumab administered subcutaneously 30mg per day, 3 days per week for 18 weeks  Rituximab: Rituximab administered intravenously at 375mg/m2 every 2 weeks (starting week 3) for 18 we
NCT00858117	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	Alemtuzumab and Rituximab	30	1999_2009	bor	1	1	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL	CONFIRMED	LABEL_BYTE_EXACT	LABEL_IN_THIS_PRODUCER	Alemtuzumab and Rituximab	EXPERIMENTAL				NOT_CONTROL_CONFIRMED	confirmed arm 'Alemtuzumab and Rituximab' type=EXPERIMENTAL		NO	EXACT	Alemtuzumab and Rituximab	EXPERIMENTAL	NOT_CONTROL	UNCHANGED_CLASS	Administration of Alemtuzumab combined with Rituximab to test the feasibility of combining these two monoclonal antibodies as a first line therapy in patients with B-cell chronic lymphocytic leukemia.  Alemtuzumab: Alemtuzumab administered subcutaneously 30mg per day, 3 days per week for 18 weeks  Rituximab: Rituximab administered intravenously at 375mg/m2 every 2 weeks (starting week 3) for 18 we
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 1 - Dose Level 1	4	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	Dose Level 1	EXPERIMENTAL			armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	NOT_CONTROL_CONFIRMED	confirmed arm 'Dose Level 1' type=EXPERIMENTAL		NO	CONTAINMENT	Dose Level 1	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 2 - Dose Level 0	6	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	Dose Level 0	EXPERIMENTAL			armGroups[0].label is the verbatim trailing substring of group_title AND armGroups[0].description temozolomide dose equals the group description dose	NOT_CONTROL_CONFIRMED	confirmed arm 'Dose Level 0' type=EXPERIMENTAL		NO	CONTAINMENT	Dose Level 0	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 75 mg/m\^2 PO days 1-5 28 day cycle
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 3 - Dose Level 1	3	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	Dose Level 1	EXPERIMENTAL			armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	NOT_CONTROL_CONFIRMED	confirmed arm 'Dose Level 1' type=EXPERIMENTAL		NO	CONTAINMENT	Dose Level 1	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 4 - Dose Level 2	5	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	Dose Level 2	EXPERIMENTAL			armGroups[2].label is the verbatim trailing substring of group_title AND armGroups[2].description temozolomide dose equals the group description dose	NOT_CONTROL_CONFIRMED	confirmed arm 'Dose Level 2' type=EXPERIMENTAL		NO	CONTAINMENT	Dose Level 2	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 175 mg/m\^2 PO days 1-5 28 day cycle
NCT00876993	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	Cohort 5 - Dose Level 1	3	1999_2009	bor	5	5	ALL_ARMS_NON_CONTROL_TYPED	EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL | EXPERIMENTAL	CONFIRMED	LEAF_WITHIN_RECORD_RELATION	DELIVERED_LEAF:LEAF-QD-group0.tsv	Dose Level 1	EXPERIMENTAL			armGroups[1].label is the verbatim trailing substring of group_title AND armGroups[1].description temozolomide dose equals the group description dose	NOT_CONTROL_CONFIRMED	confirmed arm 'Dose Level 1' type=EXPERIMENTAL		NO	CONTAINMENT	Dose Level 1	EXPERIMENTAL	UNKNOWN_WEAK_MATCH_ONLY	CHANGED_CLASS:UNKNOWN->NOT_CONTROL	Bevacizmuab 10 mg/kg IV days 1 and 15 Irinotecan 125 mg/m\^2 IV days 1 and 15 Temozolomide 125 mg/m\^2 PO days 1-5 28 day cycle
