nct	om_title	group_title	evaluable_n	era	family	trial_conditions	n_trial_conditions	n_disease_keys	n_disease_keys_lenient	disease_status	disease_specificity	attributed_key	disease_value	disease_basis	trial_phases	phase_status	phase_value	phase_group_hint	registry_arm_label	registry_arm_type	arm_match_quality	n_arms_registered	registry_has_control_arm	control_status	control_basis	control_flag	producer_control_arm_candidate	group_description	registry_arm_description
NCT00066222	Tumor Response	Radiation Therapy + Chemotherapy	68	1999_2009	bor	Lung Cancer	1	1	1	TRIAL_SINGLE	BROAD_CATEGORY_ONLY	lung	Lung Cancer	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Radiation Therapy + Chemotherapy	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Radiation Therapy + Chemotherapy' type=EXPERIMENTAL (EXACT match)		False	Accelerated high dose thoracic RT with concurrent cisplatin/etoposide chemotherapy, followed by 2 cycles of adjuvant cisplatin/etoposide chemotherapy	Accelerated high dose thoracic radiation therapy (RT) with concurrent cisplatin/etoposide chemotherapy, followed by 2 cycles of adjuvant cisplatin/etoposide chemotherapy
NCT00183820	Tumor Response	Paclitaxel, Gemcitabine, and Oxaliplatin	29	1999_2009	bor	Testicular Cancer ; Germ Cell Neoplasm	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2		paclitaxel, gemcitabine, and oxaliplatin	EXPERIMENTAL	NORMALIZED	1	False	NOT_CONTROL	registry arm 'paclitaxel, gemcitabine, and oxaliplatin' type=EXPERIMENTAL (NORMALIZED match)		False	paclitaxel, gemcitabine, and oxaliplatin:  1. Paclitaxel 170 mg/m2 IV d 1 14 days 2. Gemcitabine 800 mg/m2 IV d 1 14 days 3. Oxaliplatin 100 mg/m2 IV d 1 14 days	
NCT00298896	Best Overall Response	SNS-595	47	1999_2009	bor	Carcinoma, Small Cell ; Small Cell Lung Cancer	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2		SNS-595	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'SNS-595' type=EXPERIMENTAL (EXACT match)		False	SNS-595; 48 mg/m2 administered IV once every 21 days for up to 6 cycles.	SNS-595; 48 mg/m2 administered IV once every 21 days for up to 6 cycles.
NCT00301067	Tumor Response	Temozolomide and Calcitriol (Cohort 1-3+Expansion)	20	1999_2009	bor	Metastatic Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Metastatic Melanoma	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2				NONE	4	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Temozolomide dose of 150 mg/m2 will be administered orally on days 2-8 and 16-22 every cycle where 1 cycle equals 28 days.  Calcitriol dose of 0.2, 0.3, or 0.5 mcg/kg will be administered orally on days 1 and 15 every cycle where 1 cycle equals 28 days.  Calcitriol: The patient will receive calcitriol in capsule form by mouth on Days 1 and 15 of every cycle  Temozolomide: The patient will receive 	
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm A	15	1999_2009	bor	Lung Cancer ; Unspecified Adult Solid Tumor, Protocol Specific	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	0	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 0 arm group(s)		False	Pemetrexed on day 1 and bortezomib days 1, 4, 8, and 11 every 21 days	
NCT00389805	Number of Participants With Response to Therapy as Measured by RECIST (Phase I)	Arm B	12	1999_2009	bor	Lung Cancer ; Unspecified Adult Solid Tumor, Protocol Specific	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase I			NONE	0	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 0 arm group(s)		False	Pemetrexed on day 1 and bortezomib days 1 and 8 every 21 days	
NCT00600340	Best Overall Response (ITT Population)	Bevacizumab Plus Capecitabine	261	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 15 mg/kg i.v., day 1, every 3 weeks, Capecitabine 1000 mg/m² twice-daily, days 1-14, every 3 weeks	
NCT00600340	Best Overall Response (ITT Population)	Bevacizumab Plus Paclitaxel	270	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 10 mg/kg intravenous (i.v.), days 1 and 15, every 4 weeks, Paclitaxel 90 mg/m2, days 1, 8 and 15, every 4 weeks	
NCT00600340	Best Overall Response (PP Population)	Bevacizumab Plus Capecitabine	249	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 15 mg/kg i.v., day 1, every 3 weeks, Capecitabine 1000 mg/m² twice-daily, days 1-14, every 3 weeks	
NCT00600340	Best Overall Response (PP Population)	Bevacizumab Plus Paclitaxel	255	1999_2009	bor	Metastatic Breast Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	breast	Metastatic Breast Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3				NONE	2	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Bevacizumab 10 mg/kg intravenous (i.v.), days 1 and 15, every 4 weeks, Paclitaxel 90 mg/m2, days 1, 8 and 15, every 4 weeks	
