nct	outcome_index	title_or_group	reason
NCT01815307			no results section
NCT03432598			no results section
NCT03853187			no results section
NCT00136487			no results section
NCT04975555			no results section
NCT01782443			no results section
NCT00772915			no results section
NCT01295307			no results section
NCT00005644			no results section
NCT03595644			no results section
NCT00001144			no results section
NCT02578732			no results section
NCT05625893			no results section
NCT01692704			no results section
NCT05564052			no results section
NCT00134680			no results section
NCT00385580			no response-titled outcome
NCT02028988			no results section
NCT00438854			no results section
NCT01158222			no results section
NCT00403429			no results section
NCT00754351			no results section
NCT02757651			no results section
NCT00477529			no results section
NCT01798446			no results section
NCT02849327			no results section
NCT00402961			no results section
NCT00569673			no results section
NCT01516983			no results section
NCT00814541			no results section
NCT00387751			no results section
NCT01900002			no results section
NCT03694002			no results section
NCT01130753			no results section
NCT02001272			no results section
NCT04796623			no results section
NCT03367923			no results section
NCT03161379			no results section
NCT01022346			no results section
NCT02730546			no results section
NCT02976883			no results section
NCT00550537			no results section
NCT00601627			no results section
NCT06656169			no results section
NCT00003666			no results section
NCT04768296			no results section
NCT04795427			no results section
NCT00769483			no results section
NCT00254137			no results section
NCT00595088			no results section
NCT00005803			no results section
NCT01189383			no results section
NCT01695122			no results section
NCT00028002			no results section
NCT00971737			no results section
NCT00112580			no results section
NCT02343224			no results section
NCT05282459			no results section
NCT02004262			no results section
NCT01567488			no results section
NCT00068588			no results section
NCT00541073			no results section
NCT01056341			no response-titled outcome
NCT02830880			no results section
NCT00003361			no results section
NCT01570283			no results section
NCT01051154			no results section
NCT06519994			no results section
NCT00427856			no results section
NCT03568656			no results section
NCT00058422			no results section
NCT03606122			no results section
NCT00254423			no results section
NCT00006462			no results section
NCT00114283			no results section
NCT00828841			no results section
NCT00245154			no results section
NCT00888654			no results section
NCT00003254			no results section
NCT02742051			no results section
NCT04307329			no results section
NCT00766753			no results section
NCT00655161			no results section
NCT00430066			no results section
NCT00948922			no results section
NCT00257322			no results section
NCT00516022			no results section
NCT04782856			no results section
NCT00582556			no results section
NCT00084656			no results section
NCT01212822			no results section
NCT00004251			no results section
NCT00017680			no results section
NCT06691503			no results section
NCT00668161			no results section
NCT00910741			no results section
NCT00098254			no results section
NCT00003694			no results section
NCT00482261			no results section
NCT04005170			no results section
NCT01206270			no results section
NCT00201773			no results section
NCT00381641			no results section
NCT03348241			no results section
NCT01854554			no results section
NCT00432094			no results section
NCT02465502			no results section
NCT06608186			no results section
NCT02745483			no results section
NCT00304083			no results section
NCT00020254			no results section
NCT01941654			no results section
NCT00271505			no results section
NCT00409994			no results section
NCT01831466			no response-titled outcome
NCT02400788			no results section
NCT02406170			no results section
NCT00093002			no results section
NCT05265988			no results section
NCT00261027			no results section
NCT00001873			no results section
NCT00002873			no results section
NCT02183883			no results section
NCT00270894			no results section
NCT03839459			no results section
NCT05243862			no results section
NCT00216203			no results section
NCT04625803			no results section
NCT00556127			no results section
NCT00057473			no results section
NCT00027573			no results section
NCT00400569			no results section
NCT02921269			no results section
NCT01084083			no results section
NCT00004005			no results section
NCT05215379			no results section
NCT00191503			no results section
NCT00668642			no response-titled outcome
NCT00253370			no results section
NCT00493883			no results section
NCT01810705			no results section
NCT00110994			no response-titled outcome
NCT00280150			no results section
NCT02498860			no results section
NCT00005980			no results section
NCT01112527			no results section
NCT00521560			no results section
NCT01701986			no results section
NCT03487666			no results section
NCT01576029			no results section
NCT02308527			no results section
NCT00590954			no results section
NCT00979966			no results section
NCT00019422			no results section
NCT03993353			no results section
NCT00288795			no results section
NCT00559845			no results section
NCT00531245			no results section
NCT02769286			no results section
NCT03389295			no results section
NCT00980395			no results section
NCT00160875			no results section
NCT00170157			no results section
NCT02799901			no results section
NCT02942173			no results section
NCT06815094			no results section
NCT00066794			no results section
NCT00189566			no results section
NCT01397929			no results section
NCT02403531			no results section
NCT00004145			no results section
NCT01972672			no results section
NCT00070096			no results section
NCT04892342			no results section
NCT00281970			no results section
NCT01123356			no results section
NCT00029029			no results section
NCT02531737			no results section
NCT00433745			no results section
NCT01715441			no results section
NCT00004137			no results section
NCT03600883			no results section
NCT03113422			no results section
NCT00008151			no results section
NCT00012129			no results section
NCT00053131			no results section
NCT05199753			no results section
NCT00075439			no results section
NCT04963088			no results section
NCT06840561			no results section
NCT00004183			no results section
NCT01025154			no results section
NCT01052051			no results section
NCT00610129			no results section
NCT03890731			no results section
NCT01152645			no results section
NCT00005853			no results section
NCT01010672			no results section
NCT00116675			no results section
NCT00085501			no results section
NCT01119066			no results section
NCT00006251			no results section
NCT02854358			no results section
NCT00915785			no results section
NCT00960115			no response-titled outcome
NCT00038376			no results section
NCT00182689			no results section
NCT00269074			no results section
NCT01496118			no results section
NCT03277924			no results section
NCT01425879			no results section
NCT00853996			no results section
NCT00044343			no results section
NCT00858117			no response-titled outcome
NCT01083368			no results section
NCT00525590			no results section
NCT00880360			no results section
NCT00850382			no results section
NCT00006080			no results section
NCT01013779			no results section
NCT00115440			no results section
NCT01593020			no results section
NCT03048123			no results section
NCT00412880			no results section
NCT00289640			no results section
NCT05708950			no results section
NCT03573024			no results section
NCT01940276			no results section
NCT04065789			no results section
NCT02843074			no results section
NCT00005974			no results section
NCT00002774			no results section
NCT00002574			no results section
NCT01254513			no results section
NCT01781520			no results section
NCT01326559			no results section
NCT01884259			no results section
NCT01248962			no results section
NCT04172246			no results section
NCT00126503			no results section
NCT00278161			no results section
NCT03405155			no results section
NCT02138617			no results section
NCT02544789			no results section
NCT00034450			no results section
NCT04607850			no results section
NCT00867750			no results section
NCT03948074			no results section
NCT00026091			no results section
NCT00075660			no results section
NCT00248482			no results section
NCT01733797			no results section
NCT02087423			no results section
NCT01779479			no results section
NCT01469546			no results section
NCT03504488			no results section
NCT04840238			no results section
NCT00096291			no results section
NCT01431391			no results section
NCT00276549			no results section
NCT00003055			no results section
NCT00109226			no results section
NCT01685008			no results section
NCT02806050			no results section
NCT04521348			no results section
NCT03289455			no results section
NCT00020735			no results section
NCT00813540			no results section
NCT02064491			no results section
NCT00117897			no results section
NCT01512810			no results section
NCT06220123			no results section
NCT00992186			no results section
NCT06654570			no results section
NCT00878254			no results section
NCT00819650			no results section
NCT01236391			no response-titled outcome
NCT00278460			no results section
NCT01276379			no results section
NCT00446446			no results section
NCT03925246			no results section
NCT02206503			no results section
NCT00000603			no results section
NCT02888990			no results section
NCT00101920			no results section
NCT01247623			no results section
NCT00387959			no results section
NCT02207062			no results section
NCT00389441			no results section
NCT00005810			no results section
NCT02291913			no results section
NCT04249362			no results section
NCT00495846			no results section
NCT02707588			no results section
NCT01891227			no results section
NCT05383170			no results section
NCT02814968			no results section
NCT00072579			no results section
NCT02104986			no results section
NCT06820320			no results section
NCT02611024			no results section
NCT02454179			no results section
NCT02275403			no results section
NCT00262886			no results section
NCT02608073			no results section
NCT00014469			no results section
NCT01821105			no results section
NCT04847050			no results section
NCT00055718			no results section
NCT02981524			no results section
NCT02304770			no results section
NCT03365882			no results section
NCT00091559			no results section
NCT01387880			no results section
NCT00051480			no results section
NCT00006079			no results section
NCT03565003			no results section
NCT00129727			no results section
NCT00101010			no results section
NCT00802113			no results section
NCT05420220			no results section
NCT01621724			no results section
NCT00258388			no results section
NCT00243503			no results section
NCT01279252			no results section
NCT00087438			no results section
NCT02807558			no results section
NCT00924326			no results section
NCT02691078			no results section
NCT00191243			no results section
NCT04462276			no results section
NCT00557817			no results section
NCT02530489			no results section
NCT01662050			no results section
NCT03200847			no results section
NCT01429038			no results section
NCT00976755			no results section
NCT00327535			no results section
NCT01259817			no results section
NCT02523417			no results section
NCT01722968			no results section
NCT03191968			no results section
NCT03246750			no results section
NCT02961374			no results section
NCT05213884			no results section
NCT01336933			no results section
NCT00062933			no results section
NCT01812252			no results section
NCT03513952			no results section
NCT01520038			no results section
NCT01359735			no results section
NCT01162135			no results section
NCT00090376			no results section
NCT03357289			no results section
NCT03225989			no results section
NCT00003390			no results section
NCT02685826			no results section
NCT02912676			no results section
NCT01022476			no results section
NCT00122876			no results section
NCT03997968			no results section
NCT00016250			no results section
NCT00733850			no results section
NCT00182806			no results section
NCT01816984			no results section
NCT01335152			no results section
NCT00138138			no results section
NCT00057785			no results section
NCT00319735			no results section
NCT01327235			no results section
NCT01054625			no results section
NCT00313625			no results section
NCT00544817			no results section
NCT02398240			no results section
NCT01914484			no results section
NCT01242449			no results section
NCT05169658			no results section
NCT00179855			no results section
NCT03159143			no results section
NCT02839668			no results section
NCT02981498			no results section
NCT00002814			no results section
NCT00933816			no results section
NCT00455533			no results section
NCT00525148			no results section
NCT03069248			no results section
NCT02346578			no results section
NCT00060268			no results section
NCT01745640			no results section
NCT00036868			no results section
NCT01008150			no results section
NCT04701918			no results section
NCT00888615			no results section
NCT02481635			no results section
NCT01257425			no results section
NCT02496676			no response-titled outcome
NCT00004017			no results section
NCT02234050			no results section
NCT00087074			no results section
NCT02470091			no results section
NCT03019640			no results section
NCT01643850			no response-titled outcome
NCT00558363			no response-titled outcome
NCT01569087			no results section
NCT01253447			no results section
NCT00770848			no results section
NCT01550848			no results section
NCT03717155			no results section
