nct	gnorm	gtitle	om	type	title	tf	denom	itt	pp	con	unc	cen	inv	n_candidates	distinct_om	distinct_timeframes	distinct_denoms	resolved_by	pooled_label	payloads
NCT00001941	phase ii- 8 mg/kg cohort	Phase II- 8 mg/kg Cohort	2	PRIMARY	Percentage of Participants With an Overall Response Rate	up to 220 weeks	19	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00004859	arm a (paclitaxel + carboplatin + radiation )	Arm A (Paclitaxel + Carboplatin + Radiation )	1	SECONDARY	Response Rate at Best Response to Treatment	every other month until 24 months from study entry, every 3 months for year 3, every 4 months for the 4th year and every 6 months for the 5th year	275	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00004859	arm b (paclitaxel + carboplatin + radiation + thalidomide)	Arm B (Paclitaxel + Carboplatin + Radiation + Thalidomide)	1	SECONDARY	Response Rate at Best Response to Treatment	every other month until 24 months from study entry, every 3 months for year 3, every 4 months for the 4th year and every 6 months for the 5th year	271	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00004888	arm i: doxorubicin and taxotere	Arm I: Doxorubicin and Taxotere	1	SECONDARY	Best Overall Response Using Eastern Cooperative Group Solid Tumor Response Criteria.	Assessed every 3 months for 2 years, then every 6 months for 3 years, then annually until death or until reaching full study stop date. Data as of Nov 21, 2007 is used for this report. Please note that best overall response is reported in the table.	38	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00004888	arm ii: doxorubicin, taxotere, and herceptin	Arm II: Doxorubicin, Taxotere, and Herceptin	1	SECONDARY	Best Overall Response Using Eastern Cooperative Group Solid Tumor Response Criteria.	Assessed every 3 months for 2 years, then every 6 months for 3 years, then annually until death or until reaching full study stop date. Data as of Nov 21, 2007 is used for this report. Please note that best overall response is reported in the table.	46	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00010257	thymic carcinoma	Thymic Carcinoma	0	PRIMARY	Best Overall Response by RECIST Criteria (Version 1.0)	Assessed every 2 cycles (6 weeks)	20	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00010257	thymoma	Thymoma	0	PRIMARY	Best Overall Response by RECIST Criteria (Version 1.0)	Assessed every 2 cycles (6 weeks)	23	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00019682	arm i (aldesleukin)	Arm I (Aldesleukin)	0	PRIMARY	Best Response Rate (Partial Response [PR] + Complete Response [CR])	Up to 12 years	93	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00019682	arm ii (gp100 antigen in montanide ida-51 and aldesleukin)	Arm II (gp100 Antigen in Montanide IDA-51 and Aldesleukin)	0	PRIMARY	Best Response Rate (Partial Response [PR] + Complete Response [CR])	Up to 12 years	85	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00054353	related donor	Related Donor	7	SECONDARY	Response Rate	Up to 5 years	12	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00054353	unrelated donor	Unrelated Donor	7	SECONDARY	Response Rate	Up to 5 years	4	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00058552	pertuzumab 1050 mg	Pertuzumab 1050 mg	0	PRIMARY	Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR) Determined by Response Evaluation Criteria in Solid Tumors (RECIST) Version (v) 1.1 or Cancer Antigen 125 (CA-125) Changes	Screening and prior to infusion at Cycles 3, 5, 7, 9, 13, and 17 and at follow-up (30 days after the last dose of pertuzumab)	62	False	False	True	False	False	True	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00058552	pertuzumab 420 mg	Pertuzumab 420 mg	0	PRIMARY	Percentage of Participants With Best Overall Response of Complete Response (CR) or Partial Response (PR) Determined by Response Evaluation Criteria in Solid Tumors (RECIST) Version (v) 1.1 or Cancer Antigen 125 (CA-125) Changes	Screening and prior to infusion at Cycles 3, 5, 7, 9, 13, and 17 and at follow-up (30 days after the last dose of pertuzumab)	55	False	False	True	False	False	True	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062751	let 2.5 mg alone / cross-over to 75 mg intermittent cci-779	Let 2.5 mg Alone / Cross-over to 75 mg Intermittent CCI-779	0	PRIMARY	Percentage of Participants With Objective Response (OR)	Baseline, every 4 cycles (1 cycle is defined as a 14 day duration) up to Cycle 25, then every 6 cycles until disease progression	0	True	False	True	False	False	False	2	2	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00062751	let 2.5 mg plus 10 mg daily cci-779	Let 2.5 mg Plus 10 mg Daily CCI-779	0	PRIMARY	Percentage of Participants With Objective Response (OR)	Baseline, every 4 cycles (1 cycle is defined as a 14 day duration) up to Cycle 25, then every 6 cycles until disease progression	0	True	False	True	False	False	False	2	2	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00062751	let 2.5 mg plus 25mg daily cci-779	Let 2.5 mg Plus 25mg Daily CCI-779	0	PRIMARY	Percentage of Participants With Objective Response (OR)	Baseline, every 4 cycles (1 cycle is defined as a 14 day duration) up to Cycle 25, then every 6 cycles until disease progression	0	True	False	True	False	False	False	2	2	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00062751	let 2.5 mg plus 30 mg intermittent cci-779	Let 2.5 mg Plus 30 mg Intermittent CCI-779	0	PRIMARY	Percentage of Participants With Objective Response (OR)	Baseline, every 4 cycles (1 cycle is defined as a 14 day duration) up to Cycle 25, then every 6 cycles until disease progression	0	True	False	True	False	False	False	2	2	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00062751	let 2.5 mg plus 75 mg intermittent cci-779	Let 2.5 mg Plus 75 mg Intermittent CCI-779	0	PRIMARY	Percentage of Participants With Objective Response (OR)	Baseline, every 4 cycles (1 cycle is defined as a 14 day duration) up to Cycle 25, then every 6 cycles until disease progression	0	True	False	True	False	False	False	2	2	2	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group a dl1	LMP1/2 CTLs (ALCI) - Group A DL1	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group a dl2	LMP1/2 CTLs (ALCI) - Group A DL2	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	4	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group a dl3	LMP1/2 CTLs (ALCI) - Group A DL3	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	5	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group a expansion	LMP1/2 CTLs (ALCI) - Group A Expansion	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	15	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group b dl1	LMP1/2 CTLs (ALCI) - Group B DL1	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group b dl2	LMP1/2 CTLs (ALCI) - Group B DL2	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group b dl3	LMP1/2 CTLs (ALCI) - Group B DL3	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group b expansion	LMP1/2 CTLs (ALCI) - Group B Expansion	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	2	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group c dl1	LMP1/2 CTLs (ALCI) - Group C DL1	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group c dl2	LMP1/2 CTLs (ALCI) - Group C DL2	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group c dl3	LMP1/2 CTLs (ALCI) - Group C DL3	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	4	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp1/2 ctls (alci) - group c expansion	LMP1/2 CTLs (ALCI) - Group C Expansion	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group a dl1	LMP2A CTLs (ALASCER) - Group A DL1	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group a dl2	LMP2A CTLs (ALASCER) - Group A DL2	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	6	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group a dl3	LMP2A CTLs (ALASCER) - Group A DL3	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group b dl1	LMP2A CTLs (ALASCER) - Group B DL1	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group b dl2	LMP2A CTLs (ALASCER) - Group B DL2	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	3	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group b dl3	LMP2A CTLs (ALASCER) - Group B DL3	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	0	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group c dl1	LMP2A CTLs (ALASCER) - Group C DL1	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	4	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group c dl2	LMP2A CTLs (ALASCER) - Group C DL2	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	0	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00062868	lmp2a ctls (alascer) - group c dl3	LMP2A CTLs (ALASCER) - Group C DL3	1	SECONDARY	Response Rate According to the Harmonization Project (Protocol 8.5.1) or RECIST Criteria.	Up to 4 months after the last infusion	0	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00063154	pertuzumab	Pertuzumab	0	PRIMARY	Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD)	Baseline to the end of the study (up to 1 year)	35	False	True	False	False	False	False	2	2	1	2	a-d	False	ctg_results_bor_1999_2009
NCT00064350	placebo	Placebo	0	PRIMARY	Number of Patients Maintaining Stable Disease or Objective Response 2 Months After Randomization	Two months after randomization	31	False	False	False	False	False	False	2	2	2	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00064350	sorafenib	Sorafenib	0	PRIMARY	Number of Patients Maintaining Stable Disease or Objective Response 2 Months After Randomization	Two months after randomization	50	False	False	False	False	False	False	2	2	2	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00065182	iv docetaxel	IV Docetaxel	3	SECONDARY	Response Rate	Up to one year from Day -1 (randomization)	0	True	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00065182	iv topotecan + iv docetaxel	IV Topotecan + IV Docetaxel	3	SECONDARY	Response Rate	Up to one year from Day -1 (randomization)	0	True	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00069095	folfox-4+bv/xelox+bv	FOLFOX-4+BV/XELOX+BV	11	SECONDARY	Best Overall Response (BOR) as Assessed by the Investigator According to RECIST: Superiority of Chemotherapy Plus BV Over Chemotherapy Alone	From baseline until disease progression/recurrence, approximately 2 years 6 months	699	True	False	True	False	False	True	2	2	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00069095	folfox-4+p/xelox+p	FOLFOX-4+P/XELOX+P	11	SECONDARY	Best Overall Response (BOR) as Assessed by the Investigator According to RECIST: Superiority of Chemotherapy Plus BV Over Chemotherapy Alone	From baseline until disease progression/recurrence, approximately 2 years 6 months	701	True	False	True	False	False	True	2	2	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00069095	folfox-4/folfox-4+p/folfox-4+bv	FOLFOX-4/FOLFOX-4+P/FOLFOX-4+BV	10	SECONDARY	Best Overall Response (BOR) as Assessed by the Investigator According to Response Evaluation Criteria in Solid Tumors (RECIST): Non-inferiority of XELOX Versus FOLFOX-4	From baseline until disease progression/recurrence, approximately 2 years 6 months	937	True	False	True	False	False	True	2	2	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00069095	xelox/xelox+p/xelox+bv	XELOX/XELOX+P/XELOX+BV	10	SECONDARY	Best Overall Response (BOR) as Assessed by the Investigator According to Response Evaluation Criteria in Solid Tumors (RECIST): Non-inferiority of XELOX Versus FOLFOX-4	From baseline until disease progression/recurrence, approximately 2 years 6 months	967	True	False	True	False	False	True	2	2	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00069108	folfox-4	FOLFOX-4	5	SECONDARY	Best Overall Response, Independent Review Committee Assessment	Up to 3 years	314	True	False	True	False	True	False	2	2	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00069108	xelox	XELOX	5	SECONDARY	Best Overall Response, Independent Review Committee Assessment	Up to 3 years	313	True	False	True	False	True	False	2	2	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00073307	placebo	Placebo	3	SECONDARY	Best Overall Response - Independent Radiological Review	From start of randomization of the first subject (1Dec2003) until the data cut-off (28Jan2005), approximately 14 months later, tumors assessed every 8 weeks.	337	True	True	False	False	True	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00073307	sorafenib (nexavar, bay43-9006)	Sorafenib (Nexavar, BAY43-9006)	3	SECONDARY	Best Overall Response - Independent Radiological Review	From start of randomization of the first subject (1Dec2003) until the data cut-off (28Jan2005), approximately 14 months later, tumors assessed every 8 weeks.	335	True	True	False	False	True	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009
NCT00073749	inotuzumab ozogamicin 1.8 mg/m^2: lead-in + expanded cohorts	Inotuzumab Ozogamicin 1.8 mg/m^2: Lead-in + Expanded Cohorts	9	SECONDARY	Duration of Overall Response (DoR): Part 2 (Lead-in + Expanded Cohorts)	Baseline, every 8 weeks up to Year 1, then every 12 weeks up to Year 2, and then every 6 months until tumor progression or death (up to Year 5)	22	False	True	False	False	False	False	4	4	3	4	a-d	False	ctg_results_bor_1999_2009
NCT00073957	yttrium y 90 ibritumomab tiuxetan and rituximab	Yttrium Y 90 Ibritumomab Tiuxetan and Rituximab	0	PRIMARY	Response Rate = Complete and Partial Response at 12 Weeks.	12 weeks	25	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009
NCT00075218	placebo double-blind treatment	Placebo Double-Blind Treatment	6	SECONDARY	Confirmed Objective Response (CR or PR) in Subjects	Day 28 of each cycle : duration of double-blind treatment phase	118	True	False	True	False	False	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009
NCT00075218	sunitinib double-blind treatment	Sunitinib Double-Blind Treatment	6	SECONDARY	Confirmed Objective Response (CR or PR) in Subjects	Day 28 of each cycle : duration of double-blind treatment phase	243	True	False	True	False	False	False	1	1	1	1	a-d	False	ctg_placebo_onc_1999_2009
NCT00075504	stratum a normal liver function triapine, gemcitabine	Stratum A Normal Liver Function Triapine, Gemcitabine	0	PRIMARY	Response Rate According to RECIST Criteria	Up to 2 years	23	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00075504	stratum b abnormal liver function triapine, gemcitabine	Stratum B Abnormal Liver Function Triapine, Gemcitabine	0	PRIMARY	Response Rate According to RECIST Criteria	Up to 2 years	10	False	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00077376	trastuzumab/ixabepilone/carboplatin	Trastuzumab/Ixabepilone/Carboplatin	0	PRIMARY	Objective Response for HER2+ Patients (Best Objective Response a Patient Has Ever Experienced on Study)	Assessed every 3 cycles during induction therapy and every 6 cycles during maintenance therapy until disease progression or up to 5 years	39	False	False	True	False	False	False	2	2	1	2	a-d	False	ctg_results_bor_1999_2009
NCT00077857	1250 mg/m^2 capecitabine + docetaxel	1250 mg/m^2 Capecitabine + Docetaxel	1	SECONDARY	Percentage of Participants With Best Overall Response Being Complete Response (CR) or Partial Response (PR)	Until Progressive Disease (PD) or end of primary study treatment (up to 16 cycles) plus 28 days.	235	True	False	False	False	False	False	3	3	3	1	f	False	ctg_results_bor_1999_2009
NCT00077857	825 mg/m^2 capecitabine + docetaxel	825 mg/m^2 Capecitabine + Docetaxel	1	SECONDARY	Percentage of Participants With Best Overall Response Being Complete Response (CR) or Partial Response (PR)	Until Progressive Disease (PD) or end of primary study treatment (up to 16 cycles) plus 28 days.	235	True	False	False	False	False	False	3	3	3	1	f	False	ctg_results_bor_1999_2009
NCT00080301	capecitabine	Capecitabine	1	SECONDARY	Overall Response Rate (ORR) Per IRRC	based on assessments every 6 weeks while on treatment until documented disease progression/unacceptable toxicity	377	True	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00080301	ixabepilone + capecitabine	Ixabepilone + Capecitabine	1	SECONDARY	Overall Response Rate (ORR) Per IRRC	based on assessments every 6 weeks while on treatment until documented disease progression/unacceptable toxicity	375	True	False	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00082433	capecitabine	Capecitabine	1	SECONDARY	Response Rate (RR)	every 6 weeks (± 3 days) from randomization while on treatment until documented progression	462	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00082433	ixabepilone + capecitabine	Ixabepilone + Capecitabine	1	SECONDARY	Response Rate (RR)	every 6 weeks (± 3 days) from randomization while on treatment until documented progression	462	False	True	False	False	False	False	1	1	1	1	a-d	False	ctg_results_bor_1999_2009
NCT00085410	arm i	Arm I	0	PRIMARY	Objective Response Rate	Up to 1 year	20	False	True	False	False	False	False	2	2	1	2	a-d	False	ctg_results_bor_1999_2009
NCT00085631	overall study	Overall Study	0	PRIMARY	Primary Tumor Response Rate at 4-6 Weeks Post Treatment	3 months from start of therapy	0	False	False	False	False	False	False	1	1	1	1	a-d	True	ctg_results_bor_1999_2009
