nct	group_norm	resolved_at_step	candidates_still_competing
NCT02842827	cohort 1a: bomedemstat 0.75 mg/kg/day	f (smallest outcome index)	2
NCT02842827	cohort 1b: bomedemstat 1.5 mg/kg/day	f (smallest outcome index)	2
NCT02842827	cohort 1c: bomedemstat 3 mg/kg/day	f (smallest outcome index)	2
NCT02842827	cohort 1d: bomedemstat 6 mg/kg/day	f (smallest outcome index)	2
NCT02842827	cohort 1x3: bomedemstat 3 mg/kg/day orally plus tretinoin 45 mg/m^2/day	f (smallest outcome index)	2
NCT02842827	cohort 1x6: bomedemstat 6 mg/kg/day plus tretinoin 45 mg/m^2/day	f (smallest outcome index)	2
NCT02842827	cohort 3x: bomedemstat 6 mg/kg/day plus tretinoin 45 mg/m^2/day	f (smallest outcome index)	2
NCT02842827	cohort 4x: bomedemstat 6 mg/kg/day plus tretinoin 45 mg/m^2/day	f (smallest outcome index)	2
NCT00804856	phase i schedule a. volasertib 150 mg+ldac	f (smallest outcome index)	2
NCT00804856	phase i schedule a. volasertib 200 mg+ldac	f (smallest outcome index)	2
NCT00804856	phase i schedule a. volasertib 250 mg+ldac	f (smallest outcome index)	2
NCT00804856	phase i schedule a. volasertib 300 mg+ldac	f (smallest outcome index)	2
NCT00804856	phase i schedule a. volasertib 350 mg+ldac	f (smallest outcome index)	2
NCT00804856	phase i schedule a. volasertib 400 mg+ldac	f (smallest outcome index)	2
NCT00804856	total phase i combined. schedule a	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 150 mg	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 200 mg	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 350 mg	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 400 mg	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 450 mg	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 500 mg	f (smallest outcome index)	2
NCT00804856	phase i schedule b. volasertib 550 mg	f (smallest outcome index)	2
NCT00804856	total phase i combined. schedule b	f (smallest outcome index)	2
NCT03744468	phase 1 (dose escalation): surzebiclimab 2 mg + tislelizumab	f (smallest outcome index)	2
NCT03744468	phase 1 (dose escalation): surzebiclimab 6 mg + tislelizumab	f (smallest outcome index)	2
NCT03744468	phase 1 (dose escalation): surzebiclimab 20 mg + tislelizumab	f (smallest outcome index)	2
NCT03744468	phase 1 (dose escalation): surzebiclimab 60 mg + tislelizumab	f (smallest outcome index)	2
