classification	overwrite_scope	conflicting_overwrite	nct_id	shard	query_family	outcome_measure_index	outcome_measure_title	outcome_measure_type	param_type	unit_of_measure	time_frame	population_description	group_id	group_title	n_classes_in_om	classes_contributing	class_titles_contributing	cells_CR	cells_PR	cells_SD	cells_PD	evaluable_n_sum_of_cells	reported_denominator_participants	all_categories_in_contributing_classes_sum	sum_minus_reported_denominator	categories_matched	categories_dropped	reason	source_pointer
unsupported	within_class	True	NCT00942162	ctg_results_bor_1999_2009	bor	7	Best Overall Response (BOR) by GS	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Month 0 - Month 24	The analysis was performed on the Total Treated Population (TTP), which included all patients who received at least one dose of study treatment.	OG000	GSK2132231A GS+ Group	1	0	<untitled>	0	3	3	51	57	71	71	-14	CR | PR | SD | SD/ PR | PD	NE | Missing	cross-class overwrite with conflicting values for SD (last class wins)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG000]
unsupported	within_class	True	NCT00942162	ctg_results_bor_1999_2009	bor	7	Best Overall Response (BOR) by GS	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Month 0 - Month 24	The analysis was performed on the Total Treated Population (TTP), which included all patients who received at least one dose of study treatment.	OG001	GSK2132231A GS- Group	1	0	<untitled>	1	0	0	44	45	50	50	-5	CR | PR | SD | SD/ PR | PD	NE | Missing	cross-class overwrite with conflicting values for SD (last class wins)	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG001]
ambiguous	within_class	False	NCT00942162	ctg_results_bor_1999_2009	bor	7	Best Overall Response (BOR) by GS	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Month 0 - Month 24	The analysis was performed on the Total Treated Population (TTP), which included all patients who received at least one dose of study treatment.	OG002	GSK2132231A GS-unknown Group	1	0	<untitled>	0	0	0	2	2	2	2	0	CR | PR | SD | SD/ PR | PD	NE | Missing	repeated cross-class assignment (values agreed) for SD	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00942162] :: outcomeMeasures[7] :: groups[OG002]
valid	none	False	NCT00858117	ctg_results_bor_1999_2009	bor	3	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Lymphadenopathy and Organomegaly Measured During Physical Examination	POST_HOC	COUNT_OF_PARTICIPANTS	Participants	At week 9, and post 18 weeks of treatment, then every 3 months for a year and up every 6 months for up to 2 years		OG000	Alemtuzumab and Rituximab	1	0	<untitled>	18	12	0	0	30	30	30	0	Complete Remission | Partial Remission | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[3] :: groups[OG000]
valid	none	False	NCT00858117	ctg_results_bor_1999_2009	bor	4	Best Response in Patients Treated With Alemtuzumab and Rituximab Combination Assessed by NCI-WG 1996 Criteria With Measurements of the Lymph Nodes and Spleen Size by CT Scans	POST_HOC	COUNT_OF_PARTICIPANTS	Participants	At week 9, and post-18 weeks then every 3 months for a year and up every 6 months for up to 2 years		OG000	Alemtuzumab and Rituximab	1	0	<untitled>	7	14	9	0	30	30	30	0	Complete Remission | Partial Remission | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00858117] :: outcomeMeasures[4] :: groups[OG000]
valid	none	False	NCT00876993	ctg_results_bor_1999_2009	bor	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 2 cycles up to 24 cycles		OG000	Cohort 1 - Dose Level 1	1	0	<untitled>	0	1	3	0	4	4	4	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: groups[OG000]
valid	none	False	NCT00876993	ctg_results_bor_1999_2009	bor	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 2 cycles up to 24 cycles		OG001	Cohort 2 - Dose Level 0	1	0	<untitled>	0	1	3	2	6	6	6	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: groups[OG001]
valid	none	False	NCT00876993	ctg_results_bor_1999_2009	bor	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 2 cycles up to 24 cycles		OG002	Cohort 3 - Dose Level 1	1	0	<untitled>	0	1	0	2	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: groups[OG002]
valid	none	False	NCT00876993	ctg_results_bor_1999_2009	bor	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 2 cycles up to 24 cycles		OG003	Cohort 4 - Dose Level 2	1	0	<untitled>	1	3	1	0	5	5	5	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: groups[OG003]
valid	none	False	NCT00876993	ctg_results_bor_1999_2009	bor	1	Best Response of Children With Recurrent or Refractory Central Nervous System Tumors With This Combination of Chemotherapy Agents.	SECONDARY	COUNT_OF_PARTICIPANTS	Participants	Every 2 cycles up to 24 cycles		OG004	Cohort 5 - Dose Level 1	1	0	<untitled>	0	0	3	0	3	3	3	0	Complete Response | Partial Response | Stable Disease | Progressive Disease		single class, unit Participants, sum of cells equals the reported denominator	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00876993] :: outcomeMeasures[1] :: groups[OG004]
