integration_row_key	contradiction_code	a_state	a_unresolved_reason_codes	c_arm_link_state	c_control_status	c_contested_flag	b_join_state	b_usable_for_proportion	b_unresolved_states	resolution	source_pointer
NCT00066222|OM5|OG000	ROW_NOT_ASSESSED_BY_B	NOT_REFUTED_BY_THIS_COMPONENT	NONE	CONFIRMED	NOT_CONTROL_CONFIRMED		TRIAL_OUTSIDE_B_CORPUS_SCOPE			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00066222] :: outcomeMeasures[5] :: groups[OG000]
NCT00183820|OM0|OG000	ROW_NOT_ASSESSED_BY_B	NOT_REFUTED_BY_THIS_COMPONENT	NONE	CONFIRMED	NOT_CONTROL_CONFIRMED		TRIAL_OUTSIDE_B_CORPUS_SCOPE			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00183820] :: outcomeMeasures[0] :: groups[OG000]
NCT00298896|OM1|OG000	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	NOT_REFUTED_BY_THIS_COMPONENT	NONE	CONFIRMED	NOT_CONTROL_CONFIRMED		JOINED_UNIQUE	True	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00298896] :: outcomeMeasures[1] :: groups[OG000]
NCT00301067|OM2|OG000	A_NOT_REFUTED_WHILE_C_ARM_CONFIRMED_TYPE_ONLY	NOT_REFUTED_BY_THIS_COMPONENT	NONE	CONFIRMED_TYPE_ONLY	NOT_CONTROL_BY_ARM_SET_TYPE_INVARIANT		MEASURE_OUTSIDE_B_TITLE_BOUNDARY			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00301067] :: outcomeMeasures[2] :: groups[OG000]
NCT00301067|OM2|OG000	ROW_NOT_ASSESSED_BY_B	NOT_REFUTED_BY_THIS_COMPONENT	NONE	CONFIRMED_TYPE_ONLY	NOT_CONTROL_BY_ARM_SET_TYPE_INVARIANT		MEASURE_OUTSIDE_B_TITLE_BOUNDARY			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00301067] :: outcomeMeasures[2] :: groups[OG000]
NCT00389805|OM6|OG000	A_NOT_REFUTED_WHILE_C_ARM_UNKNOWN_IN_THIS_CACHE	NOT_REFUTED_BY_THIS_COMPONENT	NONE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE		TRIAL_OUTSIDE_B_CORPUS_SCOPE			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG000]
NCT00389805|OM6|OG000	ROW_NOT_ASSESSED_BY_B	NOT_REFUTED_BY_THIS_COMPONENT	NONE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE		TRIAL_OUTSIDE_B_CORPUS_SCOPE			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG000]
NCT00389805|OM6|OG001	A_NOT_REFUTED_WHILE_C_ARM_UNKNOWN_IN_THIS_CACHE	NOT_REFUTED_BY_THIS_COMPONENT	NONE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE		TRIAL_OUTSIDE_B_CORPUS_SCOPE			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG001]
NCT00389805|OM6|OG001	ROW_NOT_ASSESSED_BY_B	NOT_REFUTED_BY_THIS_COMPONENT	NONE	UNKNOWN_IN_THIS_CACHE	UNKNOWN_IN_THIS_CACHE		TRIAL_OUTSIDE_B_CORPUS_SCOPE			BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00389805] :: outcomeMeasures[6] :: groups[OG001]
NCT00600340|OM3|OG000	A_NOT_REFUTED_WHILE_B_SET_UNRESOLVED	NOT_REFUTED_BY_THIS_COMPONENT	NONE	CONFIRMED	CONTROL_ACTIVE_COMPARATOR_CONFIRMED		JOINED_UNIQUE	True	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS	BOTH_STATES_STAND__NEITHER_COMPONENT_OVERWRITES_THE_OTHER	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00600340] :: outcomeMeasures[3] :: groups[OG000]
