obs_id	nct	om_index	results_group_id	in_integrated_552	coverage_state	cohort_key	n_observations_in_cohort_set	unresolved_states	denominator_state	denominator_value_participants	reporting_status_state	usable_for_proportion	unusable_reason
NCT00940225#om0#OG000	NCT00940225	0	OG000	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - crpc	1	SINGLE_OBSERVATION	PRESENT	171	POSTED	True	
NCT00940225#om0#OG001	NCT00940225	0	OG001	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - melanoma	1	SINGLE_OBSERVATION	PRESENT	77	POSTED	True	
NCT00940225#om0#OG002	NCT00940225	0	OG002	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - nsclc	1	SINGLE_OBSERVATION	PRESENT	60	POSTED	True	
NCT00940225#om0#OG003	NCT00940225	0	OG003	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - pancreatic cancer	1	SINGLE_OBSERVATION	PRESENT	20	POSTED	True	
NCT00940225#om0#OG004	NCT00940225	0	OG004	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - gastric/gej	1	SINGLE_OBSERVATION	PRESENT	21	POSTED	True	
NCT00940225#om0#OG005	NCT00940225	0	OG005	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - hepatocellular carcinoma	1	SINGLE_OBSERVATION	PRESENT	41	POSTED	True	
NCT00940225#om0#OG006	NCT00940225	0	OG006	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - sclc	1	SINGLE_OBSERVATION	PRESENT	21	POSTED	True	
NCT00940225#om0#OG007	NCT00940225	0	OG007	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - ovarian cancer	1	SINGLE_OBSERVATION	PRESENT	70	POSTED	True	
NCT00940225#om0#OG008	NCT00940225	0	OG008	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - metastatic breast cancer	1	SINGLE_OBSERVATION	PRESENT	45	POSTED	True	
NCT00940225#om0#OG009	NCT00940225	0	OG009	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||lead-in stage - nre ovarian cancer	1	SINGLE_OBSERVATION	PRESENT	60	POSTED	True	
NCT00940225#om3#OG000	NCT00940225	3	OG000	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||crpc	1	SINGLE_OBSERVATION	PRESENT	15	POSTED	True	
NCT00940225#om3#OG001	NCT00940225	3	OG001	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||melanoma	1	SINGLE_OBSERVATION	PRESENT	6	POSTED	True	
NCT00940225#om3#OG002	NCT00940225	3	OG002	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||nsclc	1	SINGLE_OBSERVATION	PRESENT	6	POSTED	True	
NCT00940225#om3#OG003	NCT00940225	3	OG003	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||hepatocellular carcinoma	1	SINGLE_OBSERVATION	PRESENT	3	POSTED	True	
NCT00940225#om3#OG004	NCT00940225	3	OG004	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||ovarian cancer	1	SINGLE_OBSERVATION	PRESENT	15	POSTED	True	
NCT00940225#om3#OG005	NCT00940225	3	OG005	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00940225||metastatic breast cancer	1	SINGLE_OBSERVATION	PRESENT	6	POSTED	True	
NCT00418886#om3#OG000	NCT00418886	3	OG000	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00418886||vandetanib plus pemetrexed	2	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA	PRESENT	256	POSTED	True	
NCT00418886#om3#OG001	NCT00418886	3	OG001	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00418886||placebo plus pemetrexed	2	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA	PRESENT	278	POSTED	True	
NCT00418886#om4#OG000	NCT00418886	4	OG000	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00418886||vandetanib plus pemetrexed	2	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA	PRESENT	256	POSTED	True	
NCT00418886#om4#OG001	NCT00418886	4	OG001	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00418886||placebo plus pemetrexed	2	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA	PRESENT	278	POSTED	True	
NCT00738699#om2#OG000	NCT00738699	2	OG000	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00738699||morab-003 (farletuzumab) plus paclitaxel	2	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	PRESENT	275	POSTED	True	
NCT00738699#om2#OG001	NCT00738699	2	OG001	no	B_ONLY__NO_DENOMINATOR_CATEGORY_OR_ARM_COMPONENT	NCT00738699||placebo (normal saline) plus paclitaxel	2	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	PRESENT	140	POSTED	True	
