integration_row_key	code	tension_kind	v2_register	v2_label_withdrawn	why_not_an_established_contradiction	what_would_settle_it	a_state	c_arm_link_state	c_registry_type_statement_assumption	c_source_join_verification	c_contested_flags	c_sole_arm_multi_results_group_flag	c_leaf_claim_verification	c_leaf_claim_verification_before_downgrade	c_group_text_comparator_wording_unverified	resolution	source_pointer
NCT00836888|OM4|OG000	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG000]
NCT00836888|OM4|OG001	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG001]
NCT00836888|OM4|OG002	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG002]
NCT00836888|OM4|OG003	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00836888] :: outcomeMeasures[4] :: groups[OG003]
NCT00946153|OM2|OG000	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG000]
NCT00946153|OM2|OG001	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG001]
NCT00946153|OM2|OG002	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG002]
NCT00946153|OM2|OG003	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_1999_2009.txt :: studies[nct=NCT00946153] :: outcomeMeasures[2] :: groups[OG003]
NCT01124734|OM0|OG000	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01124734] :: outcomeMeasures[0] :: groups[OG000]
NCT01124734|OM0|OG001	UNRESOLVED_MAPPING_TENSION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	MAPPING	CONTRADICTIONS-genuine.tsv (INTEGRATION2)	GENUINE_CONTRADICTION__RETAINED	One registered arm in the arms module; several results groups in one outcome measure. These are two different modules at two different grains. They are mutually exclusive only if each results group must be a registered arm -- the very correspondence C2 v3 marks UNPROVED (registry_type_statement_assumption) on a registry join it marks NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE on all 552 rows. Under a reporting-group reading both statements stand, so this is an unresolved mapping tension, not an established contradiction.	WHAT_WOULD_SETTLE_IT: a source statement binding results groups to registered arms for this record -- the registry join fields absent from this cache.	NOT_REFUTED_BY_THIS_COMPONENT	PROPOSED	ASSUMES_THIS_RESULTS_GROUP_IS_A_SUBSET_OF_THE_REGISTERED_ARM_SET_MEMBERSHIP_UNPROVED	NOT_ESTABLISHED_REGISTRY_JOIN_FIELDS_ABSENT_FROM_THIS_CACHE		YES	RETAINED_UNVERIFIED_WITH_LOCATOR			RETAINED_UNRESOLVED__FLAG_PRESERVED__NO_FIELD_IS_DECLARED_WRONG__NOT_COUNTED_AS_A_CONTRADICTION	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01124734] :: outcomeMeasures[0] :: groups[OG001]
