nct_id	payload_file	outcome_measure_index	outcome_measure_title	group_id	group_title	class_index	class_title	n_classes_in_om	classes_contributing	reported_denominator_participants	denoms_units_all	class_all_categories_sum	class_full_category_vector	matched_categories_this_class	matched_sum_this_class	dropped_categories_this_class	dropped_sum_this_class	stored_cells_producer	stored_evaluable_n	corrected_denominator	corrected_matched_cells_all_contributing_classes	residual_denominator_minus_matched	class_survived_labels	content_lost_from_this_class	recoverable	verdict	source_pointer
NCT02083653	ctg_results_bor_2014_2017.txt	1	Best Overall Response (OR) According to the Response Evaluation Criteria In Solid Tumors Version 1.1 (RECIST v1.1)	OG000	Arm A: Sym004 (12 mg/kg)	0	<untitled>	1	0	83	Participants=83	83	Complete Response (CR)=0 | Partial Response (PR)=11 | Stable Disease (SD)=40 | Progressive Disease (PD)=27 | Not Evaluable (NE)=5	Complete Response (CR)[CR]=0 | Partial Response (PR)[PR]=11 | Stable Disease (SD)[SD]=40 | Progressive Disease (PD)[PD]=27	78	Not Evaluable (NE)=5	5	CR=0,PR=11,SD=40,PD=27	78	83	CR=0,PR=11,SD=40,PD=27	5	CR,PD,PR,SD	dropped category Not Evaluable (NE)=5	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02083653] :: outcomeMeasures[1] :: classes[0] :: groups[OG000]
NCT02083653	ctg_results_bor_2014_2017.txt	1	Best Overall Response (OR) According to the Response Evaluation Criteria In Solid Tumors Version 1.1 (RECIST v1.1)	OG001	Arm B: Sym004 (9/6 mg/kg)	0	<untitled>	1	0	86	Participants=86	86	Complete Response (CR)=0 | Partial Response (PR)=8 | Stable Disease (SD)=47 | Progressive Disease (PD)=28 | Not Evaluable (NE)=3	Complete Response (CR)[CR]=0 | Partial Response (PR)[PR]=8 | Stable Disease (SD)[SD]=47 | Progressive Disease (PD)[PD]=28	83	Not Evaluable (NE)=3	3	CR=0,PR=8,SD=47,PD=28	83	86	CR=0,PR=8,SD=47,PD=28	3	CR,PD,PR,SD	dropped category Not Evaluable (NE)=3	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02083653] :: outcomeMeasures[1] :: classes[0] :: groups[OG001]
NCT02083653	ctg_results_bor_2014_2017.txt	1	Best Overall Response (OR) According to the Response Evaluation Criteria In Solid Tumors Version 1.1 (RECIST v1.1)	OG002	Arm C: Investigator's Choice	0	<untitled>	1	0	85	Participants=85	85	Complete Response (CR)=1 | Partial Response (PR)=1 | Stable Disease (SD)=37 | Progressive Disease (PD)=31 | Not Evaluable (NE)=15	Complete Response (CR)[CR]=1 | Partial Response (PR)[PR]=1 | Stable Disease (SD)[SD]=37 | Progressive Disease (PD)[PD]=31	70	Not Evaluable (NE)=15	15	CR=1,PR=1,SD=37,PD=31	70	85	CR=1,PR=1,SD=37,PD=31	15	CR,PD,PR,SD	dropped category Not Evaluable (NE)=15	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02083653] :: outcomeMeasures[1] :: classes[0] :: groups[OG002]
NCT02089334	ctg_results_bor_2014_2017.txt	4	Best Overall Response as Determined by RECIST v1.1.	OG000	125 mg/m^2 RX-0201 + Everolimus (Stage 1)	0	<untitled>	1	0	3	Participants=3	3	Complete Response (CR)=0 | Partial Response (PR)=0 | Stable Disease (SD)=2 | Progressive Disease (PD)=0 | Not Evaluable (NE)=0 | Not Done (ND)=1	Complete Response (CR)[CR]=0 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=2 | Progressive Disease (PD)[PD]=0	2	Not Evaluable (NE)=0 | Not Done (ND)=1	1	CR=0,PR=0,SD=2,PD=0	2	3	CR=0,PR=0,SD=2,PD=0	1	CR,PD,PR,SD	dropped category Not Evaluable (NE)=0 ;; dropped category Not Done (ND)=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: classes[0] :: groups[OG000]
NCT02089334	ctg_results_bor_2014_2017.txt	4	Best Overall Response as Determined by RECIST v1.1.	OG001	200 mg/m^2/Day RX-0201 + Everolimus (Stage 1)	0	<untitled>	1	0	4	Participants=4	4	Complete Response (CR)=0 | Partial Response (PR)=0 | Stable Disease (SD)=1 | Progressive Disease (PD)=2 | Not Evaluable (NE)=0 | Not Done (ND)=1	Complete Response (CR)[CR]=0 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=1 | Progressive Disease (PD)[PD]=2	3	Not Evaluable (NE)=0 | Not Done (ND)=1	1	CR=0,PR=0,SD=1,PD=2	3	4	CR=0,PR=0,SD=1,PD=2	1	CR,PD,PR,SD	dropped category Not Evaluable (NE)=0 ;; dropped category Not Done (ND)=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: classes[0] :: groups[OG001]
NCT02089334	ctg_results_bor_2014_2017.txt	4	Best Overall Response as Determined by RECIST v1.1.	OG002	250 mg/m^2/Day RX-0201 + Everolimus (Stage 1)	0	<untitled>	1	0	4	Participants=4	4	Complete Response (CR)=0 | Partial Response (PR)=0 | Stable Disease (SD)=1 | Progressive Disease (PD)=0 | Not Evaluable (NE)=1 | Not Done (ND)=2	Complete Response (CR)[CR]=0 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=1 | Progressive Disease (PD)[PD]=0	1	Not Evaluable (NE)=1 | Not Done (ND)=2	3	CR=0,PR=0,SD=1,PD=0	1	4	CR=0,PR=0,SD=1,PD=0	3	CR,PD,PR,SD	dropped category Not Evaluable (NE)=1 ;; dropped category Not Done (ND)=2	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: classes[0] :: groups[OG002]
NCT02089334	ctg_results_bor_2014_2017.txt	4	Best Overall Response as Determined by RECIST v1.1.	OG003	RX-0201 Plus Everolimus (Stage 2)	0	<untitled>	1	0	11	Participants=11	11	Complete Response (CR)=0 | Partial Response (PR)=0 | Stable Disease (SD)=7 | Progressive Disease (PD)=1 | Not Evaluable (NE)=0 | Not Done (ND)=3	Complete Response (CR)[CR]=0 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=7 | Progressive Disease (PD)[PD]=1	8	Not Evaluable (NE)=0 | Not Done (ND)=3	3	CR=0,PR=0,SD=7,PD=1	8	11	CR=0,PR=0,SD=7,PD=1	3	CR,PD,PR,SD	dropped category Not Evaluable (NE)=0 ;; dropped category Not Done (ND)=3	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: classes[0] :: groups[OG003]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG000	Part A - TMT 0.0125 mg/kg/Day	0	<untitled>	1	0	3	Participants=3	3	Complete response (CR)=0 | Partial response (PR)=0 | Stable disease (SD)=1 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=0 | Missing=2	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=0 | Stable disease (SD)[SD]=1 | Progressive disease (PD)[PD]=0	1	Non-CR/Non-PD=0 | Unknown=0 | Missing=2	2	CR=0,PR=0,SD=1,PD=0	1	3	CR=0,PR=0,SD=1,PD=0	2	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=0 ;; dropped category Missing=2	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG000]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG001	Part A - TMT 0.025 mg/kg/Day	0	<untitled>	1	0	19	Participants=19	19	Complete response (CR)=0 | Partial response (PR)=1 | Stable disease (SD)=2 | Progressive disease (PD)=0 | Non-CR/Non-PD=0 | Unknown=0 | Missing=16	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=1 | Stable disease (SD)[SD]=2 | Progressive disease (PD)[PD]=0	3	Non-CR/Non-PD=0 | Unknown=0 | Missing=16	16	CR=0,PR=1,SD=2,PD=0	3	19	CR=0,PR=1,SD=2,PD=0	16	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=0 ;; dropped category Missing=16	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG001]
NCT02124772	ctg_results_bor_2014_2017.txt	10	Best Overall Response (BOR) Based on RECIST v1.1, RANO and Dombi Criteria and as Per Investigator Assessment	OG002	Part A - TMT 0.032 mg/kg/Day	0	<untitled>	1	0	12	Participants=12	12	Complete response (CR)=0 | Partial response (PR)=1 | Stable disease (SD)=3 | Progressive disease (PD)=2 | Non-CR/Non-PD=0 | Unknown=0 | Missing=6	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=1 | Stable disease (SD)[SD]=3 | Progressive disease (PD)[PD]=2	6	Non-CR/Non-PD=0 | Unknown=0 | Missing=6	6	CR=0,PR=1,SD=3,PD=2	6	12	CR=0,PR=1,SD=3,PD=2	6	CR,PD,PR,SD	dropped category Non-CR/Non-PD=0 ;; dropped category Unknown=0 ;; dropped category Missing=6	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02124772] :: outcomeMeasures[10] :: classes[0] :: groups[OG002]
