record_type	nct_id	payload_file	outcome_measure_index	outcome_measure_title	group_id	group_title	class_index	class_title	category_title	category_value_raw	category_value_int	producer_label	producer_kept	reported_denominator_participants	sum_all_integer_categories_in_class	residual_denominator_minus_sum	stored_cells_CR_PR_SD_PD	stored_evaluable_n	job1_classification	overwrite_scope	conflicting_overwrite	corrected_reading_status	note	source_pointer
CLASS	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	(all 6 categories)		14		kept=4;dropped=2;overwritten=0	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE	dropped: Non-CR/Non-PD (NCRNPD) | Unknown	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	Complete Response (CR)	0	0	CR	kept	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	Partial Response (PR)	0	0	PR	kept	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	Stable Disease (SD)	4	4	SD	kept	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	Progressive Disease (PD)	7	7	PD	kept	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	Non-CR/Non-PD (NCRNPD)	0	0		dropped	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	Unknown	3	3		dropped	14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
ROW	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG000	Phase I Dose Escalation: MBG453 80mg Q2W ROW	0	<untitled>	(corrected reading)		14			14	14	0	CR=0;PR=0;SD=4;PD=7	11	unsupported	none	False	RECOVERABLE	single class, denominator read from denoms, all integer categories sum exactly to it	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG000]
CLASS	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG002	Phase I Dose Escalation: MBG453 800mg Q2W ROW	0	<untitled>	(all 6 categories)		16		kept=4;dropped=2;overwritten=0	16	16	0	CR=0;PR=0;SD=7;PD=8	15	unsupported	none	False	RECOVERABLE	dropped: Non-CR/Non-PD (NCRNPD) | Unknown	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG002]
CATEGORY	NCT02608268	ctg_results_bor_2014_2017.txt	7	Best Overall Response (BOR) Per RECIST v1.1	OG002	Phase I Dose Escalation: MBG453 800mg Q2W ROW	0	<untitled>	Complete Response (CR)	0	0	CR	kept	16	16	0	CR=0;PR=0;SD=7;PD=8	15	unsupported	none	False	RECOVERABLE		ctg_results_bor_2014_2017.txt :: studies[nct=NCT02608268] :: outcomeMeasures[7] :: groups[OG002]
