row_key	record_type	payload_file	nct_id	outcome_measure_index	outcome_measure_title	group_id	group_title	n_classes_in_om	class_index	class_title	category_index	category_title	category_count	denom_units	reported_denominator_participants	class_category_sum	contributing_classes_category_sum	residual_denominator_minus_sum	producer_cells_CRPRSDPD	producer_evaluable_n	producer_dropped_participants	producer_overwrite_scope	producer_conflicting	corrected_reading	recoverability	note
R001	CLASS	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG001	Phase 1b Dose Escalation: CPI-1205 400mg BID +Cobi+Abi/Pred	1	0	<untitled>				Participants	7	7	7	0	CR=0;PR=0;SD=3;PD=3	6	1	none	False	CR=0; PR=0; SD=3; PD=3; Not evaluable, unknown, or missing=1	RECOVERABLE	full category vector of the single contributing class sums exactly to the denoms value
R001	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG001	Phase 1b Dose Escalation: CPI-1205 400mg BID +Cobi+Abi/Pred	1	0	<untitled>	0	CR	0	Participants	7	7	7	0	CR=0;PR=0;SD=3;PD=3	6		none	False		RECOVERABLE	kept
R001	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG001	Phase 1b Dose Escalation: CPI-1205 400mg BID +Cobi+Abi/Pred	1	0	<untitled>	1	PR	0	Participants	7	7	7	0	CR=0;PR=0;SD=3;PD=3	6		none	False		RECOVERABLE	kept
R001	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG001	Phase 1b Dose Escalation: CPI-1205 400mg BID +Cobi+Abi/Pred	1	0	<untitled>	2	SD	3	Participants	7	7	7	0	CR=0;PR=0;SD=3;PD=3	6		none	False		RECOVERABLE	kept
R001	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG001	Phase 1b Dose Escalation: CPI-1205 400mg BID +Cobi+Abi/Pred	1	0	<untitled>	3	PD	3	Participants	7	7	7	0	CR=0;PR=0;SD=3;PD=3	6		none	False		RECOVERABLE	kept
R001	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG001	Phase 1b Dose Escalation: CPI-1205 400mg BID +Cobi+Abi/Pred	1	0	<untitled>	4	Not evaluable, unknown, or missing	1	Participants	7	7	7	0	CR=0;PR=0;SD=3;PD=3	6		none	False		RECOVERABLE	DROPPED_BY_PRODUCER
R002	CLASS	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG003	Phase 1b Dose Escalation: CPI-1205 800mg TID +Abi/Pred	1	0	<untitled>				Participants	11	11	11	0	CR=0;PR=0;SD=7;PD=1	8	3	none	False	CR=0; PR=0; SD=7; PD=1; Not evaluable, unknown, or missing=3	RECOVERABLE	full category vector of the single contributing class sums exactly to the denoms value
R002	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG003	Phase 1b Dose Escalation: CPI-1205 800mg TID +Abi/Pred	1	0	<untitled>	0	CR	0	Participants	11	11	11	0	CR=0;PR=0;SD=7;PD=1	8		none	False		RECOVERABLE	kept
R002	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG003	Phase 1b Dose Escalation: CPI-1205 800mg TID +Abi/Pred	1	0	<untitled>	1	PR	0	Participants	11	11	11	0	CR=0;PR=0;SD=7;PD=1	8		none	False		RECOVERABLE	kept
R002	CATEGORY	ctg_results_bor_2014_2017.txt	NCT03480646	4	Efficacy: Best Responses by Treatment Group	OG003	Phase 1b Dose Escalation: CPI-1205 800mg TID +Abi/Pred	1	0	<untitled>	2	SD	7	Participants	11	11	11	0	CR=0;PR=0;SD=7;PD=1	8		none	False		RECOVERABLE	kept
