row_type	nct	mechanism	reducible	registered_enrollment	enrollment_type	selected_cohorts	sum_selected_denominators	excess	reduced_set_sum	om_index	group_id	group_title	denominator	cohort_role	payload	note
TRIAL	NCT00069095	M2_CROSS_AXIS_PARTITION	YES	2035	ACTUAL	4	3304	1269	1904							{OM10/OG000 FOLFOX-4/FOLFOX-4+P/FOLFOX-4+BV 937; OM10/OG001 XELOX/XELOX+P/XELOX+BV 967} = 1904
COHORT	NCT00069095									10	OG000	FOLFOX-4/FOLFOX-4+P/FOLFOX-4+BV	937	AXIS1_KEEP	ctg_results_bor_1999_2009	
COHORT	NCT00069095									10	OG001	XELOX/XELOX+P/XELOX+BV	967	AXIS1_KEEP	ctg_results_bor_1999_2009	
COHORT	NCT00069095									11	OG001	FOLFOX-4+BV/XELOX+BV	699	AXIS2_CROSS_AXIS	ctg_results_bor_1999_2009	
COHORT	NCT00069095									11	OG000	FOLFOX-4+P/XELOX+P	701	AXIS2_CROSS_AXIS	ctg_results_bor_1999_2009	
TRIAL	NCT00806156	M8_ANALYSIS_POPULATION_NESTING	YES	178	ACTUAL	6	609	431	169							{OM1/OG002 MITT Population 169} = 169 (registered enrollment 178)
COHORT	NCT00806156									0	OG000	NKTR-102 q21d	104	NESTED_SUBSET	ctg_results_bor_1999_2009	
COHORT	NCT00806156									0	OG001	Primary Efficacy Population	104	NESTED_SUBSET	ctg_results_bor_1999_2009	
COHORT	NCT00806156									1	OG002	MITT Population	169	KEEP_ITT	ctg_results_bor_1999_2009	
COHORT	NCT00806156									1	OG000	NKTR-102 q14d	37	NESTED_SUBSET	ctg_results_bor_1999_2009	
COHORT	NCT00806156									3	OG002	Platinum-Refractory Population	65	NESTED_SUBSET	ctg_results_bor_1999_2009	
COHORT	NCT00806156									4	OG002	Prior PLD Population	130	NESTED_SUBSET	ctg_results_bor_1999_2009	
TRIAL	NCT01024231	M1_POOLED_PLUS_COMPONENTS	YES	127	ACTUAL	11	434	307	127							{OM7/OG000 Cohort 1 14; OG001 Cohort 2 17; OG002 Cohort 2a 16; OG003 Cohort 3 6; OG005 Cohort 6 17; OG006 Cohorot 7 16; OG008 Cohort 8 41} = 127 = registered enrollment
COHORT	NCT01024231									7	OG004	Any BMS and Ipi Combo	53	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG009	Any BMS/Ipi	94	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG006	Cohorot 7	16	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG000	Cohort 1	14	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG001	Cohort 2	17	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG002	Cohort 2a	16	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG003	Cohort 3	6	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG005	Cohort 6	17	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG008	Cohort 8	41	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG007	Only BMS	33	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT01024231									7	OG010	Total	127	POOLED_TOTAL	ctg_results_bor_1999_2009	
TRIAL	NCT01078662	M1_POOLED_PLUS_COMPONENTS	YES	298	ACTUAL	6	596	298	298							{OM0/OG000 Breast 62; OG001 Ovarian 193; OG002 Pancreatic 23; OG003 Prostate 8; OG004 Other 12} = 298 = registered enrollment
COHORT	NCT01078662									0	OG005	All Patients	298	POOLED_TOTAL	ctg_results_bor_2010_2013	
COHORT	NCT01078662									0	OG000	Breast Cancer	62	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01078662									0	OG004	Other Cancers	12	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01078662									0	OG001	Ovarian Cancer	193	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01078662									0	OG002	Pancreatic Cancer	23	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01078662									0	OG003	Prostate Cancer	8	COMPONENT	ctg_results_bor_2010_2013	
TRIAL	NCT00502307	M4_ASSESSOR_DUPLICATE	YES	272	ACTUAL	2	544	272	272							{OM1/OG000 Investigator Assessment 272} = 272 = registered enrollment
COHORT	NCT00502307									1	OG001	Independent Radiology Reviewer Assessment	272	DUPLICATE_ASSESSOR	ctg_placebo_onc_1999_2009	
COHORT	NCT00502307									1	OG000	Investigator Assessment	272	KEEP_ITT	ctg_placebo_onc_1999_2009	
TRIAL	NCT00290771	M1_POOLED_PLUS_COMPONENTS	YES	231	ACTUAL	3	462	231	231							{OM0/OG000 131; OM0/OG001 100} = 231
COHORT	NCT00290771									0	OG002	All Patients - Imatinib 600 or 1000 mg + Hydroxyurea 1000 mg	231	POOLED_TOTAL	ctg_results_bor_1999_2009	
COHORT	NCT00290771									0	OG001	Imatinib 1000 mg + Hydroxyurea 1000 mg	100	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00290771									0	OG000	Imatinib 600 mg + Hydroxyurea 1000 mg	131	COMPONENT	ctg_results_bor_1999_2009	
TRIAL	NCT01085136	M9_SEQUENTIAL_PARTS_RELATION_UNSTATED	UNRESOLVED	1154	ACTUAL	3	1360	206	UNRESOLVED							cannot be settled from this record
COHORT	NCT01085136									3	OG000	Afatinib Monotherapy (Part A)	1154	UNRESOLVED_PART	ctg_results_bor_2010_2013	
COHORT	NCT01085136									4	OG000	Afatinib Plus Paclitaxel (Part B)	138	UNRESOLVED_PART	ctg_results_bor_2010_2013	
COHORT	NCT01085136									4	OG001	Investigators Choice of Chemotherapy (Part B)	68	UNRESOLVED_PART	ctg_results_bor_2010_2013	
TRIAL	NCT00804856	M1_POOLED_PLUS_COMPONENTS	YES	180	ACTUAL	18	350	170	175							the thirteen Phase I dose groups (OM3/OG000-OG005 = 32, OM3/OG007-OG013 = 56) plus the two Phase II arms (OM1/OG000 45, OM1/OG001 42 = 87) = 175
COHORT	NCT00804856									1	OG001	Phase II Schedule A. Volasertib 350 mg+LDAC	42	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									1	OG000	Phase II Schedule C. LDAC	45	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG000	Phase I Schedule A. Volasertib 150 mg+LDAC	4	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG001	Phase I Schedule A. Volasertib 200 mg+LDAC	3	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG002	Phase I Schedule A. Volasertib 250 mg+LDAC	5	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG003	Phase I Schedule A. Volasertib 300 mg+LDAC	9	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG004	Phase I Schedule A. Volasertib 350 mg+LDAC	8	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG005	Phase I Schedule A. Volasertib 400 mg+LDAC	3	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG007	Phase I Schedule B. Volasertib 150 mg	11	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG008	Phase I Schedule B. Volasertib 200 mg	2	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG009	Phase I Schedule B. Volasertib 350 mg	5	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG010	Phase I Schedule B. Volasertib 400 mg	6	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG011	Phase I Schedule B. Volasertib 450 mg	23	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG012	Phase I Schedule B. Volasertib 500 mg	5	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
COHORT	NCT00804856									3	OG013	Phase I Schedule B. Volasertib 550 mg	4	COMPONENT	ctg_accrual_completed_onc_phase2|ctg_results_bor_1999_2009	
