row_type	nct	payload	enrollment_type	registered_enrollment	selected_cohorts	sum_selected_denominators	excess	mechanism	reducible	nonoverlap_n	nonoverlap_sum	om_index	group_title	denominator	pooled_flag	outcome_measure_title	time_frame	cohort_role
TRIAL	NCT01271725	ctg_results_bor_2010_2013	ACTUAL	74	2	113	39	SEQUENTIAL_PHASE	YES	1	74							
COHORT	NCT01271725	ctg_results_bor_2010_2013	ACTUAL	74								0	Afatinib Monotherapy	74	False	Percentage of Participants With Objective Response (OR) Assessed by Response Evaluation Criteria in Solid Tumours Version (RECIST) 1.1	From the initial dose of study drug until 28 days after end of the treatment period, up to 1562 days	KEEP
COHORT	NCT01271725	ctg_results_bor_2010_2013	ACTUAL	74								0	Afatinib and Paclitaxel or Vinorelbine Combination Therapy	39	False	Percentage of Participants With Objective Response (OR) Assessed by Response Evaluation Criteria in Solid Tumours Version (RECIST) 1.1	From the initial dose of study drug until 28 days after end of the treatment period, up to 1562 days	DROP:SEQUENTIAL_SUBSET
TRIAL	NCT01289041	ctg_results_bor_2010_2013	ACTUAL	70	3	140	70	POOLED_WITH_COMPONENTS	YES	2	70							
COHORT	NCT01289041	ctg_results_bor_2010_2013	ACTUAL	70								0	All Patients	70	True	Best Overall Response Rate (BORR) According to PI3K Activation Pathway Status	24 months	DROP:POOLED_PARENT
COHORT	NCT01289041	ctg_results_bor_2010_2013	ACTUAL	70								0	Activated Pl3K	49	False	Best Overall Response Rate (BORR) According to PI3K Activation Pathway Status	24 months	KEEP
COHORT	NCT01289041	ctg_results_bor_2010_2013	ACTUAL	70								0	Non-Activated Pl3K	21	False	Best Overall Response Rate (BORR) According to PI3K Activation Pathway Status	24 months	KEEP
TRIAL	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69	22	207	138	POOLED_WITH_COMPONENTS;DENOM_VARIES_BY_MEASURE	YES	19	69							
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Total Patients	69	True	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	DROP:POOLED_PARENT
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A Total (Total A)	47	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	DROP:POOLED_PARENT
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B Total (Total B)	22	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	DROP:POOLED_PARENT
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 26 mg (A5)	7	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 33 mg (A6)	7	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 120 mg (A10)	6	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 130 mg (B7)	6	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule B BI 847325 150 mg (B8)	6	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 86 mg (A9)	5	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 160 mg (A11)	4	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 13 mg (A3)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
COHORT	NCT01324830	ctg_results_bor_2010_2013	ACTUAL	69								1	Schedule A BI 847325 19 mg (A4)	3	False	Best Overall Response	From the start of treatment until the last evaluable assessment. The data cut-off date is 29-Nov-2013	KEEP
