row_type	nct	mechanism_code	mechanism	enrollment_type	enrollment_is_estimated	registered_enrollment	selected_cohorts	sum_selected_denominators	excess	reducible_to_nonoverlapping	nonoverlapping_set	nonoverlapping_sum	group_title	denominator	om_index	om_type	om_title	timeframe	pooled_label	payload	driver_or_note
TRIAL	NCT02319044	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	267	4	514	247	YES	{Total 257} (om6) OR {MEDI4736 65, MEDI4736 + Tremelimumab 129, Tremelimumab 63} (om1) = 257	257									'Total' 257 (om6 DCR, pooled_label=True) is the sum of the three arm cohorts selected from om1: 65+129+63=257. || Also a timepoint mismatch: the pooled row is measured 'After 6 months' (om6) while the arm rows are 'After 12 months' (om1). 257 <= 267 registered.
COHORT	NCT02319044	M1		ACTUAL	NO	267							MEDI4736 + Tremelimumab	129	1	PRIMARY	Objective Response Rate at 12 Months	After 12 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02319044	M1		ACTUAL	NO	267							MEDI4736	65	1	PRIMARY	Objective Response Rate at 12 Months	After 12 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02319044	M1		ACTUAL	NO	267							Tremelimumab	63	1	PRIMARY	Objective Response Rate at 12 Months	After 12 months	False	ctg_results_bor_2014_2017	
COHORT	NCT02319044	M1		ACTUAL	NO	267							Total	257	6	SECONDARY	Disease Control Rate (DCR)	After 6 months	True	ctg_results_bor_2014_2017	
TRIAL	NCT02335983	M1	POOLED_WITH_COMPONENTS - an explicitly pooled/total/combined results cohort selected alongside its own component cohorts	ACTUAL	NO	107	8	171	64	YES	the 6 non-'Combined' cohorts = 9+33+9+34+12+10 = 107	107									'RRMM: Combined Carfilzomib 70 mg/m²' 46 = 'RRMM Dose-evaluation: Carfilzomib 70 mg/m²' 12 + 'RRMM Dose-expansion: Carfilzomib 70 mg/m²' 34; 'NDMM: Combined Carfilzomib 70 mg/m²' 18 = 'NDMM Dose-evaluation: Carfilzomib 56/70 mg/m²' 9 + 'NDMM Dose-expansion: Carfilzomib 70 mg/m²' 9. All 8 rows are om9. || Excess 64 = 46 + 18 exactly. Removing both 'Combined' rows gives 107, equal to registered ACTUAL enrollment.
COHORT	NCT02335983	M1		ACTUAL	NO	107							RRMM: Combined Carfilzomib 70 mg/m²	46	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
COHORT	NCT02335983	M1		ACTUAL	NO	107							RRMM Dose-expansion: Carfilzomib 70 mg/m²	34	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
COHORT	NCT02335983	M1		ACTUAL	NO	107							NDMM Dose-expansion: Carfilzomib 56 mg/m²	33	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
COHORT	NCT02335983	M1		ACTUAL	NO	107							NDMM: Combined Carfilzomib 70 mg/m²	18	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
COHORT	NCT02335983	M1		ACTUAL	NO	107							RRMM Dose-evaluation: Carfilzomib 70 mg/m²	12	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
COHORT	NCT02335983	M1		ACTUAL	NO	107							RRMM Dose-evaluation: Carfilzomib 56 mg/m²	10	9	SECONDARY	Overall Response Rate (ORR)	Response assessments were performed on day 1 of each treatment cycle from cycle 2 and then every 8 weeks during follow-up until disease progression. Median time on follow-up was 10.6 months in RRMM participants and 6.9 months in NDMM participants.	False	ctg_results_bor_2014_2017	
