level	nct	payload	payload_line	enrollment	enrollment_type	enrollment_is_estimated	selected_cohorts	sum_selected_denominators	excess	mechanism	reducible_to_non_overlapping_set	non_overlapping_set_sum	non_overlapping_set_source	om_index	group_title	denominator	cohort_role	in_non_overlapping_set	outcome_measure_title	time_frame	note
TRIAL	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO	10	531	301	DUPLICATE_TITLE_VARIANT+POOLED_UNFLAGGED+CROSS_AXIS_DUPLICATE	YES	230	om3 OG000-OG003 (31+28+1+170)								om0/om1 repeat the same PD-L1 subgroups with a space before the plus sign; om3 is the only OM whose group denominators sum to registered enrollment.
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								0	PART 1: Not Evaluable/Indeterminate PD-L1 Status	0	COMPONENT_KEPT	YES	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								0	PART 1: PD-L1 + Status	19	DUPLICATE_TITLE_VARIANT	NO	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								0	PART 1: PD-L1- Status	16	COMPONENT_KEPT	YES	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								0	PART 2: PD-L1+ Status	39	CROSS_AXIS_DUPLICATE	NO	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								0	PART 2: PD-L1- Status	62	CROSS_AXIS_DUPLICATE	NO	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								1	PART 1: PD-L1+ Status	19	COMPONENT_KEPT	YES	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (Blood TMB Cut-point = 21-mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								1	PART 2: PD-L1 + Status	39	DUPLICATE_TITLE_VARIANT	NO	Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) Within PD-L1 Subgroup (Blood TMB Cut-point = 21-mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 58 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								3	PART 2: PD-L1 Status Independent	170	COMPONENT_KEPT	YES	Objective Response Rate (ORR) for All Treated Participants by Investigator Per RECIST 1.1	From first dose until the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy, whichever occurs first (Up to approximately 67 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								12	PART 1	36	POOLED_UNFLAGGED	NO	Extended Collection of Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 67 months)	
COHORT	NCT03001882	ctg_results_bor_2014_2017	250	230	ACTUAL	NO								12	PART 2	131	POOLED_UNFLAGGED	NO	Extended Collection of Objective Response Rate (ORR) Per Investigator by Blood TMB (bTMB) (TMB Cut-point = 16 Mutations/MB)	From first dose up to the date of objectively documented progression, or the date of initiation of palliative local therapy or the date of initiation of subsequent anticancer therapy (up to approximately 67 months)	
TRIAL	NCT03006926	ctg_results_bor_2014_2017	819	104	ACTUAL	NO	2	200	96	DUPLICATE_TITLE_VARIANT	YES	100	om3 OG000								"Single cohort of 100; hyphen vs space in ""HCC-1L""/""HCC 1L"" makes two keys."
COHORT	NCT03006926	ctg_results_bor_2014_2017	819	104	ACTUAL	NO								3	HCC-1L: Lenvatinib 12 mg or 8 mg+ Pembrolizumab 200 mg	100	COMPONENT_KEPT	YES	DLT+Expansion Part: Objective Response Rate (ORR) Based on mRECIST and RECIST Version (v) 1.1 Assessed by Independent Imaging Review (IIR)	From the first dose of study drug to the first date of documentation of PD or death, whichever occurred first (up to 46.2 months)	
COHORT	NCT03006926	ctg_results_bor_2014_2017	819	104	ACTUAL	NO								6	HCC 1L: Lenvatinib 12 mg or 8 mg+ Pembrolizumab 200 mg	100	DUPLICATE_TITLE_VARIANT	NO	DLT+Expansion Part: Objective Response Rate (ORR) Based on mRECIST Assessed by Investigator Review	From the first dose of study drug to the first date of documentation of PD or death, whichever occurred first (up to 46.2 months)	
TRIAL	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO	9	91	56	DUPLICATE_TITLE_VARIANT+POOLED_UNFLAGGED	YES	34	om5 OG000-OG003 (6+6+6+16)								"om6 repeats om5 with comma replaced by dash. om1 group is ""Phase 2 plus subjects treated at the RP2D"" - a pool over the om5 groups."
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								1	Treatment (Avelumab, Trabectedin)	23	POOLED_UNFLAGGED	NO	Overall Response Rate (ORR)	Up to 2 years 7 months total	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								5	Phase 1, 1.0 mg/m^2 Trabectedin	6	COMPONENT_KEPT	YES	Complete Response Rate (CR)	At 12 weeks	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								5	Phase 1, 1.2 mg/m^2 Trabectedin	6	COMPONENT_KEPT	YES	Complete Response Rate (CR)	At 12 weeks	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								5	Phase 1, 1.5 mg/m^2 Trabectedin	6	COMPONENT_KEPT	YES	Complete Response Rate (CR)	At 12 weeks	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								5	Phase 2, 1.0 mg/m^2 Trabectedin	16	COMPONENT_KEPT	YES	Complete Response Rate (CR)	At 12 weeks	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								6	Phase 1 - 1.0 mg/m^2 Trabectedin	6	DUPLICATE_TITLE_VARIANT	NO	Partial Response Rate (PR)	At 12 weeks	
COHORT	NCT03074318	ctg_results_bor_2014_2017	386	35	ACTUAL	NO								6	Phase 1 - 1.2 mg/m^2 Trabectedin	6	DUPLICATE_TITLE_VARIANT	NO	Partial Response Rate (PR)	At 12 weeks	
