nct	group_norm	n_competing_at_step_f	competing_om_indices	selected_om_index_by_rule_f	classification	basis_tier	distinguishing_fields	would_change_selection	would_change_to_om	competing_measure_metadata	source_payload
NCT00077857	1250 mg/m^2 capecitabine + docetaxel	3	1|2|3	1	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om1:Percentage of Participants With Best Overall Response Being Complete Response (C | tf=Until Progressive Disease (PD) or end of prim | pop=Intent to treat population included all rando | NUMBER/Percentage of participant || om2:Time to Overall Response | tf=Until PD or end of primary study treatment (u | pop=Intent to treat population included all rando | NUMBER/Percentage of participant || om3:Duration of Overall Response | tf=Until PD or death. Median duration of respons | pop=Intent to treat population included all rando | MEDIAN/Months	ctg_results_bor_1999_2009.txt
NCT00077857	825 mg/m^2 capecitabine + docetaxel	3	1|2|3	1	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om1:Percentage of Participants With Best Overall Response Being Complete Response (C | tf=Until Progressive Disease (PD) or end of prim | pop=Intent to treat population included all rando | NUMBER/Percentage of participant || om2:Time to Overall Response | tf=Until PD or end of primary study treatment (u | pop=Intent to treat population included all rando | NUMBER/Percentage of participant || om3:Duration of Overall Response | tf=Until PD or death. Median duration of respons | pop=Intent to treat population included all rando | MEDIAN/Months	ctg_results_bor_1999_2009.txt
NCT00089999	lapatinib 1500 mg qd	2	0|1	0	BASIS_EXISTS	D_POPULATION	populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With a Best Overall Response (OR) of Confirmed Complete R | tf=From the date of the first dose of investigat | pop=Intent-to-Treat (ITT) Population: all randomi | NUMBER/Participants || om1:Number of Participants With a Best Overall Response (OR) of Confirmed Complete R | tf=From the date of the first dose of investigat | pop=ITT Population | NUMBER/Participants	ctg_results_bor_1999_2009.txt
NCT00089999	lapatinib 500 mg bid	2	0|1	0	BASIS_EXISTS	D_POPULATION	populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With a Best Overall Response (OR) of Confirmed Complete R | tf=From the date of the first dose of investigat | pop=Intent-to-Treat (ITT) Population: all randomi | NUMBER/Participants || om1:Number of Participants With a Best Overall Response (OR) of Confirmed Complete R | tf=From the date of the first dose of investigat | pop=ITT Population | NUMBER/Participants	ctg_results_bor_1999_2009.txt
NCT00095199	cetuximab & docetaxel	2	2|3	2	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om2:Proportion of Randomized Participants With the Best Overall Response (OR) of Par | tf=Randomization until progression of disease or | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant || om3:Proportion of Randomized Participants With Best Overall Response (OR) of Partial | tf=Randomization to progression of disease or de | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant	ctg_results_bor_1999_2009.txt
NCT00095199	cetuximab & pemetrexed	2	2|3	2	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om2:Proportion of Randomized Participants With the Best Overall Response (OR) of Par | tf=Randomization until progression of disease or | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant || om3:Proportion of Randomized Participants With Best Overall Response (OR) of Partial | tf=Randomization to progression of disease or de | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant	ctg_results_bor_1999_2009.txt
NCT00095199	docetaxel	2	2|3	2	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om2:Proportion of Randomized Participants With the Best Overall Response (OR) of Par | tf=Randomization until progression of disease or | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant || om3:Proportion of Randomized Participants With Best Overall Response (OR) of Partial | tf=Randomization to progression of disease or de | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant	ctg_results_bor_1999_2009.txt
NCT00095199	pemetrexed	2	2|3	2	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om2:Proportion of Randomized Participants With the Best Overall Response (OR) of Par | tf=Randomization until progression of disease or | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant || om3:Proportion of Randomized Participants With Best Overall Response (OR) of Partial | tf=Randomization to progression of disease or de | pop=The intent-to-treat population (ITT) included | NUMBER/proportion of participant	ctg_results_bor_1999_2009.txt
NCT00101400	sorafenib (nexavar, bay43-9006)	2	2|3	2	BASIS_EXISTS	B_TIMEFRAME	timeFrame	indeterminate (basis exists; no preregistered direction for this field)		om2:Time to Objective Response | tf=Until objective response occurs | pop=1 subject out of 54 achieved PR. | NUMBER/days || om3:Overall Response Duration | tf=Time from PR or CR to progression | pop=1 subject out of 54 achieved PR. | NUMBER/days	ctg_results_bor_1999_2009.txt
NCT00146172	all solid tumors	2	4|5	4	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om4:Objective Response Rate | tf=From first dose date to progression/death or  | pop=Breast, Lung and other solid tumors included  | NUMBER/percentage of participant || om5:Clinical Benefit Rate | tf=From first dose date to progression/death or  | pop=Breast, Lung and other solid tumors included  | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00146172	breast cancer	2	4|5	4	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om4:Objective Response Rate | tf=From first dose date to progression/death or  | pop=Breast, Lung and other solid tumors included  | NUMBER/percentage of participant || om5:Clinical Benefit Rate | tf=From first dose date to progression/death or  | pop=Breast, Lung and other solid tumors included  | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00146172	lung cancer	2	4|5	4	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om4:Objective Response Rate | tf=From first dose date to progression/death or  | pop=Breast, Lung and other solid tumors included  | NUMBER/percentage of participant || om5:Clinical Benefit Rate | tf=From first dose date to progression/death or  | pop=Breast, Lung and other solid tumors included  | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00154102	cetuximab plus folfiri	2	6|9	6	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om6:Best Overall Response Rate - Independent Review Committee (IRC) Assessments | tf=evaluations were performed every 6 weeks unti | pop=ITT population (allocation to treatment group | NUMBER/percentage of participant || om9:Disease Control Rate - Independent Review Committee (IRC) Assessments | tf=Evaluations were performed every 6 weeks unti | pop=ITT population (allocation to treatment group | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00154102	folfiri alone	2	6|9	6	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame	no (smallest index already the ORR-concept measure)		om6:Best Overall Response Rate - Independent Review Committee (IRC) Assessments | tf=evaluations were performed every 6 weeks unti | pop=ITT population (allocation to treatment group | NUMBER/percentage of participant || om9:Disease Control Rate - Independent Review Committee (IRC) Assessments | tf=Evaluations were performed every 6 weeks unti | pop=ITT population (allocation to treatment group | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00171834	patupilone (epo906) phase i	2	6|7	6	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)		om6:Time to Overall Response -Phase I and Phase II | tf=From baseline, then every second cycle (i.e.  | pop=Full Analysis Set (FAS) consisted of all pati | MEDIAN/Months || om7:Duration of Overall Response -Phase I and Phase II | tf=Duration of response according to RECIST from | pop=Full Analysis Set (FAS) consisted of all pati | MEDIAN/Months	ctg_results_bor_1999_2009.txt
NCT00171834	patupilone (epo906) phase ii	2	6|7	6	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria	indeterminate (basis exists; no preregistered direction for this field)		om6:Time to Overall Response -Phase I and Phase II | tf=From baseline, then every second cycle (i.e.  | pop=Full Analysis Set (FAS) consisted of all pati | MEDIAN/Months || om7:Duration of Overall Response -Phase I and Phase II | tf=Duration of response according to RECIST from | pop=Full Analysis Set (FAS) consisted of all pati | MEDIAN/Months	ctg_results_bor_1999_2009.txt
NCT00226811	50 mg sunitinib	2	0|6	0	BASIS_EXISTS	D_POPULATION	populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om0:Best Overall Response | tf=From start of study treatment until Day 28 of | pop=Intent-to-treat (ITT) population includes all | NUMBER/participants || om6:Objective Response (Complete Response (CR) or Partial Response (PR)) | tf=From start of study treatment until Day 28 of | pop=ITT population | NUMBER/participants	ctg_results_bor_1999_2009.txt
NCT00243074	azd2171	2	3|4	3	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;assessment_criteria;populationDescription	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	4	om3:Disease Control Rate | tf=Every 8 weeks until disease progression progr | pop=Eligible patients who received AZD2171 | NUMBER/percentage of participant || om4:Objective Response Rate Per Modified RECIST for Pleural Tumors | tf=Disease assessments for response were perform | pop=Eligible patients who received any amount of  | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00263588	cohort a	2	0|1	0	BASIS_EXISTS	E_TITLE_SUBSTANTIVE	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om0:The Number of Participants With Central Nervous System (CNS) Best Overall Respon | tf=time from baseline to data cutoff (25 Sept 20 | pop=Modified ITT (MITT) Population is defined as  | COUNT_OF_PARTICIPANTS/Participants || om1:The Percentage of Participants With Central Nervous System (CNS) Objective Respo | tf=time from baseline to data cutoff (25 Sept 20 | pop=Modified ITT (MITT) Population is defined as  | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00263588	cohort b	2	0|1	0	BASIS_EXISTS	E_TITLE_SUBSTANTIVE	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om0:The Number of Participants With Central Nervous System (CNS) Best Overall Respon | tf=time from baseline to data cutoff (25 Sept 20 | pop=Modified ITT (MITT) Population is defined as  | COUNT_OF_PARTICIPANTS/Participants || om1:The Percentage of Participants With Central Nervous System (CNS) Objective Respo | tf=time from baseline to data cutoff (25 Sept 20 | pop=Modified ITT (MITT) Population is defined as  | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00321893	arm i: budesonide	2	2|3	2	BASIS_EXISTS	C_ASSESSMENT_CRITERIA	assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om2:Number of Participant Overall Responses as Measured by RECIST Criteria at 12 Mon | tf=12 Months | pop=Per person analysis. Excluded from analysis w | NUMBER/participants || om3:Participant Overall Response (by Tumor Type Subsolid or Solid Tumor) as Measured | tf=12 Months | pop=Per person analysis. Excluded from analysis w | NUMBER/participants	ctg_placebo_onc_1999_2009.txt
NCT00321893	arm ii: placebo	2	2|3	2	BASIS_EXISTS	C_ASSESSMENT_CRITERIA	assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om2:Number of Participant Overall Responses as Measured by RECIST Criteria at 12 Mon | tf=12 Months | pop=Per person analysis. Excluded from analysis w | NUMBER/participants || om3:Participant Overall Response (by Tumor Type Subsolid or Solid Tumor) as Measured | tf=12 Months | pop=Per person analysis. Excluded from analysis w | NUMBER/participants	ctg_placebo_onc_1999_2009.txt
NCT00324155	ipilimumab and dacarbazine	2	1|4	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	4	om1:Disease Control Rate (DCR) | tf=First dose to last tumor assessment prior to  | pop=All participants who were randomized to a tre | NUMBER/Percentage of participant || om4:Best Overall Response Rate (BORR) | tf=First dose to last tumor assessment at data c | pop=All participants who were randomized to a tre | NUMBER/Percentage of participant	ctg_results_bor_1999_2009.txt
NCT00324155	placebo and dacarbazine	2	1|4	1	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title;timeFrame;assessment_criteria	yes (under an endpoint-concept preference for ORR over DCR/CBR/other)	4	om1:Disease Control Rate (DCR) | tf=First dose to last tumor assessment prior to  | pop=All participants who were randomized to a tre | NUMBER/Percentage of participant || om4:Best Overall Response Rate (BORR) | tf=First dose to last tumor assessment at data c | pop=All participants who were randomized to a tre | NUMBER/Percentage of participant	ctg_results_bor_1999_2009.txt
NCT00332163	pre-emptive skin treatment	2	6|7	6	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om6:Response Rate at First Scheduled Assessment | tf=Week 9 with confirmed response at Week 13 for | pop=Primary Analysis Set; participants who discon | NUMBER/percentage of participant || om7:Best Overall Response Rate | tf=Response was assessed at Weeks 9 and 13 and t | pop=Primary Analysis Set; participants who premat | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00332163	reactive skin treatment	2	6|7	6	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om6:Response Rate at First Scheduled Assessment | tf=Week 9 with confirmed response at Week 13 for | pop=Primary Analysis Set; participants who discon | NUMBER/percentage of participant || om7:Best Overall Response Rate | tf=Response was assessed at Weeks 9 and 13 and t | pop=Primary Analysis Set; participants who premat | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00347438	capecitabine	2	1|3	1	BASIS_EXISTS	E_TITLE_SUBSTANTIVE	title;paramType/unitOfMeasure	no (smallest index already the ORR-concept measure)		om1:Partial Clinical Response Rate (PR) | tf=After the first three cycles of therapy, an a | pop=This study was terminated early as a result o | NUMBER/participants || om3:Complete Pathologic Response Rate (cPR) | tf=After the first three cycles of therapy, an a | pop=This study was terminated early as a result o | NUMBER/percentage of participant	ctg_results_bor_1999_2009.txt
NCT00355238	group a (brivanib 800 mg qd)	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title	no (smallest index already the ORR-concept measure)		om2:Tumor Response Rate Per Independent Response Review Committee (IRRC) | tf=From first dose to the date of the first docu | pop=Pre-specified for all treated participants in | NUMBER/Percent of participants || om3:Disease Control Rate Per Independent Response Review Committee (IRRC) | tf=From first dose to the date of the first docu | pop=Pre-specified for all treated participants in | NUMBER/Percent of participants	ctg_results_bor_1999_2009.txt
NCT00355238	group b (brivanib 800 mg qd)	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title	no (smallest index already the ORR-concept measure)		om2:Tumor Response Rate Per Independent Response Review Committee (IRRC) | tf=From first dose to the date of the first docu | pop=Pre-specified for all treated participants in | NUMBER/Percent of participants || om3:Disease Control Rate Per Independent Response Review Committee (IRRC) | tf=From first dose to the date of the first docu | pop=Pre-specified for all treated participants in | NUMBER/Percent of participants	ctg_results_bor_1999_2009.txt
NCT00355238	group c (400 mg bid)	2	2|3	2	BASIS_EXISTS	A_DIFFERENT_ENDPOINT	title	no (smallest index already the ORR-concept measure)		om2:Tumor Response Rate Per Independent Response Review Committee (IRRC) | tf=From first dose to the date of the first docu | pop=Pre-specified for all treated participants in | NUMBER/Percent of participants || om3:Disease Control Rate Per Independent Response Review Committee (IRRC) | tf=From first dose to the date of the first docu | pop=Pre-specified for all treated participants in | NUMBER/Percent of participants	ctg_results_bor_1999_2009.txt
NCT00371345	er and/or pgr positive tumor, 100 mg bid dasatinib	3	0|1|17	0	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants || om1:Percentage of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/percentage of participant || om17:Best Overall Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants	ctg_results_bor_1999_2009.txt
NCT00371345	er and/or pgr positive tumor, 70 mg bid dasatinib	3	0|1|17	0	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription;paramType/unitOfMeasure	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants || om1:Percentage of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/percentage of participant || om17:Best Overall Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants	ctg_results_bor_1999_2009.txt
NCT00371345	her2/neu-amplified tumor, 100 mg bid	2	0|17	0	BASIS_EXISTS	B_TIMEFRAME	timeFrame;assessment_criteria;populationDescription	indeterminate (basis exists; no preregistered direction for this field)		om0:Number of Participants With Objective Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants || om17:Best Overall Response | tf=From day of first treatment through Week 25 o | pop=Evaluable population (n=69): Response Evaluab | NUMBER/participants	ctg_results_bor_1999_2009.txt
