nct	group_norm	payload	n_competing_at_step_f	om_indices	participants_denoms	selected_om_index	selected_om_title	classification	basis_fields	basis_detail	selection_effect	alt_om_index	alt_om_title	note
NCT01607905	arm a (colorectal cancer)	ctg_results_bor_2010_2013	2	12|13	57|57	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01607905	arm b (gynecological cancer)	ctg_results_bor_2010_2013	2	12|13	20|20	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01607905	arm c (squamous cell cancer)	ctg_results_bor_2010_2013	2	12|13	21|21	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01607905	arm d (castrate-resistant prostate cancer)	ctg_results_bor_2010_2013	2	12|13	19|19	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01607905	arm e (glioblastoma multiforme)	ctg_results_bor_2010_2013	2	12|13	6|6	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01607905	arm f (melanoma)	ctg_results_bor_2010_2013	2	12|13	14|14	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01607905	arm g (other solid tumors)	ctg_results_bor_2010_2013	2	12|13	46|46	12	Number of Participants With Best Overall Response (BOR)	BASIS_EXISTS	title/construct;assessment_criteria;paramType;unitOfMeasure	om[12] type=SECONDARY title='Number of Participants With Best Overall Response (BOR)' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)|RANO || om[13] type=SECONDARY title='Percentage of Participants With Objective Response' timeFrame='Up to maximum duration of 45 months' populationDescription='Efficacy Population included all participants registered to the study who had either completed 1 cycle of treatment or discontinued treatment prior to completin' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01610284	bkm120 100mg + fulvestrant	ctg_placebo_onc_2010_2013	2	2|3	576|576	2	Overall Response Rate (ORR) - Full Analysis Set (FAS) in Full Population, Main Study Cohort and PI3K Unknown Cohort	BASIS_EXISTS	title/construct	om[2] type=SECONDARY title='Overall Response Rate (ORR) - Full Analysis Set (FAS) in Full Population, Main Study Cohort and PI3K Unknown Cohort' timeFrame='From the date of randomization until the date of the first documented disease progression or date of death from any cause whichever came first, assessed for approximately 5 years' populationDescription='Full Analysis Set (FAS) in the Full Population, the Main Study Cohort (known PI3K pathway activation status \\[activated, non activated\\]) and the PI3K unknown c' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1 || om[3] type=SECONDARY title='Clinical Benefit Rate (CBR) - Full Analysis Set (FAS) in Full Population, Main Study Cohort and PI3K Unknown Cohort' timeFrame='From the date of randomization until the date of the first documented disease progression or date of death from any cause whichever came first, assessed for approximately 5 years' populationDescription='Full Analysis Set (FAS) in the Full Population, the Main Study Cohort (known PI3K pathway activation status \\[activated, non activated\\]) and the PI3K unknown c' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01610284	placebo + fulvestrant	ctg_placebo_onc_2010_2013	2	2|3	571|571	2	Overall Response Rate (ORR) - Full Analysis Set (FAS) in Full Population, Main Study Cohort and PI3K Unknown Cohort	BASIS_EXISTS	title/construct	om[2] type=SECONDARY title='Overall Response Rate (ORR) - Full Analysis Set (FAS) in Full Population, Main Study Cohort and PI3K Unknown Cohort' timeFrame='From the date of randomization until the date of the first documented disease progression or date of death from any cause whichever came first, assessed for approximately 5 years' populationDescription='Full Analysis Set (FAS) in the Full Population, the Main Study Cohort (known PI3K pathway activation status \\[activated, non activated\\]) and the PI3K unknown c' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1 || om[3] type=SECONDARY title='Clinical Benefit Rate (CBR) - Full Analysis Set (FAS) in Full Population, Main Study Cohort and PI3K Unknown Cohort' timeFrame='From the date of randomization until the date of the first documented disease progression or date of death from any cause whichever came first, assessed for approximately 5 years' populationDescription='Full Analysis Set (FAS) in the Full Population, the Main Study Cohort (known PI3K pathway activation status \\[activated, non activated\\]) and the PI3K unknown c' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01612546	treatment (cyclodextrin-based polymer-camptothecin crlx101)	ctg_results_bor_2010_2013	2	1|2	10|10	1	Overall Objective Response Rate	BASIS_EXISTS	title/construct;timeFrame	om[1] type=SECONDARY title='Overall Objective Response Rate' timeFrame='Up to 4 years' populationDescription='' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1 || om[2] type=SECONDARY title='Clinical Benefit Rate' timeFrame='At least 4 months post treatment, assessed up to 4 years' populationDescription='' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01625286	part a schedule 1 560 mg bd	ctg_placebo_onc_2010_2013	2	3|5	12|12	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
NCT01625286	part a schedule 1 640 mg bd	ctg_placebo_onc_2010_2013	2	3|5	8|8	3	Objective Response Rate (ORR) at Week 12	BASIS_EXISTS	timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) at Week 12' timeFrame='RECIST tumour assessments every 12 weeks' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Overall Objective Response Rate' timeFrame='From date of randomisation, assessed every 12 weeks (median total treatment duration AZD5363 = 325.5 days; Placebo = 245 days).' populationDescription='Part A:Full Analysis Set (FAS) Part B: Intent to Treat (ITT)' paramType='NUMBER' unitOfMeasure='% of participants' criteria=RECIST 1.1	CONDITIONAL			
