nct	source_payload	source_line	om_index	group_index	group_id	om_title	group_title	job3_arm_match_quality	job3_registry_arm_label	job3_registry_arm_type	job3_control_status	n_arms_registered	recovered_arm_index	recovered_arm_label	recovered_armGroupType	join_cardinality	field_used	evidence	verdict	control_status_implied	contradiction_or_note
NCT01859741	ctg_results_bor_2010_2013.txt	162	1	2	OG002	Phase 1b: Overall Response (Response Evaluable Population)	P1B: OMP-59R5 10 mg/kg + ETO + CIS	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	N:1 (dose cohort within arm)	armGroups[0].label vs group_title drug token; armGroups[0].interventionNames	"group title names OMP-59R5; the only other registered arm (A1) is the placebo-plus-chemo arm and its label carries no OMP-59R5. A0 interventionNames include ""Drug: Cisplatin or Carboplatin"", covering the CARB cohort."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	1	3	OG003	Phase 1b: Overall Response (Response Evaluable Population)	P1B: OMP-59R5 12.5 mg/kg + ETO + CIS	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	N:1 (dose cohort within arm)	armGroups[0].label vs group_title drug token; armGroups[0].interventionNames	"group title names OMP-59R5; the only other registered arm (A1) is the placebo-plus-chemo arm and its label carries no OMP-59R5. A0 interventionNames include ""Drug: Cisplatin or Carboplatin"", covering the CARB cohort."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	1	4	OG004	Phase 1b: Overall Response (Response Evaluable Population)	P1B: OMP-59R5 15 mg/kg + ETO + CIS	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	N:1 (dose cohort within arm)	armGroups[0].label vs group_title drug token; armGroups[0].interventionNames	"group title names OMP-59R5; the only other registered arm (A1) is the placebo-plus-chemo arm and its label carries no OMP-59R5. A0 interventionNames include ""Drug: Cisplatin or Carboplatin"", covering the CARB cohort."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	1	5	OG005	Phase 1b: Overall Response (Response Evaluable Population)	P1B: OMP-59R5 15mg/kg + ETO + CARB	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	N:1 (dose cohort within arm)	armGroups[0].label vs group_title drug token; armGroups[0].interventionNames	"group title names OMP-59R5; the only other registered arm (A1) is the placebo-plus-chemo arm and its label carries no OMP-59R5. A0 interventionNames include ""Drug: Cisplatin or Carboplatin"", covering the CARB cohort."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	1	0	OG000	Phase 1b: Overall Response (Response Evaluable Population)	P1B: OMP-59R5 5mg/kg + ETO + CIS	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	N:1 (dose cohort within arm)	armGroups[0].label vs group_title drug token; armGroups[0].interventionNames	"group title names OMP-59R5; the only other registered arm (A1) is the placebo-plus-chemo arm and its label carries no OMP-59R5. A0 interventionNames include ""Drug: Cisplatin or Carboplatin"", covering the CARB cohort."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	1	1	OG001	Phase 1b: Overall Response (Response Evaluable Population)	P1B: OMP-59R5 7.5 mg/kg + ETO + CIS	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	N:1 (dose cohort within arm)	armGroups[0].label vs group_title drug token; armGroups[0].interventionNames	"group title names OMP-59R5; the only other registered arm (A1) is the placebo-plus-chemo arm and its label carries no OMP-59R5. A0 interventionNames include ""Drug: Cisplatin or Carboplatin"", covering the CARB cohort."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	3	1	OG001	Phase 2: Best Overall Tumor Response Based on Investigator Assessment (ITT Population)	P2: OMP-59R5 15 mg/kg + ETO and CIS or CARB	NONE			UNKNOWN	2	A0	OMP-59R5 Combination with Etoposide and Cisplatin	EXPERIMENTAL	1:1	armGroups[0].label vs group_title; group description	"group description ""Active Arm: Subjects receive OMP-59R5 15 mg/kg and etoposide ... cisplatin ... or carboplatin"" reproduces A0."	JOIN_RECOVERABLE	not a registered comparator: matched arm type is EXPERIMENTAL	
NCT01859741	ctg_results_bor_2010_2013.txt	162	3	0	OG000	Phase 2: Best Overall Tumor Response Based on Investigator Assessment (ITT Population)	P2: Placebo + CIS or CARB	NONE			CONTROL_PLACEBO_BY_GROUP_TEXT	2	A1	Etoposide and Cisplatin plus Placebo	EXPERIMENTAL	1:1	armGroups[1].label vs group_title + group description	"group description ""Placebo Arm: ... subjects receive placebo and etoposide ... cisplatin ... or carboplatin"" reproduces A1 ""Etoposide and Cisplatin plus Placebo""."	JOIN_RECOVERABLE	placebo-controlled comparator by group text AND by matched arm label	TENSION: the recovered registry armGroupType is EXPERIMENTAL, not PLACEBO_COMPARATOR, and the map carries registry_has_control_arm=False. Job 3 control_status CONTROL_PLACEBO_BY_GROUP_TEXT is supported by the group text and by the arm label, but is NOT corroborated by armGroupType.
NCT01876446	ctg_results_bor_2010_2013.txt	481	3	0	OG000	Best Response	A: Chemo Resistant	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	Treatment (pegylated irinotecan NKTR 102)	EXPERIMENTAL	N:1 (prespecified cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label and .description reproduced verbatim inside group description	"group description embeds ""Treatment (pegylated irinotecan NKTR 102) Patients receive pegylated irinotecan NKTR 102 IV over 90 minutes on day 1..."" word for word from armGroups[0]."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
NCT01876446	ctg_results_bor_2010_2013.txt	481	3	1	OG001	Best Response	B: Chemo Sensitive	NONE			NOT_CONTROL_SINGLE_ARM_TRIAL	1	A0	Treatment (pegylated irinotecan NKTR 102)	EXPERIMENTAL	N:1 (prespecified cohort within sole arm)	n_arms_registered=1 (cardinality) + armGroups[0].label and .description reproduced verbatim inside group description	"group description embeds ""Treatment (pegylated irinotecan NKTR 102) Patients receive pegylated irinotecan NKTR 102 IV over 90 minutes on day 1..."" word for word from armGroups[0]."	JOIN_RECOVERABLE	consistent with Job 3 NOT_CONTROL_SINGLE_ARM_TRIAL; matched arm type EXPERIMENTAL	
