emc-surface-target-landscape.md: 66 edits applied
  before 8931895d65bf6cc7de0d83b8cbd6c644b3eb664de221b56861a2a0940584df6f (99615 bytes)
  after  346fd8ef42cf4d84692b61947f52bd3326bb47636307c0815e83e1711ea3b5e9 (122276 bytes)
    F02-title-frontmatter                      150 ->   177 chars
    F02-title-heading                          143 ->   170 chars
    F02-F11-purpose                            382 ->   618 chars
    F01-F03-scope-frontmatter                  265 ->   442 chars
    F01-scope-box                              264 ->   611 chars
    F02-abstract-background                    151 ->   248 chars
    F02-F03-F05-F07-abstract-methods           674 ->  1327 chars
    F01-F02-F07-abstract-results              1118 ->  1473 chars
    F02-F09-abstract-conclusions               268 ->   524 chars
    F12-background-prior-art                  1013 ->  1398 chars
    F01-methods-normal-prior                   934 ->  2765 chars
    F07-F04-F03-methods-cohorts                899 ->  2862 chars
    F03-methods-value-kinds                     79 ->   152 chars
    F06-methods-controls                       554 ->  1406 chars
    F05-methods-statistics                    1055 ->  2489 chars
    F03-F05-methods-sensitivity-tail           332 ->   480 chars
    F11-methods-verification                   193 ->   708 chars
    F02-results-selectivity-absent              96 ->   253 chars
    F01-results-prior-decisive                 688 ->  1288 chars
    F01-results-classic-fails                  784 ->  1321 chars
    F07-results-cspg4-scan                     277 ->   531 chars
    F02-F07-results-transfer                   598 ->  1188 chars
    F02-F07-results-individual-states          689 ->   906 chars
    F02-results-three-qualifications           553 ->   795 chars
    F02-results-route-panel-none               550 ->   699 chars
    F04-results-alcam-exposure                 675 ->  1166 chars
    F09-results-cd248-cd276-fap                672 ->   821 chars
    F09-results-prame-floor                    295 ->   518 chars
    F10-results-hla-panel                      499 ->   948 chars
    F10-results-route-panel-coverage           607 ->   770 chars
    F09-results-sstr2                          690 ->   804 chars
    F10-results-gd2                            362 ->   392 chars
    F07-results-cspg4-section-head             194 ->   400 chars
    F03-results-cspg4-values                   392 ->   633 chars
    F03-results-cspg4-tail                     280 ->   358 chars
    F09-results-saturation                     739 ->   956 chars
    F09-results-four-explanations              114 ->   270 chars
    F06-results-controls                       101 ->   309 chars
    F06-results-mki67                          231 ->   460 chars
    F06-results-negative-controls              232 ->   386 chars
    F06-results-anchor-licence                 165 ->   226 chars
    F02-discussion-opening                     719 ->   939 chars
    F02-F09-discussion-three-outputs           297 ->   376 chars
    F07-discussion-cspg4-never                  95 ->   113 chars
    F02-discussion-suffice                     179 ->   293 chars
    F09-F12-discussion-modality                570 ->   813 chars
    F02-limitations-opening                    129 ->   287 chars
    F04-limitations-normal-panel               105 ->   352 chars
    F05-limitations-resolution                 361 ->   987 chars
    F07-F11-limitations-tail                   296 ->  1043 chars
    F02-F04-conclusion                         957 ->  1104 chars
    F09-conclusion-tail                        213 ->   292 chars
    F01-table1-caption                         186 ->   481 chars
    F07-table1-caption-notinscan                67 ->   266 chars
    F07-table1-rows-notevaluated               293 ->   394 chars
    F04-table2-sequencing-row                  134 ->   270 chars
    F05-F07-table3-caption                     546 ->   820 chars
    F03-F05-table4-caption                     399 ->   680 chars
    F03-table5-caption                         242 ->   439 chars
    F04-table4-normal-header                   126 ->   181 chars
    F04-table5-normal-header                   117 ->   172 chars
    F08-figure1-omitted                       1090 ->  1109 chars
    F08-figure1-call                            92 ->    92 chars
    F11-data-availability                     1316 ->  3912 chars
    F13-appendix-three-readouts                 61 ->   178 chars
    F13-appendix-reading-of-absence            228 ->   559 chars
emc-surface-target-landscape-si.md: 30 edits applied
  before 92a7c49fc406a391d519912108fe888dc499c635ec29d1c3f834445665cdafd1 (41853 bytes)
  after  cde499d1e5a5e7de1fc17e768c9a59bbd601697d0349804bc049c68d0ede3e64 (53847 bytes)
    SI-F02-purpose                             365 ->   426 chars
    SI-F07-S1-universe                         528 ->  1173 chars
    SI-F07-S2-class                             62 ->   216 chars
    SI-F06-S2-selfchecks                       251 ->   429 chars
    SI-F01-S3-prior                            330 ->   490 chars
    SI-F01-S3-vital-list                       273 ->  1305 chars
    SI-F01-S3-intersection                    1098 ->  1510 chars
    SI-F03-F04-S4-sequencing                   227 ->  1643 chars
    SI-F12-S6-priorart                         321 ->   693 chars
    SI-F12-S6-tail                             179 ->   343 chars
    SI-F05-S7-header                           245 ->   499 chars
    SI-F05-S7-resolution                       501 ->  1488 chars
    SI-F05-S7-sensitivity-label                 50 ->   244 chars
    SI-F01-tableS2-caption                     136 ->   508 chars
    SI-F04-tableS2-alcam-note                  337 ->   745 chars
    SI-F06-tableS4-caption                      41 ->   185 chars
    SI-F06-tableS4-note                        388 ->   936 chars
    SI-F10-tableS5-caption                     352 ->   736 chars
    SI-F10-tableS5-note                        389 ->   505 chars
    SI-F03-tableS6-caption                     172 ->   479 chars
    SI-F06-tableS6-note                        176 ->   252 chars
    SI-F05-tableS7-note                        354 ->   667 chars
    SI-F07-noteS1-L4                           185 ->   324 chars
    SI-F09-noteS1-L5                           338 ->   649 chars
    SI-F09-noteS4-compartment                  300 ->   457 chars
    SI-F04-noteS5-normal-arm                   281 ->   630 chars
    SI-F07-noteS5-comparators                  243 ->   372 chars
    SI-F05-F10-noteS5-correction               348 ->   774 chars
    SI-F07-noteS5-fivegenes                    305 ->   825 chars
    SI-F11-noteS5-reproducibility              306 ->  1526 chars
TOTAL EDITS: 96
