READ  emc-surface-target-landscape.md  132856 B  sha256 ebce0a9db28d3c5a7187a10005fc73b5666232a20a1cd110fa74c59d58bee6e3
READ  emc-surface-target-landscape-si.md  54084 B  sha256 105fc8732dfdb367b6793932b663815f74ae76ea483c1c1daf5a40991794a368
EDIT 01  R5   emc-surface-target-landscape.md     -146 +147 chars
EDIT 02  R5   emc-surface-target-landscape.md     -142 +354 chars
EDIT 03  R5   emc-surface-target-landscape.md     -129 +179 chars
EDIT 04  R1   emc-surface-target-landscape.md     -370 +960 chars
EDIT 05  R1   emc-surface-target-landscape.md     -617 +1184 chars
EDIT 06  R4   emc-surface-target-landscape.md     -178 +258 chars
EDIT 07  R4   emc-surface-target-landscape.md     -491 +693 chars
EDIT 08  R4   emc-surface-target-landscape.md     -209 +357 chars
EDIT 09  R4   emc-surface-target-landscape.md     -266 +579 chars
EDIT 10  R4   emc-surface-target-landscape.md     -193 +430 chars
EDIT 11  R3   emc-surface-target-landscape.md     -403 +528 chars
EDIT 12  R3   emc-surface-target-landscape.md     -42 +53 chars
EDIT 13  R3   emc-surface-target-landscape.md     -326 +384 chars
EDIT 14  R3   emc-surface-target-landscape.md     -335 +611 chars
EDIT 15  R2   emc-surface-target-landscape.md     -160 +362 chars
EDIT 16  R2   emc-surface-target-landscape.md     -295 +423 chars
EDIT 17  R2   emc-surface-target-landscape.md     -196 +371 chars
EDIT 18  R2   emc-surface-target-landscape.md     -655 +963 chars
EDIT 19  R2   emc-surface-target-landscape.md     -509 +727 chars
EDIT 20  R2   emc-surface-target-landscape.md     -436 +587 chars
EDIT 21  R2   emc-surface-target-landscape.md     -219 +312 chars
EDIT 22  R2   emc-surface-target-landscape.md     -233 +407 chars
EDIT 23  R2   emc-surface-target-landscape.md     -124 +123 chars
EDIT 24  R6   emc-surface-target-landscape.md     -159 +381 chars
EDIT 25  R6   emc-surface-target-landscape.md     -119 +549 chars
EDIT 26  R3   emc-surface-target-landscape-si.md  -105 +148 chars
EDIT 27  R6   emc-surface-target-landscape-si.md  -117 +159 chars
EDIT 28  R6   emc-surface-target-landscape-si.md  -96 +138 chars
EDIT 29  R2   emc-surface-target-landscape-si.md  -249 +389 chars
EDIT 30  R2   emc-surface-target-landscape-si.md  -206 +405 chars
EDIT 31  R1   emc-surface-target-landscape-si.md  -47 +72 chars
EDIT 32  R1   emc-surface-target-landscape-si.md  -695 +1115 chars
EDIT 33  R3   emc-surface-target-landscape-si.md  -125 +151 chars
EDIT 34  R3   emc-surface-target-landscape-si.md  -170 +259 chars
EDIT 35  R3   emc-surface-target-landscape-si.md  -172 +303 chars
EDIT 36  R2   emc-surface-target-landscape-si.md  -351 +652 chars
EDIT 37  R3   emc-surface-target-landscape-si.md  -320 +568 chars
EDIT 38  R4   emc-surface-target-landscape-si.md  -338 +649 chars
WROTE emc-surface-target-landscape.md  137848 B  sha256 6b0b6c81e85d737a69eb34d6f716b04464fd970ac7c6689d6e639c3b7fa7484c
WROTE emc-surface-target-landscape-si.md  56124 B  sha256 290212776b2f103d64a270f12936245be00bfc6c97f5678b492589bc3680ad16

TOTAL EDITS: 38
