gene	n_contributing_probes	n_runs_with_state2_cell	convention	convention_name	n_valid_neg	n_valid_pos	statistic	delta_log2cpm	eligible_rank_set_n	tie_rule	pct_units	pct_i_over_n	pct_i_plus_half_over_n	offset_pp_from_actual_n	cell_state	uncomputable_reason
AARS1	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.512388	862	strictly-less count; ties share the minimum rank	percent (0-100)	20.8817	20.9397	0.058005	no_state2_cell	-
AARS1	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.512388	862	strictly-less count; ties share the minimum rank	percent (0-100)	20.8817	20.9397	0.058005	no_state2_cell	-
AARS1	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.512388	862	strictly-less count; ties share the minimum rank	percent (0-100)	20.8817	20.9397	0.058005	no_state2_cell	-
ABHD14B	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.015539	862	strictly-less count; ties share the minimum rank	percent (0-100)	55.6845	55.7425	0.058005	no_state2_cell	-
ABHD14B	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.015539	862	strictly-less count; ties share the minimum rank	percent (0-100)	55.6845	55.7425	0.058005	no_state2_cell	-
ABHD14B	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.015539	862	strictly-less count; ties share the minimum rank	percent (0-100)	55.6845	55.7425	0.058005	no_state2_cell	-
ABHD17A	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.029082	862	strictly-less count; ties share the minimum rank	percent (0-100)	54.4084	54.4664	0.058005	no_state2_cell	-
ABHD17A	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.029082	862	strictly-less count; ties share the minimum rank	percent (0-100)	54.4084	54.4664	0.058005	no_state2_cell	-
ABHD17A	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.029082	862	strictly-less count; ties share the minimum rank	percent (0-100)	54.4084	54.4664	0.058005	no_state2_cell	-
ABI1	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.393757	862	strictly-less count; ties share the minimum rank	percent (0-100)	82.2506	82.3086	0.058005	no_state2_cell	-
ABI1	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.393757	862	strictly-less count; ties share the minimum rank	percent (0-100)	82.2506	82.3086	0.058005	no_state2_cell	-
ABI1	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.393757	862	strictly-less count; ties share the minimum rank	percent (0-100)	82.2506	82.3086	0.058005	no_state2_cell	-
ABLIM2	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-1.193979	862	strictly-less count; ties share the minimum rank	percent (0-100)	3.4803	3.5383	0.058005	no_state2_cell	-
ABLIM2	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-1.193979	862	strictly-less count; ties share the minimum rank	percent (0-100)	3.4803	3.5383	0.058005	no_state2_cell	-
ABLIM2	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-1.193979	862	strictly-less count; ties share the minimum rank	percent (0-100)	3.4803	3.5383	0.058005	no_state2_cell	-
ABR	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.998127	862	strictly-less count; ties share the minimum rank	percent (0-100)	97.2158	97.2738	0.058005	no_state2_cell	-
ABR	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.998127	862	strictly-less count; ties share the minimum rank	percent (0-100)	97.2158	97.2738	0.058005	no_state2_cell	-
ABR	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.998127	862	strictly-less count; ties share the minimum rank	percent (0-100)	97.2158	97.2738	0.058005	no_state2_cell	-
ACACA	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.357978	862	strictly-less count; ties share the minimum rank	percent (0-100)	28.6543	28.7123	0.058005	no_state2_cell	-
ACACA	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.357978	862	strictly-less count; ties share the minimum rank	percent (0-100)	28.6543	28.7123	0.058005	no_state2_cell	-
ACACA	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.357978	862	strictly-less count; ties share the minimum rank	percent (0-100)	28.6543	28.7123	0.058005	no_state2_cell	-
ACAP2	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.361337	862	strictly-less count; ties share the minimum rank	percent (0-100)	28.3063	28.3643	0.058005	no_state2_cell	-
ACAP2	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.361337	862	strictly-less count; ties share the minimum rank	percent (0-100)	28.3063	28.3643	0.058005	no_state2_cell	-
ACAP2	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.361337	862	strictly-less count; ties share the minimum rank	percent (0-100)	28.3063	28.3643	0.058005	no_state2_cell	-
ACAP3	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.323564	862	strictly-less count; ties share the minimum rank	percent (0-100)	30.8585	30.9165	0.058005	no_state2_cell	-
ACAP3	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.323564	862	strictly-less count; ties share the minimum rank	percent (0-100)	30.8585	30.9165	0.058005	no_state2_cell	-
ACAP3	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.323564	862	strictly-less count; ties share the minimum rank	percent (0-100)	30.8585	30.9165	0.058005	no_state2_cell	-
ACOX1	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.306730	862	strictly-less count; ties share the minimum rank	percent (0-100)	32.0186	32.0766	0.058005	no_state2_cell	-
ACOX1	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.306730	862	strictly-less count; ties share the minimum rank	percent (0-100)	32.0186	32.0766	0.058005	no_state2_cell	-
ACOX1	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.306730	862	strictly-less count; ties share the minimum rank	percent (0-100)	32.0186	32.0766	0.058005	no_state2_cell	-
ACTB	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.579479	862	strictly-less count; ties share the minimum rank	percent (0-100)	90.3712	90.4292	0.058005	no_state2_cell	-
ACTB	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.579479	862	strictly-less count; ties share the minimum rank	percent (0-100)	90.3712	90.4292	0.058005	no_state2_cell	-
ACTB	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.579479	862	strictly-less count; ties share the minimum rank	percent (0-100)	90.3712	90.4292	0.058005	no_state2_cell	-
ACTG1	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.094732	862	strictly-less count; ties share the minimum rank	percent (0-100)	49.3039	49.3619	0.058005	no_state2_cell	-
ACTG1	1	0	B	LITERAL(committed default)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.094732	862	strictly-less count; ties share the minimum rank	percent (0-100)	49.3039	49.3619	0.058005	no_state2_cell	-
ACTG1	1	0	C	FLOOR_IMPUTED(|Z|*F)	4	8	mean log2(CPM+1) FISHneg - FISHpos	-0.094732	862	strictly-less count; ties share the minimum rank	percent (0-100)	49.3039	49.3619	0.058005	no_state2_cell	-
ACTR1A	1	0	A	DROP_CENSORED	4	8	mean log2(CPM+1) FISHneg - FISHpos	+0.411455	862	strictly-less count; ties share the minimum rank	percent (0-100)	83.4107	83.4687	0.058005	no_state2_cell	-
