gene	n_probes	n_runs_with_state2_cell	delta_A	delta_B	delta_C	sign_A	sign_B	sign_C	sign_unstable	delta_shift_C_minus_B_log2	delta_shift_A_minus_B_log2	pct_B_i_over_n	pct_C_i_over_n	pct_A_i_over_n	pct_shift_C_minus_B_pp	pct_shift_A_minus_B_pp	rank_n_A	rank_n_B	rank_n_C	invalid_cells
AARS1	1	0	-0.512388	-0.512388	-0.512388	-	-	-	no	+0.000000	+0.000000	20.8817	20.8817	20.8817	+0.0000	+0.0000	862	862	862	-
ABHD14B	1	0	-0.015539	-0.015539	-0.015539	-	-	-	no	+0.000000	+0.000000	55.6845	55.6845	55.6845	+0.0000	+0.0000	862	862	862	-
ABHD17A	1	0	-0.029082	-0.029082	-0.029082	-	-	-	no	+0.000000	+0.000000	54.4084	54.4084	54.4084	+0.0000	+0.0000	862	862	862	-
ABI1	1	0	+0.393757	+0.393757	+0.393757	+	+	+	no	+0.000000	+0.000000	82.2506	82.2506	82.2506	+0.0000	+0.0000	862	862	862	-
ABLIM2	1	0	-1.193979	-1.193979	-1.193979	-	-	-	no	+0.000000	+0.000000	3.4803	3.4803	3.4803	+0.0000	+0.0000	862	862	862	-
ABR	1	0	+0.998127	+0.998127	+0.998127	+	+	+	no	+0.000000	+0.000000	97.2158	97.2158	97.2158	+0.0000	+0.0000	862	862	862	-
ACACA	1	0	-0.357978	-0.357978	-0.357978	-	-	-	no	+0.000000	+0.000000	28.6543	28.6543	28.6543	+0.0000	+0.0000	862	862	862	-
ACAP2	1	0	-0.361337	-0.361337	-0.361337	-	-	-	no	+0.000000	+0.000000	28.3063	28.3063	28.3063	+0.0000	+0.0000	862	862	862	-
ACAP3	1	0	-0.323564	-0.323564	-0.323564	-	-	-	no	+0.000000	+0.000000	30.8585	30.8585	30.8585	+0.0000	+0.0000	862	862	862	-
ACOX1	1	0	-0.306730	-0.306730	-0.306730	-	-	-	no	+0.000000	+0.000000	32.0186	32.0186	32.0186	+0.0000	+0.0000	862	862	862	-
ACTB	1	0	+0.579479	+0.579479	+0.579479	+	+	+	no	+0.000000	+0.000000	90.3712	90.3712	90.3712	+0.0000	+0.0000	862	862	862	-
ACTG1	1	0	-0.094732	-0.094732	-0.094732	-	-	-	no	+0.000000	+0.000000	49.3039	49.3039	49.3039	+0.0000	+0.0000	862	862	862	-
ACTR1A	1	0	+0.411455	+0.411455	+0.411455	+	+	+	no	+0.000000	+0.000000	83.4107	83.4107	83.4107	+0.0000	+0.0000	862	862	862	-
