run_accession	sample_accession	sample_title	study_accession	library_strategy	instrument_model	library_layout
SRR15069411	SAMN20118431	20201216_HJZ064_3AA3_shSCR_ChIP_155_S8_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069421	SAMN20118122	20201217_HJZ074_1BD5_shSCR_ChIP_155_S9_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069424	SAMN20118119	20201217_HJZ077_1BD5_shSCR_ChIP_H3K27ac_S12_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069431	SAMN20118112	20180801_HJZ002_ChIP_MLS1765_shSCR_0706_S8_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069435	SAMN20118108	20180926_HJZ006_INPUT_MLS1765_shDDIT3_0706_S1_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069449	SAMN20118054	20190311_HJZ023_ChIPH3K27ac_MLS1765_shDDIT3_0208_S12_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069451	SAMN20118052	20200728_HJZ048_402_shSCR_D14_ChIP_155_S10_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069452	SAMN20118051	20200728_HJZ049_402_shDDIT3_D14_INPUT_S11_R1_001	PRJNA744758	ChIP-Seq	NextSeq 500	SINGLE
SRR15069460	SAMN20118438	20181015_HJZ012_ATAC_MLS1765_shSCR_0706	PRJNA744758	ATAC-seq	NextSeq 500	PAIRED
SRR15069463	SAMN20118435	20181015_HJZ016_ATAC_MLS1765_shDDIT3_0720	PRJNA744758	ATAC-seq	NextSeq 500	PAIRED
SRR15069474	SAMN20118090	20210106_HJZ081_RNA_1BD5_shDDIT3_techrep1_S3_R1_001	PRJNA744758	RNA-Seq	NextSeq 500	SINGLE
SRR15069487	SAMN20118007	20210322_HJZ094_RNA_hTERT_MSC_CMP12_adipo_techrep1_S8_R1_001	PRJNA744758	RNA-Seq	NextSeq 500	SINGLE
SRR15069488	SAMN20118006	20210322_HJZ095_RNA_AD_MSC_DMSO_base_techrep1_S9_R1_001	PRJNA744758	RNA-Seq	NextSeq 500	SINGLE
SRR15069496	SAMN20118038	20200813_HJZ056_RNA_1765_shSCR_D14_rep1_S13_R1_001	PRJNA744758	RNA-Seq	NextSeq 500	SINGLE
