run_accession	sample_accession	sample_title	study_accession
SRR1777862	SAMN03296010	Human sample from Homo sapiens	PRJNA273791
SRR1777864	SAMN03296011	Human sample from Homo sapiens	PRJNA273791
SRR1777878	SAMN03296014	Human sample from Homo sapiens	PRJNA273791
SRR1777888	SAMN03296020	Human sample from Homo sapiens	PRJNA273791
SRR2046439	SAMN03753997	12h3805	PRJNA273791
SRR2046443	SAMN03753999	13EH08732	PRJNA273791
SRR2046449	SAMN03754002	13a14435	PRJNA273791
SRR2046452	SAMN03754004	KF513	PRJNA273791
SRR1777876	SAMN03296013	Human sample from Homo sapiens	PRJNA273791
SRR1777877	SAMN03296015	Human sample from Homo sapiens	PRJNA273791
SRR2046426	SAMN03753991	07b02057	PRJNA273791
SRR2046430	SAMN03753992	05b03453	PRJNA273791
SRR2046431	SAMN03753993	07b2057	PRJNA273791
SRR2046446	SAMN03754001	mai-18	PRJNA273791
SRR1777846	SAMN03296008	Human sample from Homo sapiens	PRJNA273791
SRR1777884	SAMN03296017	Human sample from Homo sapiens	PRJNA273791
SRR1777895	SAMN03296016	Human sample from Homo sapiens	PRJNA273791
SRR2046425	SAMN03753990	07B05345	PRJNA273791
SRR2046433	SAMN03753994	ml111978	PRJNA273791
SRR1777866	SAMN03296009	Human sample from Homo sapiens	PRJNA273791
SRR1777869	SAMN03296012	Human sample from Homo sapiens	PRJNA273791
SRR1777882	SAMN03296021	Human sample from Homo sapiens	PRJNA273791
SRR1777883	SAMN03296025	Human sample from Homo sapiens	PRJNA273791
SRR1777885	SAMN03296023	Human sample from Homo sapiens	PRJNA273791
SRR1777891	SAMN03296019	Human sample from Homo sapiens	PRJNA273791
SRR1777893	SAMN03296018	Human sample from Homo sapiens	PRJNA273791
SRR2046295	SAMN03753988	05CH01930	PRJNA273791
SRR2046423	SAMN03753989	12A02007	PRJNA273791
SRR2046451	SAMN03754003	14a02929	PRJNA273791
SRR2046435	SAMN03753995	10b01092	PRJNA273791
SRR2046437	SAMN03753996	11a13915	PRJNA273791
SRR2046441	SAMN03753998	13h09112	PRJNA273791
SRR2046444	SAMN03754000	125662	PRJNA273791
SRR1777881	SAMN03296024	Human sample from Homo sapiens	PRJNA273791
SRR1777890	SAMN03296022	Human sample from Homo sapiens	PRJNA273791
