GSM	title	sample_label	specimen_string_from_title	date_string_from_title	group_from_characteristics	characteristics	platform	BioSample	SRA_relation	ENA_runs	ENA_layout	ENA_instrument	processed_RNA_URL
GSM5429866	20190408_MLPS003_RNA_primary_45283-8_S2_R1_001	MLPS003	45283-8	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118041	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379575	SRR15069502	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429866/suppl/GSM5429866_20190408_MLPS003_RNA_primary_45283-8.ReadsPerGene.out.tab.gz
GSM5429867	20190408_MLPS007_RNA_primary_904851-7_S3_R1_001	MLPS007	904851-7	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118040	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379576	SRR15069503	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429867/suppl/GSM5429867_20190408_MLPS007_RNA_primary_904851-7.ReadsPerGene.out.tab.gz
GSM5429868	20190408_MLPS009_RNA_primary_947186-4_S5_R1_001	MLPS009	947186-4	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118039	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379577	SRR15069504	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429868/suppl/GSM5429868_20190408_MLPS009_RNA_primary_947186-4.ReadsPerGene.out.tab.gz
GSM5429869	20190408_MLPS012_RNA_primary_768695-1_S6_R1_001	MLPS012	768695-1	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118033	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379578	SRR15069505	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429869/suppl/GSM5429869_20190408_MLPS012_RNA_primary_768695-1.ReadsPerGene.out.tab.gz
GSM5429870	20190408_MLPS014_RNA_primary_641607-4_S7_R1_001	MLPS014	641607-4	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118032	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379579	SRR15069506	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429870/suppl/GSM5429870_20190408_MLPS014_RNA_primary_641607-4.ReadsPerGene.out.tab.gz
GSM5429871	20190408_MLPS015_RNA_primary_644582-2_S8_R1_001	MLPS015	644582-2	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118031	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379580	SRR15069507	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429871/suppl/GSM5429871_20190408_MLPS015_RNA_primary_644582-2.ReadsPerGene.out.tab.gz
GSM5429872	20190408_MLPS016_RNA_primary_863419-8_S9_R1_001	MLPS016	863419-8	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118030	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379581	SRR15069508	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429872/suppl/GSM5429872_20190408_MLPS016_RNA_primary_863419-8.ReadsPerGene.out.tab.gz
GSM5429873	20190408_MLPS017_RNA_primary_1002476-4_S10_R1_001	MLPS017	1002476-4	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118029	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379582	SRR15069509	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429873/suppl/GSM5429873_20190408_MLPS017_RNA_primary_1002476-4.ReadsPerGene.out.tab.gz
GSM5429874	20190408_MLPS018_RNA_primary_1171931-13_S11_R1_001	MLPS018	1171931-13	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118028	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379583	SRR15069510	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429874/suppl/GSM5429874_20190408_MLPS018_RNA_primary_1171931-13.ReadsPerGene.out.tab.gz
GSM5429875	20190408_MLPS020_RNA_primary_950405-11_S12_R1_001	MLPS020	950405-11	20190408	MLS	cell line: MLPS Primary Tumor; experimental condition: genotype: FUS-DDIT3 fusion primary tumor; chip antibody: N/A	GPL18573	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN20118027	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11379584	SRR15069511	SINGLE	NextSeq 500	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5429nnn/GSM5429875/suppl/GSM5429875_20190408_MLPS020_RNA_primary_950405-11.ReadsPerGene.out.tab.gz
