panel,row,source_label,ordinal_band,legend_text
a,1,Carfilzomib,0,High sensitivity (<10% cell viability)
a,2,Doxorubicin HCL,1,Good sensitivity (11-20% cell viability)
a,3,Etoposide,2,Modern sensitivity (21-40% cell viability)
a,4,SN-38,2,Modern sensitivity (21-40% cell viability)
a,5,Docetaxel,2,Modern sensitivity (21-40% cell viability)
a,6,Gemcitabine HCI,2,Modern sensitivity (21-40% cell viability)
a,7,Mitomycin C,2,Modern sensitivity (21-40% cell viability)
a,8,Fluorouracil,3,Low sensitivity (41-70% cell viability)
a,9,Topotecan HCI,3,Low sensitivity (41-70% cell viability)
a,10,Dacarbazine,4,No sensitivity (>71% cell viability)
a,11,Oxaliplatin,4,No sensitivity (>71% cell viability)
a,12,Pemetrexed Disodium Hydrate,4,No sensitivity (>71% cell viability)
a,13,Bleomycin sulfate,4,No sensitivity (>71% cell viability)
a,14,Vinblastine sulfate,4,No sensitivity (>71% cell viability)
a,15,Fludarabine phosphate,4,No sensitivity (>71% cell viability)
a,16,Paclitaxel,4,No sensitivity (>71% cell viability)
a,17,Vinorelbine Tartrate,4,No sensitivity (>71% cell viability)
b,18,PU-H71,1,Good sensitivity (11-20% cell viability)
b,19,HDM201,1,Good sensitivity (11-20% cell viability)
b,20,Venetoclax,2,Modern sensitivity (21-40% cell viability)
b,21,Derazantinib,2,Modern sensitivity (21-40% cell viability)
b,22,Ceritinib,2,Modern sensitivity (21-40% cell viability)
b,23,AZD5153,2,Modern sensitivity (21-40% cell viability)
b,24,Encorafenib,3,Low sensitivity (41-70% cell viability)
b,25,Dabrafenib,3,Low sensitivity (41-70% cell viability)
b,26,Belinostat,3,Low sensitivity (41-70% cell viability)
b,27,Crizotinib,3,Low sensitivity (41-70% cell viability)
b,28,Abmaciclib,3,Low sensitivity (41-70% cell viability)
b,29,Adavosertib,3,Low sensitivity (41-70% cell viability)
b,30,Ipatasertib,3,Low sensitivity (41-70% cell viability)
b,31,Trametinib,3,Low sensitivity (41-70% cell viability)
b,32,Enasidenib,4,No sensitivity (>71% cell viability)
b,33,Niraparib Tosylate,4,No sensitivity (>71% cell viability)
b,34,Erlotinib HCI,4,No sensitivity (>71% cell viability)
b,35,Sorafenib,4,No sensitivity (>71% cell viability)
b,36,WE-822,4,No sensitivity (>71% cell viability)
b,37,Tazemetostat,4,No sensitivity (>71% cell viability)
b,38,Cabozantinib,4,No sensitivity (>71% cell viability)
b,39,Ponatinib,4,No sensitivity (>71% cell viability)
b,40,Selpercatinib,4,No sensitivity (>71% cell viability)
