model,panel,panel_row,source_drug_label,ordinal_band,ambiguity_flag,source_file
USZ20-EMC1,a,1,Carfilzomib,high,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,2,Doxorubicin HCL,good,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,3,Etoposide,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,4,SN-38,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,5,Docetaxel,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,6,Gemcitabine HCl,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,7,Mitomycin C,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,8,Fluorouracil,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,9,Topotecan HCl,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,10,Dacarbazine,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,11,Oxaliplatin,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,12,Pemetrexed Disodium Hydrate,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,13,Bleomycin sulfate,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,14,Vinblastine sulfate,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,15,Fludarabine phosphate,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,16,Paclitaxel,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,a,17,Vinorelbine tartrate,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,1,PU-H71,good,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,2,HDM201,good,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,3,Venetoclax,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,4,Derazantinib,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,5,Ceritinib,moderate,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,6,AZD5153,moderate,Last yellow row adjacent to orange boundary; independent colour check required.,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,7,Encorafenib,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,8,Dabrafenib,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,9,Belinostat,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,10,Crizotinib,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,11,Abmaciclib,low,Printed spelling; possible Abemaciclib identity requires verification; no silent normalization.,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,12,Adavosertib,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,13,Ipatasertib,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,14,Trametinib,low,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,15,Enasidenib,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,16,Niraparib Tosylate,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,17,Erlotinib HCl,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,18,Sorafenib,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,19,WE-822,none,Printed first letters appear WE; possible VE-822 identity requires verification; no silent normalization.,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,20,Tazemetostat,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,21,Cabozantinib,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,22,Ponatinib,none,,13577_2022_818_Fig5_HTML.jpg
USZ20-EMC1,b,23,Selpercatinib,none,,13577_2022_818_Fig5_HTML.jpg
