pooled 250 MM-GBSA-scored drugs from 13 shard(s)

decoy null: committed 2026-06-30 null (n=38) — NOT frame-matched to this screen; provisional; 95th-pct bar = +13.12 kcal/mol (decoy max +16.46)
=== ABOVE-NULL — decoy-calibrated NR4A3-selective (margin > +13.12) (14) ===
drug                          margin  p_decoy      ΔG3     ΔG1     ΔG2
rep02322                       20.54    0.000   -51.17  -30.63  -19.29
rep00307                       17.59    0.000   -37.78  -19.54  -20.19
rep01696                       17.26    0.000   -38.33  -16.81  -21.07
rep03572                       17.11    0.000   -45.26  -28.15  -17.94
rep05064                       16.27    0.026   -34.27  -11.96   -18.0
rep00066                       15.43    0.026   -33.24  -17.81  -12.37
rep04382                       14.93    0.026   -34.68  -19.11  -19.75
rep04553                       14.86    0.026   -30.67  -15.81  -13.07
rep00928                       14.64    0.026   -37.42  -22.78  -17.71
rep01538                       14.59    0.026   -37.11  -22.36  -22.52
rep03939                       13.73    0.026   -33.97  -20.24  -18.86
rep05063                       13.63    0.026   -42.16  -18.71  -28.53
rep04670                       13.37    0.026   -32.08   -5.75  -18.71
rep00957                       13.15    0.053    -38.8  -25.65  -19.91

p_decoy = fraction of decoys scoring >= this margin (empirical p-value vs the null).
RAW verdict counts below are UNCALIBRATED (kept for reference only).

=== NR4A3-SELECTIVE (RAW verdict — UNCALIBRATED, see above-null list for the real call) (97) ===
drug                             ΔG3     ΔG1     ΔG2 min-margin  verdict
rep02322                      -51.17  -30.63  -19.29      20.54  confirmed_selective
rep00307                      -37.78  -19.54  -20.19      17.59  confirmed_selective
rep01696                      -38.33  -16.81  -21.07      17.26  confirmed_selective
rep03572                      -45.26  -28.15  -17.94      17.11  confirmed_selective
rep05064                      -34.27  -11.96   -18.0      16.27  confirmed_selective
rep04382                      -34.68  -19.11  -19.75      14.93  confirmed_selective
rep04553                      -30.67  -15.81  -13.07      14.86  confirmed_selective
rep00928                      -37.42  -22.78  -17.71      14.64  confirmed_selective
rep03939                      -33.97  -20.24  -18.86      13.73  confirmed_selective
rep04670                      -32.08   -5.75  -18.71      13.37  confirmed_selective
rep00957                       -38.8  -25.65  -19.91      13.15  confirmed_selective
rep05028                      -27.87  -11.89  -14.76      13.11  confirmed_selective
rep04298                      -30.56  -12.25  -17.73      12.83  confirmed_selective
rep00963                      -35.29  -22.54  -21.88      12.75  confirmed_selective
rep04715                      -31.15  -18.56  -17.36      12.59  confirmed_selective
rep04752                      -44.31  -32.04  -10.57      12.27  confirmed_selective
rep05348                      -40.35  -27.56  -28.27      12.08  confirmed_selective
rep05346                      -40.03  -16.69  -28.38      11.65  confirmed_selective
rep01741                      -25.41   -13.9   -13.6      11.51  confirmed_selective
rep04994                      -27.24  -12.73  -15.79      11.45  confirmed_selective
