^SAMPLE = GSM281775
!Sample_title = 293-tet-On-NOR1 without doxycycline
!Sample_geo_accession = GSM281775
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-NOR1 cells, doxycycline untreated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-NOR1 cells were cultured without doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = without doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by NOR1 overexpression, we compared expression profiles between NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281775/suppl/GSM281775.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = NOR1 minus dox
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	264.7	P	0.00039
AFFX-BioB-M_at	304.9	P	0.000044
AFFX-BioB-3_at	225.2	P	0.00006
AFFX-BioC-5_at	756.7	P	0.000052
AFFX-BioC-3_at	997.8	P	0.000044
AFFX-BioDn-5_at	2034.5	P	0.000044
AFFX-BioDn-3_at	3591.3	P	0.00007
AFFX-CreX-5_at	10264.5	P	0.000052
AFFX-CreX-3_at	11204.1	P	0.000044
AFFX-DapX-5_at	517.7	P	0.000044
AFFX-DapX-M_at	1161.4	P	0.000297
AFFX-DapX-3_at	1223.3	P	0.000044
AFFX-LysX-5_at	79.1	P	0.000052
AFFX-LysX-M_at	94.3	P	0.000754
AFFX-LysX-3_at	172.9	P	0.000052
AFFX-PheX-5_at	111.2	P	0.000044
AFFX-PheX-M_at	135	P	0.00007
AFFX-PheX-3_at	129.8	P	0.000052
AFFX-ThrX-5_at	124.4	P	0.00006
AFFX-ThrX-M_at	186.4	P	0.000044
AFFX-ThrX-3_at	271.7	P	0.000044
AFFX-TrpnX-5_at	5.3	A	0.083592
AFFX-TrpnX-M_at	1.1	A	0.910522
AFFX-TrpnX-3_at	1.4	A	0.470238
AFFX-r2-Ec-bioB-5_at	427.2	P	0.000244
AFFX-r2-Ec-bioB-M_at	387.1	P	0.000244
AFFX-r2-Ec-bioB-3_at	328.6	P	0.000244
AFFX-r2-Ec-bioC-5_at	1000.6	P	0.000244
AFFX-r2-Ec-bioC-3_at	1133.5	P	0.000244
AFFX-r2-Ec-bioD-5_at	4517.4	P	0.000244
AFFX-r2-Ec-bioD-3_at	4971.9	P	0.000244
AFFX-r2-P1-cre-5_at	11168.7	P	0.000244
AFFX-r2-P1-cre-3_at	13023.4	P	0.000244
AFFX-r2-Bs-dap-5_at	664.6	P	0.000244
AFFX-r2-Bs-dap-M_at	1240.9	P	0.000244
AFFX-r2-Bs-dap-3_at	1535.6	P	0.000244
AFFX-r2-Bs-lys-5_at	102.1	P	0.000244
AFFX-r2-Bs-lys-M_at	84.1	P	0.000244
AFFX-r2-Bs-lys-3_at	129.4	P	0.000244
AFFX-r2-Bs-phe-5_at	149.1	P	0.000244
AFFX-r2-Bs-phe-M_at	164	P	0.000244
AFFX-r2-Bs-phe-3_at	241.4	P	0.000244
AFFX-r2-Bs-thr-3_s_at	454.7	P	0.001221
AFFX-r2-Bs-thr-M_s_at	221.4	P	0.000244
AFFX-r2-Bs-thr-5_s_at	149.4	P	0.000244
AFFX-HUMISGF3A/M97935_5_at	52.5	P	0.001248
AFFX-HUMISGF3A/M97935_MA_at	167.3	P	0.000972
AFFX-HUMISGF3A/M97935_MB_at	144.9	P	0.000052
AFFX-HUMISGF3A/M97935_3_at	432	P	0.00007
AFFX-HUMRGE/M10098_5_at	2179.7	P	0.000044
AFFX-HUMRGE/M10098_M_at	963.6	P	0.000044
AFFX-HUMRGE/M10098_3_at	894.6	P	0.00006
AFFX-HUMGAPDH/M33197_5_at	11596	P	0.000044
AFFX-HUMGAPDH/M33197_M_at	11364.5	P	0.000044
