^SAMPLE = GSM281776
!Sample_title = 293-tet-On-NOR1 with doxycycline
!Sample_geo_accession = GSM281776
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-NOR1 cells, doxycycline treated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-NOR1 cells were cultured with doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = with doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by NOR1 overexpression, we compared expression profiles between NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281776/suppl/GSM281776.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = NOR1 plus doxycycline
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	257.9	P	0.00039
AFFX-BioB-M_at	293	P	0.000044
AFFX-BioB-3_at	213.9	P	0.000052
AFFX-BioC-5_at	789.8	P	0.000052
AFFX-BioC-3_at	1035.3	P	0.000044
AFFX-BioDn-5_at	1938.5	P	0.000044
AFFX-BioDn-3_at	3603.9	P	0.00007
AFFX-CreX-5_at	10167.5	P	0.000052
AFFX-CreX-3_at	11369	P	0.000044
AFFX-DapX-5_at	507.9	P	0.000044
AFFX-DapX-M_at	1058.1	P	0.000297
AFFX-DapX-3_at	1117.2	P	0.000044
AFFX-LysX-5_at	58.7	P	0.000195
AFFX-LysX-M_at	77.2	P	0.009337
AFFX-LysX-3_at	149.5	P	0.000081
AFFX-PheX-5_at	83.2	P	0.00006
AFFX-PheX-M_at	144.8	P	0.00011
AFFX-PheX-3_at	116.5	P	0.000081
AFFX-ThrX-5_at	115.3	P	0.000081
AFFX-ThrX-M_at	151.6	P	0.000044
AFFX-ThrX-3_at	254.8	P	0.000052
AFFX-TrpnX-5_at	7	M	0.058444
AFFX-TrpnX-M_at	0.7	A	0.953533
AFFX-TrpnX-3_at	3.3	A	0.48511
AFFX-r2-Ec-bioB-5_at	388.5	P	0.000244
AFFX-r2-Ec-bioB-M_at	388.2	P	0.000244
AFFX-r2-Ec-bioB-3_at	317.7	P	0.000244
AFFX-r2-Ec-bioC-5_at	928.4	P	0.000244
AFFX-r2-Ec-bioC-3_at	1100.4	P	0.000244
AFFX-r2-Ec-bioD-5_at	4519.2	P	0.000244
AFFX-r2-Ec-bioD-3_at	5019.9	P	0.000244
AFFX-r2-P1-cre-5_at	11179.8	P	0.000244
AFFX-r2-P1-cre-3_at	14446.9	P	0.000244
AFFX-r2-Bs-dap-5_at	699.1	P	0.000244
AFFX-r2-Bs-dap-M_at	1124.9	P	0.000244
AFFX-r2-Bs-dap-3_at	1494.2	P	0.000244
AFFX-r2-Bs-lys-5_at	84.7	P	0.000244
AFFX-r2-Bs-lys-M_at	81.3	P	0.000244
AFFX-r2-Bs-lys-3_at	90.6	P	0.000244
AFFX-r2-Bs-phe-5_at	124.3	P	0.000244
AFFX-r2-Bs-phe-M_at	130.5	P	0.000244
AFFX-r2-Bs-phe-3_at	172.5	P	0.000244
AFFX-r2-Bs-thr-3_s_at	391.6	P	0.001953
AFFX-r2-Bs-thr-M_s_at	186.7	P	0.000244
AFFX-r2-Bs-thr-5_s_at	146.2	P	0.000244
AFFX-HUMISGF3A/M97935_5_at	77.4	P	0.000662
AFFX-HUMISGF3A/M97935_MA_at	156.8	P	0.000581
AFFX-HUMISGF3A/M97935_MB_at	199.1	P	0.000044
AFFX-HUMISGF3A/M97935_3_at	526.8	P	0.000052
AFFX-HUMRGE/M10098_5_at	1750.4	P	0.000044
AFFX-HUMRGE/M10098_M_at	848.8	P	0.000044
AFFX-HUMRGE/M10098_3_at	781.6	P	0.00007
AFFX-HUMGAPDH/M33197_5_at	11353.4	P	0.000044
AFFX-HUMGAPDH/M33197_M_at	10496.1	P	0.000044
AFFX-HUMGAPDH/M33197_3_at	12329.6	P	0.000044
AFFX-HSAC07/X00351_5_at	6695.8	P	0.000044
AFFX-HSAC07/X00351_M_at	7616.5	P	0.000044
AFFX-HSAC07/X00351_3_at	10620.2	P	0.000044
AFFX-M27830_5_at	1403.8	P	0.000044
AFFX-M27830_M_at	2234.4	P	0.001796
AFFX-M27830_3_at	10.9	A	0.455413
AFFX-hum_alu_at	15348.6	P	0
1007_s_at	451.1	P	0.001141
1053_at	1234.4	P	0.000219
117_at	35.4	P	0.024711
121_at	190.2	P	0.009985
1255_g_at	13.7	P	0.024692
1294_at	32.8	A	0.189687
1316_at	29	P	0.011447
1320_at	37.4	A	0.107301
1405_i_at	0.8	A	0.864026
1431_at	17.6	P	0.031336
1438_at	15.3	A	0.284747
1487_at	253.4	P	0.009985
1494_f_at	41.8	P	0.031336
1598_g_at	193.3	P	0.02786
160020_at	55.7	P	0.039365
1729_at	70	P	0.001602
1773_at	166.1	P	0.017001
177_at	28.4	P	0.001354
179_at	102.5	A	0.098054
1861_at	98.9	P	0.000562
