gene	SRR35940646:Si19	SRR35940647:Si17	SRR35940648:Si16	SRR35940649:Si15	SRR35940650:Si14	SRR35940651:Si10	SRR35940652:Si09	SRR35940653:Si05	SRR35940654:Si22	SRR35940655:Si20	SRR35940656:Si02	SRR35940657:Si01
AARS1	491	987	359	435	683	61	107	888	471	448	446	138
ABHD14B	176	795	374	287	1048	215	62	213	926	1682	329	266
ABHD17A	103	399	252	92	516	111	87	121	257	339	97	288
ABI1	228	640	1771	534	799	178	104	236	559	881	294	354
ABLIM2	206	351	29	270	217	77	145	268	406	1624	246	124
ABR	225	540	822	407	633	99	53	47	708	456	179	643
ACACA	116	408	225	149	305	163	84	75	279	671	86	186
ACAP2	222	344	977	227	188	112	101	286	520	663	72	59
ACAP3	168	279	1194	235	416	101	64	438	184	1600	192	98
ACOX1	119	457	355	219	465	116	87	59	428	370	64	108
ACTB	243	633	1546	399	639	187	120	138	464	517	256	481
ACTG1	625	1981	2130	913	1839	645	270	500	1115	1358	429	835
ACTR1A	76	317	487	187	410	137	58	78	850	534	131	101
ACTR3	421	795	2850	331	633	219	106	426	676	1430	299	436
ADCY3	360	462	451	236	474	31	98	58	511	695	75	41
ADPGK	382	823	1784	302	737	226	112	139	484	1095	235	371
AEBP2	724	1137	1591	811	1966	317	124	374	1456	5136	1001	189
AFDN	423	690	378	347	560	33	63	224	362	407	88	94
AFG2A	421	621	436	564	465	40	50	417	306	926	346	145
AGO1	197	690	231	572	389	86	75	81	464	752	314	215
AGO4	334	591	435	146	447	284	61	200	240	483	189	359
AHNAK	1012	936	4497	1651	3054	756	484	1007	815	543	892	1659
AHNAK2	129	460	193	160	81	116	60	219	525	474	98	218
AIRIM	23	471	111	228	354	171	104	121	577	307	221	289
AKAP13	395	998	2503	1187	1277	388	121	264	1001	1220	356	448
AKAP9	436	1759	1269	1067	983	336	139	294	1182	1727	535	428
ALDH1L2	138	570	70	52	250	48	67	44	393	324	85	115
ALDOA	1849	7373	4581	3308	8785	1121	652	905	7813	4776	3988	3439
AMY2A	635	592	333	838	363	153	193	93	458	994	665	93
ANAPC16	68	48	115	41	210	183	112	297	194	190	252	43
ANAPC5	438	1172	689	341	805	250	109	165	1420	3227	443	67
ANGPTL2	290	108	685	81	274	55	41	89	69	60	53	219
ANKFY1	167	595	957	289	638	147	75	112	494	1606	106	210
ANKRD10	1034	1759	1330	1301	2041	276	313	703	2821	3201	1465	572
ANKRD11	367	1622	1517	564	1237	340	143	179	1073	1398	866	466
ANKRD36	145	662	276	145	459	56	97	343	300	493	240	60
ANP32E	233	1384	403	336	903	56	135	85	517	641	230	171
ANXA11	50	296	1192	400	679	105	88	138	603	372	97	157
ANXA5	158	608	430	86	167	69	61	100	365	1580	66	80
APAF1	140	372	421	167	73	61	73	129	301	764	91	48
APH1A	599	4196	1606	518	2365	201	116	233	1712	1699	736	1139
API5	350	1268	1040	541	749	156	111	110	1451	1439	103	461
APOL6	266	158	738	188	559	46	75	47	362	469	110	176
APP	120	902	575	331	650	190	99	710	2030	404	358	429
APRT	130	1111	369	593	810	133	77	161	1575	762	388	292
ARAP1	277	422	1014	437	594	139	63	169	510	1080	334	303
ARFGAP1	99	275	100	176	31	66	32	136	89	354	59	61
ARHGAP21	485	570	1517	899	800	514	225	848	506	572	432	354
ARIH2	74	584	905	337	572	191	97	121	372	1506	167	51
ARMC8	89	381	511	271	240	124	69	228	257	463	412	320
ASAP1	572	1268	3496	632	1259	260	176	393	1214	1859	497	425
ASB1	42	170	363	167	206	38	37	77	50	241	110	23
ASH2L	928	1973	977	1279	1870	562	208	717	1743	1932	786	398
ATF6B	136	259	604	380	512	146	134	400	460	383	251	329
ATG16L2	189	264	373	153	348	103	93	191	166	430	114	539
ATP2A2	261	1718	456	345	850	56	94	132	1613	1914	190	141
ATP5F1A	1320	6445	1055	2118	3672	273	279	432	3263	4152	745	67
ATP5F1B	2068	10008	933	2624	7367	133	551	401	15667	11557	1547	903
ATP5F1C	72	466	221	138	288	22	46	32	706	445	43	104
ATP5PO	320	2013	445	489	858	79	37	99	1126	869	236	185
ATP6AP2	257	469	1554	458	862	123	50	61	637	559	129	293
ATP6V1B2	80	122	169	57	32	38	82	44	199	188	206	228
ATP6V1G1	80	451	318	149	320	20	21	108	441	366	98	176
ATP6V1G2-DDX39B	437	649	597	184	514	134	161	183	672	894	215	154
ATRX	278	641	483	418	643	238	56	278	560	1085	244	56
AUP1	640	3765	3783	1166	2828	148	179	427	1371	3019	791	849
BAX	302	1599	2160	124	1000	357	197	197	1732	1981	409	133
BAZ2A	612	939	866	1039	1422	314	196	84	1899	2484	258	319
BCAP31	203	1336	1563	536	1204	215	42	89	1055	575	215	293
BCAR1	169	796	820	648	994	137	86	117	588	638	595	224
BCAT1	1156	3949	964	1903	3006	573	491	1034	4112	886	411	550
BCKDHB	97	1073	239	470	1172	153	214	180	1436	1242	388	66
BCL6	97	221	481	245	321	36	68	121	1345	957	189	165
BCL7C	613	2336	2362	729	1642	163	227	271	804	1229	174	407
BCL9L	370	1139	1088	452	1177	420	252	862	724	507	588	716
BEX3	701	1535	1791	962	1737	143	168	259	820	2203	149	361
BGN	777	5241	247	3318	8615	246	352	600	7077	639	290	1201
BHLHE40	304	291	1329	117	298	369	137	189	178	666	424	932
BIVM-ERCC5	236	409	435	197	395	115	62	146	632	718	405	125
BMERB1	226	217	449	476	755	41	25	66	544	201	133	198
BOC	921	538	188	243	290	1357	66	132	265	511	69	307
BRCC3	50	122	288	97	315	126	64	56	86	388	155	95
BRD1	205	966	458	396	504	127	73	470	674	761	266	210
BRD9	200	1144	482	587	642	71	47	89	516	1341	73	197
