original_diagnosis,source_class,n,reported_positive_n,reported_zero_n,median_TPM,q1_TPM,q3_TPM,min_TPM,max_TPM,A_EMC_vs_type,reference_n,sparse_n_under_5
Angiofibroma of soft tissue,Benign,2,2,0,10.655000000000001,7.5925,13.717500000000001,4.53,16.78,0.8888888888888888,0,True
Angiolipoma,Benign,3,3,0,24.56,20.055,25.205,15.55,25.85,0.7777777777777778,0,True
Angiosarcoma,Malignant,8,8,0,22.475,15.212499999999999,38.855000000000004,0.74,88.9,0.7361111111111112,8,False
Atypical lipomatous tumor,Intermediate,38,38,0,30.075000000000003,17.470000000000002,38.485,8.86,117.28,0.7368421052631579,0,False
Benign fibrous histiocytoma,Benign,5,5,0,12.59,9.47,13.04,7.68,13.55,0.8888888888888888,0,False
CD34-postive superficial fibroblastic tumor,Intermediate,7,7,0,6.03,3.165,7.76,2.35,9.06,1.0,0,False
Clear cell sarcoma,Malignant,3,3,0,18.54,9.43,21.22,0.32,23.9,0.8518518518518519,3,True
Cryptic liposarcoma,Malignant,22,22,0,6.09,4.7075000000000005,13.395,1.03,73.63,0.9040404040404041,22,False
Dedifferentiated liposarcoma,Malignant,20,20,0,13.73,8.105,21.445,4.35,68.43,0.8222222222222222,20,False
Dermatofibrosarcoma protuberans,Intermediate,10,10,0,59.095,40.120000000000005,76.16,16.53,83.15,0.4666666666666667,0,False
Desmoid,Benign,11,11,0,7.11,5.095000000000001,7.84,3.48,10.04,1.0,0,False
Desmoplastic fibroblastoma,Benign,2,2,0,24.68,18.71,30.65,12.74,36.62,0.8333333333333334,0,True
Desmoplastic small round cell tumor,Malignant,7,7,0,3.15,2.1,4.82,0.82,5.71,1.0,7,False
Endometrial stromal sarcoma,Malignant,2,2,0,4.8149999999999995,4.3825,5.2475,3.95,5.68,1.0,2,True
Epithelioid sarcoma,Malignant,6,6,0,6.359999999999999,3.7175,9.625,2.53,12.28,0.9814814814814815,6,False
Ewing sarcoma,Malignant,3,3,0,5.34,4.67,6.76,4.0,8.18,1.0,3,True
Extraskeletal myxoid chondrosarcoma,Malignant,9,9,0,54.18,41.41,63.98,10.14,207.08,,0,False
GIST,Intermediate,14,14,0,59.239999999999995,24.0975,85.8125,5.68,158.53,0.5,0,False
Granular cell tumor,Intermediate,2,2,0,2.815,2.6825,2.9475,2.55,3.08,1.0,0,True
Hamartomatous fibroma,Benign,2,2,0,28.58,22.975,34.185,17.37,39.79,0.7777777777777778,0,True
Hibernoma,Benign,16,16,0,10.33,6.5024999999999995,13.142499999999998,2.84,20.12,0.9097222222222222,0,False
Inflammatory rhabdomyoblastic tumor,Malignant,5,5,0,1.94,1.62,2.18,1.61,13.86,0.9555555555555556,5,False
LMS,Malignant,39,39,0,18.98,6.85,35.209999999999994,1.6,95.0,0.7749287749287749,39,False
Lipoblastoma,Benign,7,7,0,23.42,15.575,55.519999999999996,10.18,88.56,0.6349206349206349,0,False
Lipoma,Benign,20,20,0,43.97,25.145,67.62,14.39,139.33,0.5388888888888889,0,False
"Lipoma, spindle cell/pleomorphic",Benign,10,10,0,24.215,13.3375,30.6575,7.81,92.83,0.7111111111111111,0,False
Low-grade fibromyxoid sarcoma,Malignant,13,13,0,6.11,5.26,8.5,1.0,14.33,0.9658119658119658,13,False
MPNST,Malignant,18,18,0,27.795,10.8725,50.1225,2.56,370.84,0.7222222222222222,18,False
Melanoma,Malignant,5,5,0,22.16,19.59,71.77,13.87,402.11,0.5111111111111111,0,False
Myoepithelial tumor,Malignant,2,2,0,4.375,3.7575000000000003,4.992500000000001,3.14,5.61,1.0,2,True
Myxofibrosarcoma,Malignant,60,60,0,12.36,5.6975,21.970000000000002,0.88,62.67,0.8537037037037037,60,False
Myxoid liposarcoma,Malignant,14,14,0,19.685000000000002,13.06,25.794999999999998,6.82,43.67,0.7857142857142857,14,False
Myxoid pleomorphic liposarcoma,Malignant,3,3,0,14.68,13.85,56.09,13.02,97.5,0.5555555555555556,3,True
Myxoinflammatory fibroblastic sarcoma/hemosiderotic fibrolipomatous tumor,Malignant,7,7,0,7.92,5.265000000000001,15.05,1.93,23.81,0.9365079365079365,7,False
Myxoma Class 1,Benign,5,5,0,12.01,10.29,12.17,7.02,46.65,0.8666666666666667,0,False
Myxoma Class 2,Benign,4,4,0,11.105,7.695,15.855,1.62,25.95,0.9166666666666666,0,True
Neurofibroma,Benign,4,4,0,66.26,30.57,103.7275,30.09,109.54,0.4444444444444444,0,True
"Neurofibroma, atypical",Benign,1,1,0,119.11,119.11,119.11,119.11,119.11,0.1111111111111111,0,True
"Neurofibroma, diffuse",Benign,1,1,0,281.63,281.63,281.63,281.63,281.63,0.0,0,True
"Neurofibroma, plexiform",Benign,2,2,0,78.35000000000001,42.735,113.965,7.12,149.58,0.5555555555555556,0,True
Nodular fasciitis,Benign,3,3,0,29.14,23.79,32.675,18.44,36.21,0.7777777777777778,0,True
Ossifying fibromyxoid tumor,Intermediate,8,8,0,8.235,5.41,14.0275,4.1,22.14,0.9166666666666666,0,False
Osteosarcoma,Malignant,2,2,0,18.465,18.2275,18.7025,17.99,18.94,0.7777777777777778,2,True
Pleomorphic hyalinizing angiectatic tumor,Intermediate,2,2,0,14.235000000000001,8.2225,20.247500000000002,2.21,26.26,0.8888888888888888,0,True
Pleomorphic liposarcoma,Malignant,8,8,0,22.025000000000002,8.309999999999999,66.5675,4.97,132.41,0.6805555555555556,8,False
Pseudomyogenic hemangioendothelioma,Intermediate,4,4,0,23.95,18.9975,32.3975,17.43,44.45,0.75,0,True
"Rhabdomyosarcoma, NOS",Malignant,1,1,0,18.72,18.72,18.72,18.72,18.72,0.7777777777777778,1,True
"Rhabdomyosarcoma, alveolar",Malignant,7,7,0,8.47,4.3950000000000005,9.879999999999999,2.64,12.35,0.9682539682539683,7,False
"Rhabdomyosarcoma, embryonal",Malignant,11,11,0,9.28,6.369999999999999,13.145,3.46,23.74,0.9292929292929293,11,False
"Rhabdomyosarcoma, sclerosing",Malignant,2,2,0,27.669999999999998,21.16,34.18,14.65,40.69,0.7777777777777778,2,True
Schwannoma,Benign,13,13,0,31.75,26.34,45.62,17.21,53.74,0.7094017094017094,0,False
Sclerosing epithelioid fibrosarcoma,Malignant,8,8,0,7.289999999999999,6.0775,10.84,3.39,26.04,0.9444444444444444,8,False
Sclerosing epithelioid fibrosarcoma-like,Malignant,4,4,0,3.045,2.705,4.029999999999999,2.45,6.22,1.0,4,True
Solitary fibrous tumor,Intermediate,11,11,0,4.02,2.365,21.745,0.46,57.76,0.8787878787878788,0,False
Spindle cell tumor NOS,Intermediate;Malignant,12,12,0,15.065,11.745000000000001,26.435,3.5,95.17,0.7407407407407407,0,False
Synovial chondromatosis,Benign,6,6,0,100.65,59.989999999999995,195.5575,25.54,275.01,0.2777777777777778,0,False
Synovial sarcoma,Malignant,18,18,0,8.85,5.745,13.3125,2.2,20.81,0.9320987654320988,18,False
Tenosynovial giant cell tumor,Benign,12,12,0,18.195,12.912500000000001,20.002499999999998,6.27,37.41,0.8240740740740741,0,False
