peak	hg18_coords	classification	gene_id	gene_symbol	peak_exon_gene_symbol	differentially_expressed_cancer_type
1	chr1:554492-554531_+	ref_known_Gencode_nc	AK026901			
2	chr1:555246-555402_+	ref_known_Gencode_nc	uc009vjl.1			
3	chr1:555708-555838_+	ref_known_Gencode_nc	uc009vjl.1			
4	chr1:555859-555905_+	ref_known_Gencode_nc	uc009vjl.1			HN_MLS_
5	chr1:556212-556252_+	downstream	AK026901			
6	chr1:556615-556689_+	ref_known_Gencode_nc	uc001aaz.1			MLS_
7	chr1:558257-558325_+	ref_known_Gencode_nc	uc001aba.1			
8	chr1:558560-558614_+	ref_known_Gencode_nc	uc001aba.1			
9	chr1:558846-558933_+	ref_known_Gencode_nc	CR610982			
10	chr1:559067-559132_+	all_mrna	CR610982			
11	chr1:559447-559596_+	all_mrna	uc001abc.1			
12	chr1:559767-559860_+	ref_known_Gencode_nc	uc001abc.1			
13	chr1:830738-831000_+	Rinn				ESS_EWS_
15	chr1:841843-842083_+	downstream	uc001abu.1			EWS_
18	chr1:857106-857333_+	intron	NM_152486	SAMD11		SS_
19	chr1:865207-865409_+	intron	NM_152486	SAMD11		
20	chr1:869147-869811_+	coding	NM_152486	SAMD11	SAMD11	GIST_
21	chr1:890570-890938_+	coding	NM_198317	KLHL17	KLHL17	ESS_
23	chr1:900112-900352_+	coding	NM_032129	PLEKHN1	PLEKHN1	Bladder_
26	chr1:926060-926295_+	intron	BX648399			GIST_
27	chr1:939220-939760_+	coding	NM_005101	ISG15	ISG15	HN_NPC_
28	chr1:980045-980957_+	coding	NM_198576	AGRN	AGRN	
29	chr1:980992-981099_+	coding	NM_198576	AGRN	AGRN	Skin_
30	chr1:981123-981354_+	coding	NM_198576	AGRN	AGRN	
33	chr1:1095129-1095561_+	downstream	NR_029957	MIR429		Bladder_NPC_GIST_
34	chr1:1122966-1123134_+	coding	NM_001130045	TTLL10	TTLL10	NPC_
39	chr1:1158673-1158984_+	coding	NM_080605	B3GALT6	B3GALT6	NPC_
40	chr1:1159136-1159391_+	coding	NM_080605	B3GALT6	B3GALT6	NPC_
41	chr1:1159762-1160260_+	coding	NM_080605	B3GALT6	B3GALT6	
42	chr1:1179148-1179331_+	all_mrna	AF116687			
44	chr1:1216735-1217246_+	coding	NM_002978	SCNN1D	SCNN1D	EWS_
47	chr1:1236577-1237146_+	coding	NM_153339	PUSL1	PUSL1	
48	chr1:1241153-1241298_+	downstream	uc009vjx.1	PUSL1		
49	chr1:1253116-1254132_+	coding	NM_001029885	GLTPD1	GLTPD1	HN_
50	chr1:1260315-1260548_+	all_mrna	AK122959	TAS1R3	TAS1R3	
54	chr1:1283006-1283172_+	intron				
