peak	hg18_coords	classification	gene_id	gene_symbol	peak_exon_gene_symbol	differentially_expressed_cancer_type	Breast_STT5463	Breast_STT5474	Breast_STT5477	Breast_STT5572	Breast_STT5575	Breast_STT5581	HNSCC_STT5542	HNSCC_STT5535	HNSCC_STT5544	HNSCC_STT5545	HNSCC_STT5546	Lung_SCC_STT5547	Lung_SCC_STT5548	PUC_STT5549	PUC_STT5550	NPC_STT5551	NPC_STT5552	NPC_STT5553	Lung_STT5554	Lung_STT5555	Lung_STT5556	Colon_STT5557	Colon_STT5558	Colon_STT5559	Prostate_STT5560	Prostate_STT5561	Prostate_STT5562	Skin_SCC_STT5563	Skin_SCC_STT5564	Skin_SCC_STT5565	ESS_STT5519	ESS_STT5520_rep1	ESS_STT5521	ESS_STT5520_rep2	ESS_STT5543	EWS_STT5522	EWS_STT5523	EWS_STT5598	EWS_STT5600	GIST_STT111	GIST_STT1823	GIST_STT5593	GIST_STT5594	GIST_STT5597	GIST_STT5599	GIST_STT2145	LMS_STT516_rep1	LMS_STT1220	LMS_STT5528	LMS_STT516_rep2	MLPS_STT5530	MLPS_STT5531	MLPS_STT5590	MLPS_STT5591	MLPS_STT5595	MLPS_STT5596	DDLPS_STT5517	DDLPS_STT5518	DDLPS_STT5534	EMC_STT5525	EMC_STT5526	EMC_STT5527	EMC_STT5592	SS_STT3705	SS_STT5532	SS_STT5533	STT5688_Fetal_normal_lung	STT5601_Adult_normal_lung	STT5603_Adult_normal_lung	STT5609_Adult_normal_uterus	STT5610_Adult_normal_colon	STT5680_Fetal_normal_bowel	STT5681_Fetal_normal_bowel	STT5682_Fetal_normal_bowel	STT5683_Fetal_normal_kidney	STT5684_Fetal_normal_kidney	STT5685_Fetal_normal_kidney	STT5686_Fetal_normal_lung	STT5687_Fetal_normal_lung	STT5588_Fetal_normal_lung	STT5692_Adult_normal_colon	STT5693_Adult_normal_colon	STT5694_Adult_normal_kidney	STT5695_Adult_normal_kidney	STT5696_Adult_normal_kidney	STT5697_Adult_normal_lung	STT5698_Adult_normal_lung	STT5699_Adult_normal_lung	STT5425_Adult_normal_breast	STT5451_Adult_normal_breast	STT5510_Adult_normal_breast	STT5620_Adult_normal_breast	STT5761_Adult_normal_breast
19547	chr15:71780942-71781113_+	intron	NM_025240	CD276		NPC_	0.168951569	0.201203116	0.329080119	0.214058699	0.153404255	0.08349555	0.223410636	0.328848441	0.291271498	0.408949718	0.128674407	0.284376412	0.188019235	0.219075938	0.251528252	0.298351852	0.301375168	0.764667748	0.128752077	0.14758356	0.178008499	0.231947577	0.269703092	0.323608009	0.209888838	0.219547567	0.191132108	0.264926287	0.094306601	0.184816178	0.263549731	0	0	0.327353914	0.387585754	0.175763885	0.124069388	0.181091807	0.181083664	0.13652005	0	0	0.257626717	0.093469652	0.33356507	0.231198945	0	0.147636853	0.349854158	0.265764263	0.237538716	0.430015762	0.247035824	0.217399858	0.185777738	0.27525939	0.155779159	0.565854321	0.155951467	0.296592303	0.283350253	0.288033409	0.197541798	0.32388177	0.313094558	0	0.588455329	0	0	0	0	0.480257542	0.268589144	0.510377712	0.355567153	0.256934822	0.348611002	0.231572733	0.178252571	0.155845639	0.189556255	0.091302685	0.297729151	0	0.220983665	0	0.095456246	0.061201645	0.298725451	0.151013123	0.100157671	0.147574597	0
19548	chr15:71792325-71792578_+	coding	NM_025240	CD276	CD276		0.2389336	0.224951923	0.268692792	0.33845652	0.187881074	0.28923707	0.223410636	0	0	0.333906046	0.363946183	0.220277021	0.188019235	0.346389472	0.125764126	0	0.301375168	0	0.352602086	0.330006872	0.503484066	0.299443035	0.269703092	0.186835171	0.363538132	0.310487147	0.286698162	0.441543811	0.400109022	0.337426633	0	0.122743887	0.196291344	0.133641676	0.258390502	0.175763885	0.214894483	0.25610249	0.256090973	0.193068506	0	0	0.345642511	0.186939304	0.281913938	0	0.163578653	0.33012604	0.534411053	0	0.335930474	0.192308895	0.2139393	0.188273799	0	0.27525939	0.311558319	0.178938848	0.220548679	0.419444858	0.163592345	0.203670377	0.197541798	0.428455309	0.180765228	0	0.151938513	0.307856973	0.203870451	0.235283477	0.165966009	0.540512031	0.449435601	0.279545386	0.224880413	0.434299116	0.420440688	0.453393944	0.30874251	0.220399016	0.109440355	0.18260537	0.163072972	0	0	0.14551484	0.134995518	0.356863847	0.188930564	0.151013123	0.300473012	0.233335926	0.203024295
19549	chr15:71792774-71793887_+	coding	NM_025240	CD276	CD276	GIST_	1.453376352	2.157663043	1.267421365	1.45181673	1.946481784	1.676161469	1.453600551	1.708746624	1.235760307	1.7457039	1.968339938	1.351910027	1.444203149	1.469606067	1.428405888	0.596703705	1.127642624	1.32444339	1.092497605	1.692391587	1.621734603	1.404512329	1.705752126	1.065124354	1.871427075	1.833583678	1.464999868	2.358025853	2.376451492	1.843535589	1.658479739	1.853392045	1.539354717	1.388845034	1.603270905	1.125437992	1.504261383	1.187498393	0.914427679	1.266034858	0.858519837	1.442979652	1.353460046	0.934696519	1.464867794	0.731115259	1.65206341	4.21993545	2.189501995	1.342043741	1.279185135	1.40002989	1.755519375	2.082391066	2.252435367	2.419309259	1.603844609	3.284880591	1.96647317	2.274304128	1.31892365	0.955298745	1.842547225	1.682939045	1.388484059	0.889926709	1.341884609	0.978922785	1.007045743	1.495485172	0.935170966	1.68204448	1.390451525	1.407014252	1.231720749	1.893065959	1.774463933	1.89078345	1.635655537	2.043896392	1.077862491	0.948845337	0.665742621	0.472544397	0.494134496	0.863946497	0.804328625	2.650108959	1.288334682	1.517663099	1.881791785	1.596263331	1.835658508
19943	chr16:758375-758553_+	coding	NM_005823	MSLN	MSLN		0.168951569	0	0	0	0	0	0	0.232530963	0.291271498	0	0.31518664	0.336478708	0.188019235	0	0	0	0	0.44148113	0.455207335	0.912753908	0	0.267829992	0.170575213	0.132112417	0.104944419	0	0	0	0.163343824	0	0	0	0	0	0	0	0.124069388	0	0	0	0	0	0.230428341	0.186939304	0	0	0.163578653	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163592345	0	0	0	0	0.229778088	0	0.84621788	0.091173638	0.10522197	0.11735569	0.214777702	0.120116717	0.161395604	0.159014465	0.137337439	0.148648231	0.13369858	0.138073848	0.155845639	0	0.223644991	0.094150224	0	0	0.493464833	0.278300389	0.183604935	0	0	0	0.104350998	0
19944	chr16:758639-758842_+	coding	NM_005823	MSLN	MSLN	NPC_LungAdeno_	0.844757846	0.461014255	0.600815348	0.370760542	0.391105645	0.144618535	0.288421891	0.986545324	1.08006362	0.681582863	2.312562276	2.495392884	1.232924576	0.219075938	0.217829856	0.471735699	0.42620885	6.397669382	3.75373585	6.372209671	1.744119966	2.440047355	0.910622447	0.228825418	0.432696925	0.439095134	0.98854295	0.364106354	0.680054569	0.579549274	0.716932779	0.324749799	0.480813634	0.298831872	1.43284465	0.393019995	1.137114722	0.572662576	1.194328791	0.273040099	1.973795599	0.740593944	2.136904521	1.426752315	0.17829803	1.730134482	0.231335149	0.390610398	0	0.460317206	0.335930474	0.38461779	0.123517912	0.287592979	0	0	0.311558319	0.178938848	0.441097358	0.187581443	1.168283022	0.839754477	0.11405081	1.963428886	1.963612987	2.068002795	1.81692035	5.988941386	1.81433248	1.798033804	0.310493971	2.365806694	2.444013633	2.96722207	2.840089156	1.761456395	2.217301506	1.399051992	1.68729029	1.155782191	0.909079862	2.306183653	0.86802218	1.962624281	1.546885653	5.019207431	2.629815245	1.758948476	0.481680317	0.151013123	0.374755688	0.571553957	0.58314289
22547	chr17:68678545-68678755_+	coding	NM_001050	SSTR2	SSTR2	NPC_	0.337903138	0.611935388	0.465389567	0.545744741	0.343022342	0.08349555	0.341265384	0	0.145635749	0.23610723	0.463942173	0.127176997	0.265899352	0.154910081	0.125764126	1.334270046	0.301375168	0.88296226	0.22300514	0.368958899	0	0	0.361844669	0.295412344	0.257060278	0.32932135	0.448244526	0.29288703	0.21087597	0.199624288	0.577408531	0.490975547	0.392582688	0.327353914	0.992367555	0.287021222	0.124069388	0.128051245	0.221781289	0.193068506	0	0.966667662	0	0.264372099	0.218369598	0	0.817893263	0.956796163	0.728279505	0.703146146	0.237538716	0.471058666	0.247035824	0.266259361	0.455060663	0.55051878	0.908340785	0.253057745	0.623805866	1.044409273	0.566700506	0.407340754	0.22810162	0.537097154	0.180765228	0	0.214873505	0.27150433	0.241222771	0.420887878	0.331932018	0.124001964	0	0.322791207	0.159014465	0.194224469	0.257466288	0.283617518	0.079716973	0.110199508	0.394592811	0.15814089	0.710818606	0.236272198	0.732919901	0.10289453	0	0.377272276	0.267188166	0.427129612	0.44791872	0.276086791	0.304536442
22548	chr17:68682040-68682166_+	downstream	AK093950	SSTR2		NPC_	0.292632702	0.34849402	0.355447153	0.385899807	0.359764867	0	0.257972382	0.657696882	0.205960051	0.136316573	0.257348814	0.179855435	0	0.154910081	0.217829856	1.317486107	0	1.248697203	0.128752077	0.14758356	0	0.133914996	0.12061489	0.228825418	0	0.19013377	0.213692193	0.124887449	0.094306601	0	0.311836247	0.45926557	0.438920789	0.327353914	0.182709677	0.175763885	0	0.128051245	0.128045487	0	0	0.285054742	0.11521417	0.093469652	0.126075746	0	0.283326537	0.390610398	0.820480727	0.265764263	0.237538716	0.271965848	0.247035824	0.108699929	0	0.137629695	0.467337478	0.253057745	0	0.701865492	0.231354513	0.203670377	0.11405081	0.458037992	0.180765228	0.229778088	0	0.145125169	0	0.210443939	0.082983004	0.214777702	0	0.161395604	0.224880413	0.217149558	0.210220344	0.189078345	0.112736825	0.155845639	0.309544068	0.091302685	0.678926923	0.528320697	0.441967329	0	0.067497759	0.202982892	0.298725451	0.213564806	0.283288672	0.104350998	0.101512147
31563	chr2:162735439-162735739_-	coding	NM_004460	FAP	FAP	HN_GIST_	0.909832044	1.160193766	1.155691397	1.02099492	1.173316934	0.926010445	0.930132651	0.328848441	1.52744062	0.992399628	2.172274008	0.908225425	1.080088275	0.309820162	0.281217135	0.699697115	0.42620885	0.624348602	0.739624375	0.915731906	0.775921057	0.792251801	0.400034333	1.073286346	0.296827642	0.32932135	0.382264216	1.276664965	0.525076931	1.40346766	0.353589068	0.893588983	0.734454958	1.260773047	0.827253245	0.202954653	0.214894483	0.362183614	0.128045487	0.492230039	0.39741746	0.266644295	0.11521417	0	0.17829803	0	0.490735958	1.226363807	0.285654723	0.460317206	0.822858251	0.271965848	0.326797678	0.153724914	0.66983116	0.137629695	0.516661022	0.536816543	1.227963076	0.909334783	0.163592345	0.839754477	0.30175008	0.485822655	0	0	0.480471764	0.307856973	0	0.758766413	0.352067071	0.372005893	0.294224666	0.484186811	0.224880413	0.350143141	0.297296461	0.353733193	0.471611973	0.593442513	0.109440355	0	0.094150224	0.236272198	0.312518096	0.178218555	0.178582284	0.977311895	0.462783479	0.70831433	0.617413347	0.466671852	0.203024295
38986	chr8:42726927-42727058_-	coding	NM_004198	CHRNA6	CHRNA6		0	0.142272088	0.134346396	0	0.242553424	0	0	0.51995504	0.291271498	0.192780746	0	0.127176997	0.265899352	0.154910081	0	0.516760567	0.301375168	0	0	0	0	0	0.170575213	0.264224833	0.104944419	0	0	0.088308762	0	0.075450889	0.353589068	0.212598648	0	0	0.258390502	0.268483769	0.214894483	0.362183614	0.181083664	0	0	0.142527371	0.282215928	0	0.252151492	0	0	0.147636853	0	0	0	0	0.123517912	1.326851726	0	0	0.220305	0	0	0	0.163592345	0.997776998	0.11405081	0.229018996	0.361530455	0	0.455815538	0	0	0	0	0.214777702	0	0.559090771	0.449760826	0.217149558	0.148648231	0.094539173	0.138073848	0	0.154772034	0.091302685	0.163072972	0	0.220983665	0.07275742	0	0	0	0	0	0	0
39248	chr8:95208565-95208742_-	coding	NM_001144663	CDH17	CDH17	Colon_	0	0	0	0	0	0	0	0.232530963	0.145635749	0.136316573	0.222870611	0.220277021	0	0	0	1.05483309	0	0	0.091041467	0	0	1.359088775	1.065241861	3.08702366	0	0	0.252844013	0.088308762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093469652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.380827435	1.441400604	1.768000255	0	0	0.105110172	0	0	0	1.500570543	1.60495474	0	0.334139347	0	0	0	0	0.133594083	0.261562401	0	0	0
