| id | section | claim | manuscript value | artifact value | verdict |
|---|---|---|---|---|---|
| `C-ORF-EWSR1::NR4A3 type 1` | 3.2/Tab2/S3 | ORF length aa, EWSR1::NR4A3 type 1 | `1058` | `1058` | **REPRODUCES** |
| `C-EXT-EWSR1::NR4A3 type 1` | 3.2/Tab2/S3 | extra junction residues, EWSR1::NR4A3 type 1 | `1` | `1` | **REPRODUCES** |
| `C-RET-EWSR1::NR4A3 type 1` | 3.2/Tab2/S3 | 5' residues fully encoded, EWSR1::NR4A3 type 1 | `431` | `431` | **REPRODUCES** |
| `C-IF-EWSR1::NR4A3 type 1` | 3.2 | in-frame self-check, EWSR1::NR4A3 type 1 | `True` | `True` | **REPRODUCES** |
| `C-ORF-EWSR1::NR4A3 type 2` | 3.2/Tab2/S3 | ORF length aa, EWSR1::NR4A3 type 2 | `949` | `949` | **REPRODUCES** |
| `C-EXT-EWSR1::NR4A3 type 2` | 3.2/Tab2/S3 | extra junction residues, EWSR1::NR4A3 type 2 | `59` | `59` | **REPRODUCES** |
| `C-RET-EWSR1::NR4A3 type 2` | 3.2/Tab2/S3 | 5' residues fully encoded, EWSR1::NR4A3 type 2 | `264` | `264` | **REPRODUCES** |
| `C-IF-EWSR1::NR4A3 type 2` | 3.2 | in-frame self-check, EWSR1::NR4A3 type 2 | `True` | `True` | **REPRODUCES** |
| `C-ORF-EWSR1::NR4A3 type 5` | 3.2/Tab2/S3 | ORF length aa, EWSR1::NR4A3 type 5 | `1099` | `1099` | **REPRODUCES** |
| `C-EXT-EWSR1::NR4A3 type 5` | 3.2/Tab2/S3 | extra junction residues, EWSR1::NR4A3 type 5 | `1` | `1` | **REPRODUCES** |
| `C-RET-EWSR1::NR4A3 type 5` | 3.2/Tab2/S3 | 5' residues fully encoded, EWSR1::NR4A3 type 5 | `472` | `472` | **REPRODUCES** |
| `C-IF-EWSR1::NR4A3 type 5` | 3.2 | in-frame self-check, EWSR1::NR4A3 type 5 | `True` | `True` | **REPRODUCES** |
| `C-ORF-TAF15::NR4A3` | 3.2/Tab2/S3 | ORF length aa, TAF15::NR4A3 | `788` | `788` | **REPRODUCES** |
| `C-EXT-TAF15::NR4A3` | 3.2/Tab2/S3 | extra junction residues, TAF15::NR4A3 | `1` | `1` | **REPRODUCES** |
| `C-RET-TAF15::NR4A3` | 3.2/Tab2/S3 | 5' residues fully encoded, TAF15::NR4A3 | `161` | `161` | **REPRODUCES** |
| `C-IF-TAF15::NR4A3` | 3.2 | in-frame self-check, TAF15::NR4A3 | `True` | `True` | **REPRODUCES** |
| `S-793` | 3.3/Fig1C | EWSR1 coding nt through exon 7 | `793` | `793` | **REPRODUCES** |
| `S-264` | 3.3/Fig1C | EWSR1 whole codons | `264` | `264` | **REPRODUCES** |
| `S-177` | 3.3/Fig1C | nt spanned by the extra residues | `177` | `177` | **REPRODUCES** |
| `S-176` | 3.3/Fig1C | NR4A3 5'UTR nt retained total | `176` | `176` | **REPRODUCES** |
| `S-174` | 3.3/Fig1C | NR4A3 5'UTR nt from exon 2 | `174` | `174` | **REPRODUCES** |
| `S-2` | 3.3/Fig1C | NR4A3 5'UTR nt from exon 3 | `2` | `2` | **REPRODUCES** |
| `S-59` | 3.3/Fig1C | extra residues | `59` | `59` | **REPRODUCES** |
| `S-58` | 3.3/Fig1C | remaining residues NR4A3 alone | `58` | `58` | **REPRODUCES** |
| `S-AAG` | 3.3/Fig1C | first extra residue codon | `AAG` | `AAG` | **REPRODUCES** |
| `S-K265` | 3.3/Fig1C | first extra residue is K at position 265 | `('K', 265)` | `('K', 265)` | **REPRODUCES** |
| `S-NOSTOP` | 3.3/Fig1C | no internal stop codon in extension | `False` | `False` | **REPRODUCES** |
| `S-949` | 3.3/Fig1C | chimeric ORF length aa | `949` | `949` | **REPRODUCES** |
| `F-PH1` | 3.2 | EWSR1 phase-1 donor exon set | `[1, 4, 7, 9, 10, 12, 13, 15]` | `[1, 4, 7, 9, 10, 12, 13, 15]` | **REPRODUCES** |
| `F-E2LEN` | 3.2 | NR4A3 exon 2 length nt | `174` | `174` | **REPRODUCES** |
| `F-ALL` | 3.2 | rule holds for every EWSR1 donor | `True` | `True` | **REPRODUCES** |
| `F-TAF484` | 3.2 | TAF15 coding nt through exon 6 | `484` | `484` | **REPRODUCES** |
| `AX-RG-EWSR1::NR4A3 type 1` | 3.4/Tab3 | retained RG / total, EWSR1::NR4A3 type 1 | `(8, 30)` | `(8, 30)` | **REPRODUCES** |
| `AX-FR-EWSR1::NR4A3 type 1` | 3.4/Tab3 | retained-RG fraction, EWSR1::NR4A3 type 1 | `0.267` | `0.267` | **REPRODUCES** |
| `AX-RG-EWSR1::NR4A3 type 2` | 3.4/Tab3 | retained RG / total, EWSR1::NR4A3 type 2 | `(0, 30)` | `(0, 30)` | **REPRODUCES** |
| `AX-FR-EWSR1::NR4A3 type 2` | 3.4/Tab3 | retained-RG fraction, EWSR1::NR4A3 type 2 | `0.0` | `0.0` | **REPRODUCES** |
| `AX-RG-EWSR1::NR4A3 type 5` | 3.4/Tab3 | retained RG / total, EWSR1::NR4A3 type 5 | `(11, 30)` | `(11, 30)` | **REPRODUCES** |
| `AX-FR-EWSR1::NR4A3 type 5` | 3.4/Tab3 | retained-RG fraction, EWSR1::NR4A3 type 5 | `0.367` | `0.367` | **REPRODUCES** |
| `AX-RG-TAF15::NR4A3` | 3.4/Tab3 | retained RG / total, TAF15::NR4A3 | `(0, 31)` | `(0, 31)` | **REPRODUCES** |
| `AX-FR-TAF15::NR4A3` | 3.4/Tab3 | retained-RG fraction, TAF15::NR4A3 | `0.0` | `0.0` | **REPRODUCES** |
| `AXR-EWSR1::FLI1 (Ewing, type 1) — EWSR1 e7` | 3.4/Tab3 | comparator RG/fraction, EWSR1::FLI1 (Ewing, type 1) — EWSR1 e7 | `(0, 0.0)` | `(0, 0.0)` | **REPRODUCES** |
| `AXR-EWSR1::ATF1 (clear cell, reported type) — EWSR1 e7` | 3.4/Tab3 | comparator RG/fraction, EWSR1::ATF1 (clear cell, reported type) — EWSR1 e7 | `(0, 0.0)` | `(0, 0.0)` | **REPRODUCES** |
| `AXR-EWSR1::ATF1 (clear cell, commonest type) — EWSR1 e8` | 3.4/Tab3 | comparator RG/fraction, EWSR1::ATF1 (clear cell, commonest type) — EWSR1 e8 | `(7, 0.233)` | `(7, 0.233)` | **REPRODUCES** |
| `AXR-EWSR1::ATF1 (clear cell, reported type) — EWSR1 e10` | 3.4/Tab3 | comparator RG/fraction, EWSR1::ATF1 (clear cell, reported type) — EWSR1 e10 | `(8, 0.267)` | `(8, 0.267)` | **REPRODUCES** |
| `AX-SPAN` | 3.4/Tab3/Fig1B | EWSR1::ATF1 comparator span | `[0.0, 0.267]` | `[0.0, 0.267]` | **REPRODUCES** |
| `AX-MEAS` | 3.4 | firmly measured fractions | `[0.0, 1.0]` | `[0.0, 1.0]` | **REPRODUCES** |
| `T-LOW` | 3.5/Tab4 | lowest FET prefix value | `0.439` | `0.439` | **REPRODUCES** |
| `T-LOWP` | 3.5/Tab4 | lowest FET prefix protein and span | `('EWSR1', [1, 560])` | `('EWSR1', [1, 560])` | **REPRODUCES** |
| `T-BEST` | 3.5/Tab4 | best TCF12 prefix value | `0.4` | `0.4` | **REPRODUCES** |
| `T-GAP` | 3.5/Tab4 | sweep gap | `0.039` | `0.039` | **REPRODUCES** |
| `T-NONE` | 3.5/Tab4 | no TCF12 prefix reaches lowest FET prefix | `False` | `False` | **REPRODUCES** |
| `T-RG` | 3.5/Tab4 | whole-protein RG: EWSR1,TAF15,FUS,TCF12 | `(30, 31, 24, 7)` | `(30, 31, 24, 7)` | **REPRODUCES** |
| `T-BSPAN` | 3.5/Tab4 | TCF12 best prefix span 1-160 | `[1, 160]` | `[1, 160]` | **REPRODUCES** |
